GEO_ID,B15002D_001E,B15002D_001M,B15002D_002E,B15002D_002M,B15002D_003E,B15002D_003M,B15002D_004E,B15002D_004M,B15002D_005E,B15002D_005M,B15002D_006E,B15002D_006M,B15002D_007E,B15002D_007M,B15002D_008E,B15002D_008M,B15002D_009E,B15002D_009M,B15002D_010E,B15002D_010M,B15002D_011E,B15002D_011M,B15002D_012E,B15002D_012M,B15002D_013E,B15002D_013M,B15002D_014E,B15002D_014M,B15002D_015E,B15002D_015M,B15002D_016E,B15002D_016M,B15002D_017E,B15002D_017M,B15002D_018E,B15002D_018M,B15002D_019E,B15002D_019M,NAME,B15002D_001EA,B15002D_001MA,B15002D_002EA,B15002D_002MA,B15002D_003EA,B15002D_003MA,B15002D_004EA,B15002D_004MA,B15002D_005MA,B15002D_005EA,B15002D_006MA,B15002D_006EA,B15002D_007MA,B15002D_007EA,B15002D_008EA,B15002D_008MA,B15002D_009EA,B15002D_009MA,B15002D_010EA,B15002D_010MA,B15002D_011MA,B15002D_011EA,B15002D_012EA,B15002D_012MA,B15002D_013EA,B15002D_013MA,B15002D_014EA,B15002D_014MA,B15002D_015EA,B15002D_015MA,B15002D_016MA,B15002D_016EA,B15002D_017MA,B15002D_017EA,B15002D_018MA,B15002D_018EA,B15002D_019EA,B15002D_019MA,state
0400000US01,38683,2090,16596,1501,1059,498,1043,574,3201,938,115,105,2259,665,344,263,3681,1022,4894,1081,22087,1429,1931,707,1584,717,3761,1185,437,290,2602,858,1368,710,7171,1520,3233,686,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26908,1053,12293,776,657,350,713,514,3340,909,457,327,3151,741,483,242,2636,647,856,452,14615,633,2219,688,1170,512,3045,770,218,212,2649,621,740,300,3672,758,902,428,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,143588,2455,63671,1805,2780,833,4413,1149,7592,1345,788,393,9579,1633,3773,948,16415,1780,18331,1987,79917,1770,7844,1384,4928,1081,11983,1867,1285,548,10817,1873,5159,1097,22651,1835,15250,2140,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25465,1492,10898,942,368,453,379,287,1338,506,521,374,1698,693,439,299,2071,762,4084,826,14567,1215,1770,785,1024,505,2974,901,162,171,1676,679,290,266,4247,899,2424,722,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3888609,9927,1783616,5307,113381,4634,80422,4685,235117,7453,25168,2367,285409,7604,123735,5315,557217,8865,363167,8114,2104993,6723,200854,7881,101559,4071,296045,9138,20452,2190,291163,7809,170776,6383,692993,11027,331151,8936,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,107878,2337,47472,1458,4153,1024,2985,926,5111,1079,1171,517,7561,1419,1792,552,13644,1484,11055,1604,60406,1704,4768,894,4082,1041,8964,1420,1222,534,6895,1156,3586,828,18217,1721,12672,1534,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,102025,2024,47328,1429,2253,791,1881,544,4725,1154,526,411,3560,947,1513,596,14860,1707,18010,1562,54697,1280,3535,1044,2963,733,6033,1337,1471,702,4053,1036,2586,859,18483,1653,15573,1722,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24017,527,11294,523,315,256,367,325,672,523,102,170,975,433,226,209,4453,940,4184,789,12723,503,1071,486,464,389,988,414,62,106,1345,601,637,322,4265,1051,3891,684,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18798,700,7414,550,332,245,360,358,552,336,0,198,841,590,63,68,2361,675,2905,652,11384,411,872,452,143,140,303,258,68,115,659,328,213,169,3843,774,5283,804,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,373289,4660,164596,2923,10615,1697,9878,1960,24263,2915,3460,1201,23615,2701,13275,2297,42528,2961,36962,3679,208693,3351,19725,2210,13409,1894,37005,3205,3883,1076,29076,2520,17982,2417,57395,3130,30218,2489,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
