GEO_ID,C05003_001E,C05003_001M,C05003_002E,C05003_002M,C05003_003E,C05003_003M,C05003_004E,C05003_004M,C05003_005E,C05003_005M,C05003_006E,C05003_006M,C05003_007E,C05003_007M,C05003_008E,C05003_008M,C05003_009E,C05003_009M,C05003_010E,C05003_010M,C05003_011E,C05003_011M,C05003_012E,C05003_012M,C05003_013E,C05003_013M,C05003_014E,C05003_014M,C05003_015E,C05003_015M,NAME,C05003_001EA,C05003_001MA,C05003_002MA,C05003_002EA,C05003_003MA,C05003_003EA,C05003_004MA,C05003_004EA,C05003_005EA,C05003_005MA,C05003_006EA,C05003_006MA,C05003_007EA,C05003_007MA,C05003_008MA,C05003_008EA,C05003_009MA,C05003_009EA,C05003_010EA,C05003_010MA,C05003_011EA,C05003_011MA,C05003_012EA,C05003_012MA,C05003_013MA,C05003_013EA,C05003_014MA,C05003_014EA,C05003_015EA,C05003_015MA,state
0400000US01,4849377,-555555555,2347969,5243,566129,4695,559604,4576,6525,1498,1781840,2573,1709621,4296,72219,3950,2501408,5243,542471,4638,536034,4404,6437,1596,1958937,2553,1886762,4786,72175,4251,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,736732,-555555555,385582,1999,94861,1673,92470,2173,2391,1097,290721,1324,265838,2286,24883,1915,351150,1999,91908,1648,90414,1558,1494,798,259242,1188,233338,2512,25904,2157,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6731484,-555555555,3342946,2452,827598,2226,798671,3956,28927,3291,2515348,1684,2099333,8511,416015,8509,3388538,2452,794473,2245,766567,3603,27906,3015,2594065,1285,2147354,9012,446711,8856,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2966369,-555555555,1456778,4252,361242,3812,355030,3630,6212,1695,1095536,2838,1030464,4399,65072,3240,1509591,4252,344898,3853,340914,4166,3984,1165,1164693,2336,1099964,3818,64729,3240,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38802500,-555555555,19264457,4495,4670967,3799,4427276,8608,243691,7782,14593490,3494,9740385,26890,4853105,26674,19538043,4495,4480612,3862,4255059,9765,225553,8722,15057431,3043,9867381,24853,5190050,24576,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5355866,-555555555,2692599,3357,641670,2690,622528,3152,19142,2713,2050929,2412,1803304,8088,247625,8251,2663267,3357,605475,2535,587112,2927,18363,2102,2057792,1913,1804678,7131,253114,6764,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3596677,-555555555,1754116,1816,395695,1453,378630,3165,17065,2668,1358421,1565,1131838,7029,226583,6722,1842561,1816,379181,1451,362621,2184,16560,1900,1463380,1513,1231669,6722,231711,6452,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,935614,-555555555,454005,925,104316,827,102259,1134,2057,694,349689,700,312290,2755,37399,2651,481609,925,99526,850,95915,1237,3611,842,382083,528,344850,3044,37233,3005,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,658893,-555555555,312633,686,58267,437,55122,1056,3145,899,254366,479,213786,3076,40580,3023,346260,686,56763,437,52915,1192,3848,1159,289497,480,245121,3068,44376,3012,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19893297,-555555555,9722228,6892,2071679,5904,1967322,8081,104357,5745,7650549,3480,5878486,17953,1772063,18076,10171069,6892,1982344,6030,1873501,9275,108843,7308,8188725,3139,6200473,20038,1988252,19976,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,10097343,-555555555,4921939,6161,1271693,6060,1238360,6162,33333,4036,3650246,3939,3184167,10536,466079,10493,5175404,6161,1219728,5616,1189480,7515,30248,3588,3955676,3322,3490685,10401,464991,11070,Georgia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1419561,-555555555,717313,1553,158143,1328,148982,2061,9161,1660,559170,820,462224,4850,96946,4722,702248,1553,150211,1308,142821,2170,7390,1721,552037,736,415262,5302,136775,5364,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1634464,-555555555,817050,2782,221624,2305,216251,2386,5373,1697,595426,1910,551851,3271,43575,3037,817414,2782,209641,2255,205869,2516,3772,1150,607773,1854,563140,3917,44633,3509,Idaho,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12880580,-555555555,6320605,4324,1521712,3317,1480188,4753,41524,3507,4798893,3116,3946716,11013,852177,10690,6559975,4324,1463022,3559,1422744,4078,40278,2947,5096953,2711,4246529,11386,850424,11302,Illinois,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6596855,-555555555,3243979,5121,810234,4028,796455,4607,13779,2936,2433745,3093,2286651,6349,147094,6199,3352876,5121,773440,4227,756994,4275,16446,1960,2579436,2786,2437175,6289,142261,6049,Indiana,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3107126,-555555555,1544801,3400,374198,2979,366133,3152,8065,1621,1170603,2850,1098175,4013,72428,3717,1562325,3400,351393,2558,342458,3027,8935,1960,1210932,2167,1147039,3327,63893,2572,Iowa,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2904021,-555555555,1444945,3648,369332,2722,360014,3208,9318,1787,1075613,2623,980145,3898,95468,3478,1459076,3648,353155,3016,343015,3517,10140,1654,1105921,2598,1016427,4069,89494,3845,Kansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
