GEO_ID,C17013_001E,C17013_001M,C17013_002E,C17013_002M,C17013_003E,C17013_003M,C17013_004E,C17013_004M,C17013_005E,C17013_005M,C17013_006E,C17013_006M,C17013_007E,C17013_007M,C17013_008E,C17013_008M,C17013_009E,C17013_009M,C17013_010E,C17013_010M,C17013_011E,C17013_011M,NAME,C17013_001EA,C17013_001MA,C17013_002EA,C17013_002MA,C17013_003EA,C17013_003MA,C17013_004MA,C17013_004EA,C17013_005MA,C17013_005EA,C17013_006EA,C17013_006MA,C17013_007EA,C17013_007MA,C17013_008EA,C17013_008MA,C17013_009MA,C17013_009EA,C17013_010MA,C17013_010EA,C17013_011MA,C17013_011EA,state
0400000US01,1232515,11755,184841,6662,73715,4342,80882,4631,25090,2694,5154,1296,1047674,12321,541901,9299,408203,8799,87983,4694,9587,1436,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165015,3765,12999,1612,4014,815,5680,1146,1434,366,1871,586,152016,3662,69461,3394,59904,2957,17842,1645,4809,968,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1579481,13962,209001,6363,69894,4125,79047,4266,47786,3411,12274,1871,1370480,13405,698956,9904,487452,9339,157558,6174,26514,2586,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752212,9854,104138,4501,39139,3304,44452,3312,17500,2000,3047,827,648074,9714,339176,8004,245923,6392,56611,3703,6364,1423,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8762059,27318,1067419,13044,302899,7747,454333,10506,247031,7877,63156,4132,7694640,28159,3111891,21692,3292662,22712,1072822,16565,217265,6918,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1315283,8405,105560,4841,37071,2935,46840,3420,18674,2286,2975,898,1209723,10079,585804,8564,478942,8028,127453,4943,17524,1998,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,887263,10002,66949,4874,24329,3148,30790,3258,10751,1761,1079,489,820314,9845,380078,7556,355449,7123,77269,3868,7518,1381,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233000,4645,19733,2314,7317,1379,8433,1606,3595,918,388,249,213267,4508,103737,4042,85506,4319,21054,2052,2970,897,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117864,3359,16707,2102,7062,1412,6898,1480,2003,782,744,514,101157,3173,53669,2966,38983,2524,7521,1397,984,438,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693411,24879,563761,13976,220899,9168,240243,8772,84855,5507,17764,2271,4129650,24086,2207901,17886,1516462,15815,359467,9427,45820,3262,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2426392,15122,342664,9063,112978,5442,153557,6990,62912,4323,13217,1985,2083728,15808,962638,13629,871871,12631,218301,7224,30918,3103,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,314151,5725,24533,2343,8897,1588,9043,1457,5076,1128,1517,678,289618,5942,121689,4742,117871,4628,37404,2778,12654,1600,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,407499,5941,41633,2770,15903,1647,15423,2329,8036,1476,2271,767,365866,6060,182423,5427,132079,4789,43065,3080,8299,1415,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3099184,17994,325482,8355,113562,4756,140116,6083,58956,3722,12848,1657,2773702,18072,1274045,16877,1137624,13514,316830,8242,45203,3497,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1657223,12597,180534,6423,66957,4453,76000,4541,32460,2966,5117,837,1476689,11767,737815,10435,565932,9579,154750,5684,18192,2003,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,801562,6871,63382,3549,25058,2120,26823,2609,9940,1779,1561,474,738180,7501,389443,6391,263859,5981,77410,3557,7468,1102,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,728602,7887,66858,3402,24239,2347,27612,2629,12708,1378,2299,708,661744,7678,334641,5405,245466,6247,71845,3561,9792,1499,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1124586,10250,162705,6162,66402,4336,66409,3997,25329,2283,4565,1091,961881,11820,490051,8223,376911,7695,84678,3545,10241,1401,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1112659,9882,165518,6200,64635,4272,70659,4014,24506,3016,5718,1298,947141,11077,470994,9840,371562,9026,95144,5570,9441,1335,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,344585,5357,33340,2772,16138,2039,12784,1933,3732,982,686,350,311245,4889,177713,4177,111224,3861,20424,1860,1884,549,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1445972,11686,102102,5580,39785,3326,44373,3587,13715,1932,4229,1190,1343870,11944,597648,10426,573528,10502,149526,5837,23168,2234,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1610581,11929,133552,5753,53790,3647,59343,3980,17684,2248,2735,836,1477029,12298,661615,10045,653161,8553,149214,5882,13039,1806,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2485159,14714,284381,7142,110573,4737,116866,4841,45493,2996,11449,1413,2200778,14387,1106043,12711,855696,12435,213627,6723,25412,2465,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1369594,10930,102173,5030,39372,2698,40610,3320,15767,1863,6424,1191,1267421,10435,641019,8032,481275,7752,128918,4406,16209,1778,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,738463,9100,121515,4890,43272,3532,54802,3570,20056,2018,3385,917,616948,8477,308536,7017,244701,7965,56653,3958,7058,1583,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1508816,13340,161317,6328,66315,3879,65759,4467,24000,2662,5243,937,1347499,12605,687917,10259,517976,9292,124642,5082,16964,2022,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,251176,5144,23975,2068,10811,1384,8834,1375,3654,774,676,326,227201,5088,129524,3894,75131,3695,20200,1532,2346,605,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,480317,5426,41864,2799,16414,1870,15793,1801,7712,1255,1945,602,438453,5413,226879,4329,157271,3990,47967,2741,6336,1005,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,642461,7985,70535,4275,25027,2433,26857,2932,15352,2171,3299,860,571926,7912,272147,6417,222743,6266,67659,3901,9377,1492,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,345901,5099,20869,2427,8646,1360,9707,1799,2175,722,341,273,325032,5115,166351,4697,128810,4681,26509,2435,3362,889,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
