GEO_ID,C17022_001E,C17022_001M,C17022_002E,C17022_002M,C17022_003E,C17022_003M,C17022_004E,C17022_004M,C17022_005E,C17022_005M,C17022_006E,C17022_006M,C17022_007E,C17022_007M,C17022_008E,C17022_008M,C17022_009E,C17022_009M,C17022_010E,C17022_010M,C17022_011E,C17022_011M,C17022_012E,C17022_012M,C17022_013E,C17022_013M,C17022_014E,C17022_014M,C17022_015E,C17022_015M,C17022_016E,C17022_016M,C17022_017E,C17022_017M,C17022_018E,C17022_018M,C17022_019E,C17022_019M,C17022_020E,C17022_020M,C17022_021E,C17022_021M,NAME,C17022_001EA,C17022_001MA,C17022_002EA,C17022_002MA,C17022_003EA,C17022_003MA,C17022_004EA,C17022_004MA,C17022_005MA,C17022_005EA,C17022_006EA,C17022_006MA,C17022_007EA,C17022_007MA,C17022_008EA,C17022_008MA,C17022_009EA,C17022_009MA,C17022_010MA,C17022_010EA,C17022_011MA,C17022_011EA,C17022_012MA,C17022_012EA,C17022_013EA,C17022_013MA,C17022_014EA,C17022_014MA,C17022_015EA,C17022_015MA,C17022_016MA,C17022_016EA,C17022_017MA,C17022_017EA,C17022_018EA,C17022_018MA,C17022_019EA,C17022_019MA,C17022_020EA,C17022_020MA,C17022_021MA,C17022_021EA,state
0400000US01,1232515,11755,258258,7321,92818,4428,165440,5507,22568,2553,142872,5158,43628,3078,24973,2696,18655,1797,3406,1039,15249,1589,79076,4747,46850,3529,32226,2962,8436,1490,23790,2563,851553,12408,705385,12581,146168,6406,43195,3491,102973,4725,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165015,3765,18839,1856,7573,1183,11266,1511,3456,880,7810,1314,4317,829,2246,665,2071,597,367,246,1704,550,6887,1007,4107,757,2780,708,648,245,2132,590,134972,3675,110102,3527,24870,2548,10195,1701,14675,1760,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1579481,13962,291708,7479,134019,5478,157689,5587,38072,3446,119617,4637,49303,3662,29218,2763,20085,2314,5647,1336,14438,1803,100834,4866,61394,3602,39440,3152,12253,1981,27187,2414,1137636,12086,916664,11449,220972,7740,78148,4966,142824,5868,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752212,9854,151999,6211,65528,4250,86471,4256,14800,2109,71671,3773,31459,2106,19330,1878,12129,1623,2477,858,9652,1404,56036,3586,36042,2474,19994,2577,5211,1277,14783,2232,512718,9890,425628,9075,87090,4128,31064,3114,56026,2940,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8762059,27318,1541474,16384,727996,14457,813478,14201,183617,6952,629861,12501,308147,9343,182544,7840,125603,6571,34971,3378,90632,5014,521206,10766,316069,9150,205137,6788,61858,3911,143279,5775,6391232,28269,5012534,26955,1378698,19410,491830,10943,886868,14410,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1315283,8405,160909,6704,73698,4488,87211,5801,17448,2705,69763,4624,35101,3327,21096,2427,14005,1856,4392,1010,9613,1492,66985,3875,44017,3242,22968,2688,6500,1405,16468,2068,1052288,11052,866915,10393,185373,5546,70795,4034,114578,4698,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,887263,10002,92826,5053,28529,2795,64297,4527,10551,1937,53746,3981,18185,2273,7493,1313,10692,1726,2910,975,7782,1441,38047,3428,20464,2126,17583,2824,4130,1145,13453,2451,738205,9669,594187,8737,144018,5902,47180,3438,96838,4829,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233000,4645,28021,3015,9794,1662,18227,2498,3295,896,14932,2204,5866,1208,2236,660,3630,1027,613,320,3017,956,12155,1881,5549,1146,6606,1343,1669,777,4937,1073,186958,4394,147783,3964,39175,2488,12580,1788,26595,2224,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117864,3359,20966,2273,3284,866,17682,2034,2057,708,15625,1888,4534,1159,1225,612,3309,917,542,409,2767,891,4071,846,1469,509,2602,699,223,160,2379,667,88293,2909,60266,2820,28027,2339,6674,1341,21353,1986,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693411,24879,822193,15041,362399,10762,459794,11432,87760,5759,372034,9075,176089,7140,100614,6009,75475,4511,21236,2886,54239,3731,308281,8599,188528,7909,119753,5210,34155,3113,85598,4896,3386848,23622,2728562,23388,658286,13017,210386,7338,447900,9497,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
