GEO_ID,C27006_001E,C27006_001M,C27006_002E,C27006_002M,C27006_003E,C27006_003M,C27006_004E,C27006_004M,C27006_005E,C27006_005M,C27006_006E,C27006_006M,C27006_007E,C27006_007M,C27006_008E,C27006_008M,C27006_009E,C27006_009M,C27006_010E,C27006_010M,C27006_011E,C27006_011M,C27006_012E,C27006_012M,C27006_013E,C27006_013M,C27006_014E,C27006_014M,C27006_015E,C27006_015M,C27006_016E,C27006_016M,C27006_017E,C27006_017M,C27006_018E,C27006_018M,C27006_019E,C27006_019M,C27006_020E,C27006_020M,C27006_021E,C27006_021M,NAME,C27006_001MA,C27006_001EA,C27006_002MA,C27006_002EA,C27006_003EA,C27006_003MA,C27006_004MA,C27006_004EA,C27006_005EA,C27006_005MA,C27006_006MA,C27006_006EA,C27006_007MA,C27006_007EA,C27006_008EA,C27006_008MA,C27006_009MA,C27006_009EA,C27006_010EA,C27006_010MA,C27006_011MA,C27006_011EA,C27006_012MA,C27006_012EA,C27006_013MA,C27006_013EA,C27006_014MA,C27006_014EA,C27006_015EA,C27006_015MA,C27006_016EA,C27006_016MA,C27006_017MA,C27006_017EA,C27006_018MA,C27006_018EA,C27006_019MA,C27006_019EA,C27006_020MA,C27006_020EA,C27006_021EA,C27006_021MA,state
0400000US01,4767383,1932,2289780,5872,564919,4746,2648,824,562271,4845,1407781,3396,86465,4985,1321316,6659,317080,1997,308901,2390,8179,1552,2477603,5606,541928,4642,2974,912,538954,4745,1527586,3213,96403,4577,1431183,5786,408089,2062,398723,2784,9366,1560,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,711541,1618,363589,2580,94656,1704,113,104,94543,1673,235033,2140,6192,1138,228841,2581,33900,1002,30760,1220,3140,830,347952,2104,91589,1669,655,526,90934,1731,221245,1198,4845,1058,216400,1632,35118,972,32542,1212,2576,654,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6623074,1740,3251297,3166,826358,2285,3559,1083,822799,2540,1937999,2770,62383,4504,1875616,5305,486940,1367,467447,2234,19493,1895,3371777,2888,794218,2258,2300,791,791918,2323,2006493,2365,76632,4296,1929861,4682,571066,1364,550633,2887,20433,2305,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2914376,756,1423412,4652,360391,3763,1645,637,358746,3779,861325,3214,52740,3928,808585,5396,201696,1438,196170,1732,5526,1371,1490964,4568,343420,3861,1317,729,342103,3981,900910,3016,58637,3391,842273,4283,246634,1843,242601,1921,4033,902,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38297457,5321,18865494,8096,4657991,3964,35837,3829,4622154,5318,12038061,7340,337374,9352,11700687,11654,2169442,2989,2028714,6161,140728,5953,19431963,5973,4477142,4008,35388,4397,4441754,5255,12226448,3884,346750,10055,11879698,10535,2728373,3145,2585963,5839,142410,5554,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5266022,2396,2622411,4609,640300,2702,3521,990,636779,2891,1678778,3434,47824,3683,1630954,4776,303333,1624,286064,2379,17269,1795,2643611,4048,605132,2527,2643,1163,602489,2921,1677532,2424,46761,3414,1630771,4098,360947,1439,345205,2144,15742,1561,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541282,1220,1719425,2334,395003,1458,1078,561,393925,1584,1091478,1984,31909,2781,1059569,3171,232944,1423,220109,2227,12835,1719,1821857,2336,379018,1430,1060,441,377958,1483,1142258,1885,39270,3450,1102988,3903,300581,1319,286961,2268,13620,1896,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920930,554,443623,1227,104031,825,1016,715,103015,1159,272159,1135,11355,1588,260804,1979,67433,733,64829,1119,2604,810,477307,1167,99383,901,553,351,98830,1012,295631,700,12878,1988,282753,2154,82293,658,80345,1070,1948,801,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,647966,509,303791,1024,58140,442,651,441,57489,647,216572,977,6276,1446,210296,1514,29079,646,24917,999,4162,941,344175,1099,56694,456,260,184,56434,509,244580,597,6810,1272,237770,1394,42901,869,39127,1045,3774,862,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19583357,3419,9490859,7749,2066004,5977,14682,2043,2051322,6866,5747594,5911,237159,8296,5510435,10990,1677261,3397,1609566,5925,67695,4474,10092498,7609,1980146,6054,16146,2813,1964000,6706,6066114,4654,240031,8216,5826083,10017,2046238,3447,1966374,5925,79864,5113,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
