GEO_ID,B12005_001E,B12005_001M,B12005_002E,B12005_002M,B12005_003E,B12005_003M,B12005_004E,B12005_004M,B12005_005E,B12005_005M,B12005_006E,B12005_006M,B12005_007E,B12005_007M,B12005_008E,B12005_008M,B12005_009E,B12005_009M,B12005_010E,B12005_010M,B12005_011E,B12005_011M,B12005_012E,B12005_012M,B12005_013E,B12005_013M,B12005_014E,B12005_014M,B12005_015E,B12005_015M,B12005_016E,B12005_016M,NAME,B12005_001EA,B12005_001MA,B12005_002EA,B12005_002MA,B12005_003EA,B12005_003MA,B12005_004EA,B12005_004MA,B12005_005EA,B12005_005MA,B12005_006EA,B12005_006MA,B12005_007EA,B12005_007MA,B12005_008EA,B12005_008MA,B12005_009EA,B12005_009MA,B12005_010EA,B12005_010MA,B12005_011MA,B12005_011EA,B12005_012EA,B12005_012MA,B12005_013EA,B12005_013MA,B12005_014EA,B12005_014MA,B12005_015EA,B12005_015MA,B12005_016EA,B12005_016MA,state
0400000US01,3931966,3565,1188202,14844,1146647,14717,41555,3985,1872428,22959,1787147,22274,85281,5161,100151,5338,96234,5438,3917,1376,279364,7283,273109,7284,6255,1158,491821,11439,480487,11348,11334,2387,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,579778,1194,200938,5645,190055,5778,10883,1948,278761,7325,247058,7050,31703,2115,10313,1539,9112,1332,1201,699,21596,1987,19433,1930,2163,514,68170,3700,62557,3639,5613,1390,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5381925,2298,1797714,19036,1579234,18272,218480,8709,2521223,26908,2006092,23221,515131,12376,99505,5911,72268,4673,27237,3722,302611,8363,256850,6738,45761,3658,660872,14310,584777,12222,76095,5446,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2381476,2931,672552,9728,635305,8889,37247,4921,1180622,16490,1099690,16071,80932,4577,58856,4225,56710,4192,2146,867,161752,5899,156700,5844,5052,1246,307694,9369,299412,9532,8282,1767,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31206124,3092,11497373,41265,9032776,38792,2464597,30277,14421757,51116,8335850,43477,6085907,40224,694635,14760,395949,12146,298686,9148,1581027,16879,999703,15401,581324,11768,3011332,28284,2235406,26479,775926,15771,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4309301,2682,1362494,14839,1242496,13201,119998,7796,2166073,18939,1855039,17589,311034,9797,69327,4347,52541,3695,16786,2232,185441,6287,165977,5783,19464,2148,525966,12668,479246,11719,46720,4068,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2967896,1050,1025347,11908,909480,11764,115867,6079,1407169,18238,1137824,16762,269345,8816,36600,3004,27545,2630,9055,1529,169653,5437,144978,5032,24675,2637,329127,11483,280312,9329,48815,4556,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,765491,834,255717,5486,235668,5434,20049,3175,358548,7784,314261,7736,44287,2464,11814,1825,10246,1584,1568,717,46372,2459,43078,2257,3294,918,93040,4699,86272,4287,6768,1906,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,559363,238,316290,5739,277114,5283,39176,3059,153894,6205,118583,5537,35311,3747,13877,2158,10763,1973,3114,1139,24803,2081,21967,2105,2836,878,50499,2687,44241,2601,6258,1205,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16544829,3434,5229442,31066,4306093,32325,923349,19784,7583757,47792,5537350,42331,2046407,25085,398465,11901,268333,9465,130132,8281,1181343,16579,923392,14106,257951,8961,2151822,23668,1676617,21115,475205,12141,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
