GEO_ID,C23002F_001E,C23002F_001M,C23002F_002E,C23002F_002M,C23002F_003E,C23002F_003M,C23002F_004E,C23002F_004M,C23002F_005E,C23002F_005M,C23002F_006E,C23002F_006M,C23002F_007E,C23002F_007M,C23002F_008E,C23002F_008M,C23002F_009E,C23002F_009M,C23002F_010E,C23002F_010M,C23002F_011E,C23002F_011M,C23002F_012E,C23002F_012M,C23002F_013E,C23002F_013M,C23002F_014E,C23002F_014M,C23002F_015E,C23002F_015M,C23002F_016E,C23002F_016M,C23002F_017E,C23002F_017M,C23002F_018E,C23002F_018M,C23002F_019E,C23002F_019M,C23002F_020E,C23002F_020M,C23002F_021E,C23002F_021M,C23002F_022E,C23002F_022M,C23002F_023E,C23002F_023M,C23002F_024E,C23002F_024M,C23002F_025E,C23002F_025M,C23002F_026E,C23002F_026M,C23002F_027E,C23002F_027M,NAME,C23002F_001EA,C23002F_001MA,C23002F_002EA,C23002F_002MA,C23002F_003MA,C23002F_003EA,C23002F_004MA,C23002F_004EA,C23002F_005MA,C23002F_005EA,C23002F_006EA,C23002F_006MA,C23002F_007EA,C23002F_007MA,C23002F_008MA,C23002F_008EA,C23002F_009MA,C23002F_009EA,C23002F_010MA,C23002F_010EA,C23002F_011MA,C23002F_011EA,C23002F_012EA,C23002F_012MA,C23002F_013EA,C23002F_013MA,C23002F_014EA,C23002F_014MA,C23002F_015EA,C23002F_015MA,C23002F_016MA,C23002F_016EA,C23002F_017MA,C23002F_017EA,C23002F_018MA,C23002F_018EA,C23002F_019EA,C23002F_019MA,C23002F_020EA,C23002F_020MA,C23002F_021EA,C23002F_021MA,C23002F_022MA,C23002F_022EA,C23002F_023MA,C23002F_023EA,C23002F_024EA,C23002F_024MA,C23002F_025EA,C23002F_025MA,C23002F_026EA,C23002F_026MA,C23002F_027MA,C23002F_027EA,state
0400000US01,42285,3744,23001,2562,22393,2526,18962,2271,73,93,18889,2251,17926,2005,963,676,3431,949,608,438,163,212,105,204,58,81,445,398,19284,2053,18701,2062,9894,1588,71,130,9823,1591,9400,1567,423,301,8807,1782,583,365,69,81,69,81,0,189,514,356,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,313321,15468,156873,9112,148119,8919,120867,8433,530,461,120337,8529,108008,7825,12329,2054,27252,2300,8754,1304,2078,708,2020,706,58,74,6676,1125,156448,8217,144576,7940,92958,6348,116,160,92842,6338,83714,6071,9128,2114,51618,3770,11872,1640,1463,567,1420,566,43,70,10409,1567,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33476,3715,18568,2620,18020,2616,15720,2397,27,50,15693,2394,15080,2331,613,378,2300,879,548,311,132,200,132,200,0,190,416,246,14908,1819,14356,1878,8919,1518,0,190,8919,1518,8226,1528,693,445,5437,1097,552,385,0,190,0,190,0,190,552,385,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3765464,40362,1919579,23482,1803070,22620,1460026,21049,3547,922,1456479,21083,1320857,20394,135622,6426,343044,8623,116509,5403,23982,2146,21924,2086,2058,614,92527,4865,1845885,22032,1690182,19794,1069374,15625,583,485,1068791,15667,944452,15444,124339,5621,620808,13512,155703,5671,15415,1906,14632,1865,783,439,140288,5732,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,156976,9274,81529,4922,76152,4840,63355,3994,262,213,63093,3976,58720,3946,4373,1305,12797,1976,5377,962,1216,494,1147,475,69,113,4161,911,75447,5553,68803,5233,44967,4005,261,318,44706,3909,41609,3654,3097,978,23836,3164,6644,1183,732,374,629,371,103,132,5912,1206,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,148982,9580,77183,5894,73686,5827,55850,4496,122,234,55728,4482,50448,4085,5280,1301,17836,2759,3497,838,602,351,501,329,101,122,2895,810,71799,4874,66699,4621,46354,3890,0,197,46354,3890,38005,3451,8349,1527,20345,2636,5100,975,399,354,399,354,0,197,4701,975,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15457,2316,8266,1446,7951,1431,5878,1249,132,122,5746,1255,5292,1184,454,284,2073,805,315,233,107,163,107,163,0,185,208,168,7191,1389,6846,1386,4866,1250,0,185,4866,1250,4656,1264,210,190,1980,673,345,242,155,234,155,234,0,185,190,131,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22129,3483,12412,2257,11980,2142,9306,1535,0,198,9306,1535,8680,1558,626,469,2674,1203,432,503,0,198,0,198,0,198,432,503,9717,1683,9525,1683,7293,1448,0,198,7293,1448,6539,1357,754,460,2232,890,192,151,0,198,0,198,0,198,192,151,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,375074,18973,187889,10689,175163,10610,145447,9455,900,517,144547,9446,130174,9023,14373,3115,29716,3559,12726,1733,3474,1065,3435,1058,39,65,9252,1347,187185,11368,168654,10880,116112,8424,281,203,115831,8422,103704,7824,12127,1814,52542,5367,18531,3106,2058,762,1995,740,63,104,16473,2937,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
