GEO_ID,B01002B_001E,B01002B_001M,B01002B_002E,B01002B_002M,B01002B_003E,B01002B_003M,NAME,B01002B_001EA,B01002B_001MA,B01002B_002MA,B01002B_002EA,B01002B_003MA,B01002B_003EA,state
0400000US01,33.8,0.2,31.5,0.3,35.5,0.4,Alabama,null,null,null,null,null,null,01
0400000US02,31.1,5.9,27.1,2.7,34.0,6.5,Alaska,null,null,null,null,null,null,02
0400000US04,31.8,0.8,31.1,1.1,32.3,0.8,Arizona,null,null,null,null,null,null,04
0400000US05,31.8,0.6,29.8,0.8,33.4,0.7,Arkansas,null,null,null,null,null,null,05
0400000US06,35.7,0.3,34.4,0.3,37.0,0.4,California,null,null,null,null,null,null,06
0400000US08,32.2,0.7,31.8,1.1,32.8,1.3,Colorado,null,null,null,null,null,null,08
0400000US09,33.2,0.7,30.7,0.5,35.3,0.7,Connecticut,null,null,null,null,null,null,09
0400000US10,34.3,0.7,32.2,0.6,36.6,0.9,Delaware,null,null,null,null,null,null,10
0400000US11,37.0,0.4,34.9,0.4,38.6,0.6,District of Columbia,null,null,null,null,null,null,11
0400000US12,32.4,0.2,30.8,0.2,34.0,0.2,Florida,null,null,null,null,null,null,12
0400000US13,32.8,0.2,30.9,0.2,34.4,0.2,Georgia,null,null,null,null,null,null,13
0400000US15,30.3,1.4,32.1,1.6,28.9,1.8,Hawaii,null,null,null,null,null,null,15
0400000US16,21.2,2.0,23.6,2.3,17.7,1.9,Idaho,null,null,null,null,null,null,16
0400000US17,34.1,0.2,31.8,0.4,36.1,0.3,Illinois,null,null,null,null,null,null,17
0400000US18,31.5,0.5,29.8,0.5,33.0,0.5,Indiana,null,null,null,null,null,null,18
0400000US19,27.3,1.3,27.8,1.8,26.9,1.3,Iowa,null,null,null,null,null,null,19
0400000US20,30.8,1.0,29.9,1.2,32.1,1.4,Kansas,null,null,null,null,null,null,20
0400000US21,33.6,0.6,31.6,0.8,35.2,0.8,Kentucky,null,null,null,null,null,null,21
0400000US22,31.8,0.2,30.1,0.3,33.3,0.3,Louisiana,null,null,null,null,null,null,22
0400000US23,22.3,2.6,27.0,5.2,19.5,2.3,Maine,null,null,null,null,null,null,23
0400000US24,35.7,0.2,33.2,0.3,37.9,0.3,Maryland,null,null,null,null,null,null,24
0400000US25,32.8,0.5,31.3,1.2,33.8,0.6,Massachusetts,null,null,null,null,null,null,25
0400000US26,33.8,0.3,31.4,0.4,35.7,0.2,Michigan,null,null,null,null,null,null,26
0400000US27,27.5,0.9,26.9,0.9,28.0,1.0,Minnesota,null,null,null,null,null,null,27
0400000US28,32.4,0.3,29.9,0.3,34.1,0.3,Mississippi,null,null,null,null,null,null,28
0400000US29,32.2,0.3,30.5,0.5,33.7,0.5,Missouri,null,null,null,null,null,null,29
0400000US30,30.6,5.8,33.0,4.9,19.4,10.5,Montana,null,null,null,null,null,null,30
0400000US31,28.0,1.0,27.2,1.1,28.9,1.6,Nebraska,null,null,null,null,null,null,31
0400000US32,33.0,0.5,32.9,0.8,33.1,0.5,Nevada,null,null,null,null,null,null,32
0400000US33,29.8,2.5,31.9,4.9,27.8,3.5,New Hampshire,null,null,null,null,null,null,33
0400000US34,35.3,0.3,33.2,0.4,36.8,0.3,New Jersey,null,null,null,null,null,null,34
0400000US35,34.0,1.4,33.7,1.1,35.0,4.9,New Mexico,null,null,null,null,null,null,35
0400000US36,35.2,0.2,32.5,0.3,37.7,0.3,New York,null,null,null,null,null,null,36
0400000US37,35.0,0.2,32.6,0.4,36.8,0.3,North Carolina,null,null,null,null,null,null,37
0400000US38,24.5,1.3,26.2,1.4,20.5,8.2,North Dakota,null,null,null,null,null,null,38
0400000US39,33.6,0.3,31.6,0.4,35.2,0.3,Ohio,null,null,null,null,null,null,39
0400000US40,31.0,0.5,30.9,0.7,31.0,0.7,Oklahoma,null,null,null,null,null,null,40
0400000US41,31.6,2.4,31.1,2.5,33.1,3.4,Oregon,null,null,null,null,null,null,41
0400000US42,32.8,0.3,30.7,0.4,34.8,0.3,Pennsylvania,null,null,null,null,null,null,42
0400000US44,29.2,1.2,27.8,1.1,30.9,1.4,Rhode Island,null,null,null,null,null,null,44
0400000US45,34.6,0.3,32.2,0.4,36.5,0.5,South Carolina,null,null,null,null,null,null,45
0400000US46,22.5,3.1,22.7,4.9,22.4,3.7,South Dakota,null,null,null,null,null,null,46
0400000US47,32.9,0.4,30.7,0.4,34.5,0.3,Tennessee,null,null,null,null,null,null,47
0400000US48,32.7,0.2,31.1,0.3,34.2,0.3,Texas,null,null,null,null,null,null,48
0400000US49,25.7,2.1,25.6,1.8,26.5,5.7,Utah,null,null,null,null,null,null,49
0400000US50,25.2,3.4,23.4,3.2,30.3,6.2,Vermont,null,null,null,null,null,null,50
0400000US51,34.8,0.3,32.8,0.3,36.5,0.4,Virginia,null,null,null,null,null,null,51
0400000US53,33.4,0.8,33.9,0.9,32.1,1.3,Washington,null,null,null,null,null,null,53
0400000US54,33.1,2.2,32.0,2.3,34.5,4.9,West Virginia,null,null,null,null,null,null,54
0400000US55,29.1,0.4,28.5,0.7,29.5,0.4,Wisconsin,null,null,null,null,null,null,55
0400000US56,32.8,5.2,32.9,6.4,32.7,14.8,Wyoming,null,null,null,null,null,null,56
0400000US72,42.7,1.1,41.6,1.5,44.1,1.5,Puerto Rico,null,null,null,null,null,null,72
