GEO_ID,B16005D_001E,B16005D_001M,B16005D_002E,B16005D_002M,B16005D_003E,B16005D_003M,B16005D_004E,B16005D_004M,B16005D_005E,B16005D_005M,B16005D_006E,B16005D_006M,B16005D_007E,B16005D_007M,B16005D_008E,B16005D_008M,B16005D_009E,B16005D_009M,B16005D_010E,B16005D_010M,B16005D_011E,B16005D_011M,NAME,B16005D_001EA,B16005D_001MA,B16005D_002EA,B16005D_002MA,B16005D_003EA,B16005D_003MA,B16005D_004EA,B16005D_004MA,B16005D_005MA,B16005D_005EA,B16005D_006EA,B16005D_006MA,B16005D_007EA,B16005D_007MA,B16005D_008EA,B16005D_008MA,B16005D_009EA,B16005D_009MA,B16005D_010MA,B16005D_010EA,B16005D_011MA,B16005D_011EA,state
0400000US01,55569,2947,13856,2318,7525,2076,6331,1314,5304,1072,1027,576,41713,2870,6424,1524,35289,2961,14582,1842,20707,3056,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41334,1938,14008,1959,6280,1538,7728,1353,5079,1143,2649,1293,27326,1861,2140,671,25186,1670,9699,1648,15487,1663,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,198541,4360,55814,3558,34313,3119,21501,3307,18331,3267,3170,741,142727,4303,23562,2758,119165,4601,62433,4444,56732,4658,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34839,2234,9260,1395,3735,979,5525,1222,3990,1080,1535,895,25579,1860,5777,1473,19802,1927,8952,1534,10850,1753,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5124698,16323,1707166,18903,942480,17583,764686,15781,635993,14366,128693,6309,3417532,18696,323658,10897,3093874,23621,1384793,22232,1709081,19621,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,148431,3690,46654,3140,25531,2953,21123,2281,18050,2259,3073,937,101777,3363,18302,2057,83475,3536,42091,2865,41384,3030,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,142564,3543,35442,3019,14713,2127,20729,2576,17987,2374,2742,995,107122,3287,14758,2034,92364,3329,49002,3594,43362,3455,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,33860,793,7021,1260,3478,1039,3543,1148,2693,1401,850,609,26839,1484,3935,1570,22904,1665,12755,1790,10149,1810,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,23505,882,9845,1302,6255,1087,3590,786,3334,726,256,293,13660,1414,3544,956,10116,1332,5669,1134,4447,1373,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,500436,6957,126057,5626,74971,5569,51086,4724,44515,4328,6571,1705,374379,6721,78385,5508,295994,8148,156026,6993,139968,8258,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
