GEO_ID,C23002B_001E,C23002B_001M,C23002B_002E,C23002B_002M,C23002B_003E,C23002B_003M,C23002B_004E,C23002B_004M,C23002B_005E,C23002B_005M,C23002B_006E,C23002B_006M,C23002B_007E,C23002B_007M,C23002B_008E,C23002B_008M,C23002B_009E,C23002B_009M,C23002B_010E,C23002B_010M,C23002B_011E,C23002B_011M,C23002B_012E,C23002B_012M,C23002B_013E,C23002B_013M,C23002B_014E,C23002B_014M,C23002B_015E,C23002B_015M,C23002B_016E,C23002B_016M,C23002B_017E,C23002B_017M,C23002B_018E,C23002B_018M,C23002B_019E,C23002B_019M,C23002B_020E,C23002B_020M,C23002B_021E,C23002B_021M,C23002B_022E,C23002B_022M,C23002B_023E,C23002B_023M,C23002B_024E,C23002B_024M,C23002B_025E,C23002B_025M,C23002B_026E,C23002B_026M,C23002B_027E,C23002B_027M,NAME,C23002B_001MA,C23002B_001EA,C23002B_002MA,C23002B_002EA,C23002B_003MA,C23002B_003EA,C23002B_004EA,C23002B_004MA,C23002B_005EA,C23002B_005MA,C23002B_006MA,C23002B_006EA,C23002B_007MA,C23002B_007EA,C23002B_008MA,C23002B_008EA,C23002B_009MA,C23002B_009EA,C23002B_010EA,C23002B_010MA,C23002B_011EA,C23002B_011MA,C23002B_012MA,C23002B_012EA,C23002B_013MA,C23002B_013EA,C23002B_014MA,C23002B_014EA,C23002B_015EA,C23002B_015MA,C23002B_016EA,C23002B_016MA,C23002B_017MA,C23002B_017EA,C23002B_018MA,C23002B_018EA,C23002B_019MA,C23002B_019EA,C23002B_020MA,C23002B_020EA,C23002B_021EA,C23002B_021MA,C23002B_022EA,C23002B_022MA,C23002B_023EA,C23002B_023MA,C23002B_024EA,C23002B_024MA,C23002B_025MA,C23002B_025EA,C23002B_026MA,C23002B_026EA,C23002B_027EA,C23002B_027MA,state
0400000US01,999668,5301,452906,3295,398547,3427,252337,5520,1458,666,250879,5635,213640,5926,37239,3322,146210,5644,54359,1311,8580,1141,7927,1096,653,376,45779,1743,546762,3874,463705,3792,304217,4959,351,273,303866,4944,263756,5083,40110,3847,159488,5509,83057,1277,9059,1267,8845,1237,214,184,73998,1626,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20046,1397,12478,1446,11803,1365,9737,1363,1871,793,7866,1330,6456,979,1410,810,2066,648,675,517,109,187,109,187,0,145,566,488,7568,970,5946,852,4296,1004,312,246,3984,1065,3074,914,910,708,1650,866,1622,756,137,239,137,239,0,145,1485,778,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,213854,3953,112409,2847,101876,2698,71151,3280,1104,458,70047,3229,60679,2990,9368,1912,30725,2797,10533,709,2491,654,2249,661,242,225,8042,770,101445,2242,88461,2183,61551,2629,210,226,61341,2625,53153,2817,8188,1655,26910,2475,12984,828,1665,582,1524,571,141,140,11319,861,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,350769,3777,163093,2741,145181,2790,91049,4013,328,184,90721,4038,77583,4346,13138,1863,54132,3574,17912,853,2771,662,2689,659,82,85,15141,1046,187676,2482,162190,2754,106959,3538,71,88,106888,3543,95437,3680,11451,1567,55231,3238,25486,1107,3034,798,2850,761,184,161,22452,1417,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1812143,10042,887956,6815,778734,7093,507103,7826,11397,1960,495706,7841,414357,8138,81349,4841,271631,6609,109222,1591,22117,1892,20151,1950,1966,569,87105,2545,924187,6377,775056,6086,520995,8174,1432,561,519563,8123,449215,8247,70348,4456,254061,6600,149131,1493,20164,1655,18368,1582,1796,657,128967,2123,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,166123,3280,90918,2488,82757,2350,59984,2796,2087,858,57897,2618,52722,2993,5175,1384,22773,2503,8161,603,1924,572,1837,544,87,144,6237,727,75205,2404,65861,2341,49819,2509,641,444,49178,2540,45069,2458,4109,1086,16042,1729,9344,489,1488,571,1454,557,34,57,7856,722,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,287618,4807,135138,3388,120960,3214,89896,3361,648,495,89248,3327,73083,3620,16165,2106,31064,2435,14178,760,3033,694,3003,683,30,52,11145,929,152480,2989,130350,2914,98282,3055,418,419,97864,3022,86760,3252,11104,2261,32068,2532,22130,565,5040,958,4424,863,616,431,17090,1104,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,158070,1919,72919,1047,64094,1047,44006,2078,238,232,43768,2116,39784,2217,3984,1025,20088,2029,8825,185,2152,602,2077,598,75,88,6673,602,85151,1455,72665,1454,52260,2361,0,185,52260,2361,48560,2616,3700,998,20405,2267,12486,225,1943,599,1841,591,102,119,10543,651,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,260792,2314,115236,1314,98353,1215,65688,2051,699,366,64989,2083,51407,2357,13582,1764,32665,1854,16883,290,4196,706,3929,687,267,199,12687,763,145556,1453,117249,1383,80545,3663,0,198,80545,3663,68404,3242,12141,2016,36704,3343,28307,383,4298,799,4029,806,269,164,24009,879,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2465438,10264,1161779,7360,1029639,6518,695544,10077,6573,1368,688971,10112,589490,9956,99481,6458,334095,8868,132140,2466,24017,2270,22416,2365,1601,610,108123,2850,1303659,7053,1116279,6736,790746,9942,1946,728,788800,9873,692471,9035,96329,6485,325533,9768,187380,2282,25618,2228,23824,2241,1794,656,161762,3075,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
