GEO_ID,B12006_001E,B12006_001M,B12006_002E,B12006_002M,B12006_003E,B12006_003M,B12006_004E,B12006_004M,B12006_005E,B12006_005M,B12006_006E,B12006_006M,B12006_007E,B12006_007M,B12006_008E,B12006_008M,B12006_009E,B12006_009M,B12006_010E,B12006_010M,B12006_011E,B12006_011M,B12006_012E,B12006_012M,B12006_013E,B12006_013M,B12006_014E,B12006_014M,B12006_015E,B12006_015M,B12006_016E,B12006_016M,B12006_017E,B12006_017M,B12006_018E,B12006_018M,B12006_019E,B12006_019M,B12006_020E,B12006_020M,B12006_021E,B12006_021M,B12006_022E,B12006_022M,B12006_023E,B12006_023M,B12006_024E,B12006_024M,B12006_025E,B12006_025M,B12006_026E,B12006_026M,B12006_027E,B12006_027M,B12006_028E,B12006_028M,B12006_029E,B12006_029M,B12006_030E,B12006_030M,B12006_031E,B12006_031M,B12006_032E,B12006_032M,B12006_033E,B12006_033M,B12006_034E,B12006_034M,B12006_035E,B12006_035M,B12006_036E,B12006_036M,B12006_037E,B12006_037M,B12006_038E,B12006_038M,B12006_039E,B12006_039M,B12006_040E,B12006_040M,B12006_041E,B12006_041M,B12006_042E,B12006_042M,B12006_043E,B12006_043M,B12006_044E,B12006_044M,B12006_045E,B12006_045M,B12006_046E,B12006_046M,B12006_047E,B12006_047M,B12006_048E,B12006_048M,B12006_049E,B12006_049M,B12006_050E,B12006_050M,B12006_051E,B12006_051M,B12006_052E,B12006_052M,B12006_053E,B12006_053M,B12006_054E,B12006_054M,B12006_055E,B12006_055M,B12006_056E,B12006_056M,NAME,B12006_001MA,B12006_001EA,B12006_002MA,B12006_002EA,B12006_003MA,B12006_003EA,B12006_004EA,B12006_004MA,B12006_005EA,B12006_005MA,B12006_006MA,B12006_006EA,B12006_007MA,B12006_007EA,B12006_008MA,B12006_008EA,B12006_009EA,B12006_009MA,B12006_010EA,B12006_010MA,B12006_011EA,B12006_011MA,B12006_012MA,B12006_012EA,B12006_013MA,B12006_013EA,B12006_014MA,B12006_014EA,B12006_015MA,B12006_015EA,B12006_016EA,B12006_016MA,B12006_017MA,B12006_017EA,B12006_018MA,B12006_018EA,B12006_019MA,B12006_019EA,B12006_020EA,B12006_020MA,B12006_021EA,B12006_021MA,B12006_022EA,B12006_022MA,B12006_023MA,B12006_023EA,B12006_024MA,B12006_024EA,B12006_025EA,B12006_025MA,B12006_026EA,B12006_026MA,B12006_027EA,B12006_027MA,B12006_028MA,B12006_028EA,B12006_029MA,B12006_029EA,B12006_030EA,B12006_030MA,B12006_031EA,B12006_031MA,B12006_032EA,B12006_032MA,B12006_033EA,B12006_033MA,B12006_034MA,B12006_034EA,B12006_035MA,B12006_035EA,B12006_036EA,B12006_036MA,B12006_037EA,B12006_037MA,B12006_038EA,B12006_038MA,B12006_039MA,B12006_039EA,B12006_040EA,B12006_040MA,B12006_041EA,B12006_041MA,B12006_042EA,B12006_042MA,B12006_043EA,B12006_043MA,B12006_044EA,B12006_044MA,B12006_045EA,B12006_045MA,B12006_046EA,B12006_046MA,B12006_047EA,B12006_047MA,B12006_048EA,B12006_048MA,B12006_049EA,B12006_049MA,B12006_050MA,B12006_050EA,B12006_051MA,B12006_051EA,B12006_052MA,B12006_052EA,B12006_053EA,B12006_053MA,B12006_054EA,B12006_054MA,B12006_055EA,B12006_055MA,B12006_056MA,B12006_056EA,state
0400000US01,3868747,3738,1125493,14952,591140,8901,357158,7926,295716,7365,61442,4156,233982,7778,534353,9332,315157,7957,267041,8070,48116,4068,219196,7606,1871946,22905,947116,12335,657110,11564,635703,10998,21407,2611,290006,6692,924830,12721,508823,9361,485591,8934,23232,2293,416007,8599,100129,5347,38800,3523,22594,3124,18971,2851,3623,1225,16206,1924,61329,4076,37302,3436,32595,3284,4707,1211,24027,2596,279358,7281,58540,3163,12201,1769,10903,1652,1298,604,46339,3134,220818,6012,34021,2834,32019,2777,2002,742,186797,5345,491821,11439,212163,7368,125875,5891,114217,5721,11658,1969,86288,4388,279658,7677,163222,6753,150474,6789,12748,1901,116436,5203,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,569911,1636,191191,5976,112321,4326,81503,3604,71979,3784,9524,1418,30818,2389,78870,3246,54916,2823,50138,2877,4778,855,23954,2467,278723,7316,146060,4399,115673,4217,111536,4151,4137,995,30387,2252,132663,3914,84465,3758,81134,3777,3331,739,48198,3230,10231,1559,4750,1055,3598,886,2260,777,1338,612,1152,442,5481,1185,3822,954,3095,748,727,529,1659,534,21596,1987,5830,1200,2131,665,2071,664,60,42,3699,886,15766,1374,4352,833,4094,800,258,189,11414,1189,68170,3700,31557,2236,22416,1980,20833,1970,1583,470,9141,1101,36613,2660,26023,2361,22595,2193,3428,1108,10590,1485,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5290469,4130,1706636,18919,940748,11924,612520,11123,536189,11689,76331,4915,328228,8150,765888,12315,490700,9732,438402,10071,52298,4808,275188,8445,2520922,26917,1270521,15229,857078,14372,818706,13830,38372,3260,413443,7097,1250401,15087,645436,11666,611078,11636,34358,2752,604965,10394,99428,5912,42674,3435,29492,3245,26301,3047,3191,1089,13182,1859,56754,4266,36606,3819,31836,3463,4770,1292,20148,2410,302611,8363,69826,3690,14250,1887,12631,1839,1619,715,55576,3428,232785,6301,38672,2971,36110,2762,2562,866,194113,6005,660872,14310,285632,8658,172935,7100,156434,6926,16501,2051,112697,5121,375240,10112,232718,8578,215715,8410,17003,2269,142522,5928,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2343443,3729,634767,9989,346627,7436,209176,7210,181247,7261,27929,2769,137451,5236,288140,6312,163448,6216,143730,6183,19718,2276,124692,5558,1180419,16513,595754,9582,411860,8756,397184,8835,14676,1988,183894,4830,584665,8598,326414,7589,315150,7906,11264,1694,258251,7099,58811,4209,21784,2289,13379,2016,11913,1864,1466,537,8405,1245,37027,3336,22280,2610,20108,2377,2172,735,14747,2187,161752,5899,31469,2798,6765,1459,6659,1447,106,93,24704,2392,130283,4354,22437,2482,20738,2377,1699,686,107846,3347,307694,9369,141114,6508,87953,5360,81336,5138,6617,1505,53161,3446,166580,5548,101113,4516,94783,4459,6330,1411,65467,3807,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30704439,9615,10999175,43608,5959580,26317,3975530,25000,3449136,25678,526394,11189,1984050,19342,5039595,27222,3202794,22044,2837294,22127,365500,9739,1836801,19556,14418843,51126,7318258,28045,5496818,22915,5243498,23705,253320,7894,1821440,17756,7100585,30973,4055375,26977,3805846,25890,249529,6927,3045210,27487,694119,14735,277091,10224,187241,7983,166163,7405,21078,2572,89850,5030,417028,12032,274396,9540,244549,9010,29847,2905,142632,6821,1580970,16879,337427,8573,80003,3981,72999,3946,7004,1438,257424,7249,1243543,14426,225470,7062,207783,6561,17687,2142,1018073,11871,3011332,28284,1236015,15328,798173,13180,720851,12573,77322,4455,437842,9560,1775317,20165,1110793,17289,1019907,16689,90886,4790,664524,11259,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4238297,3544,1291653,14832,724603,10242,527740,9397,477761,9557,49979,3711,196863,5788,567050,9285,413972,8647,382808,7867,31164,2953,153078,6278,2165910,18954,1089797,12090,837142,11787,814081,12150,23061,2271,252655,5042,1076113,10577,653043,9814,627872,9473,25171,2535,423070,6942,69327,4347,30258,2863,20981,2209,18621,2240,2360,806,9277,1495,39069,2866,26544,2812,24755,2724,1789,676,12525,1824,185441,6287,44334,2988,13702,1766,12860,1717,842,424,30632,2365,141107,5503,28638,2525,27571,2499,1067,498,112469,4318,525966,12668,228494,8771,160105,7534,151045,7389,9060,1271,68389,3962,297472,7439,203224,6718,192079,6268,11145,1853,94248,4226,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2919245,2833,977040,11945,515000,7893,361045,7977,310099,7597,50946,4206,153955,4482,462040,6385,319834,5967,284002,6474,35832,3268,142206,5894,1406851,18271,710612,9799,544005,9787,521010,9453,22995,2202,166607,4709,696239,10095,450100,8533,429950,8471,20150,1926,246139,6576,36574,3001,15682,2118,10570,1829,9179,1808,1391,641,5112,1289,20892,2244,13740,1982,11833,1906,1907,747,7152,1341,169653,5437,34402,2777,9086,1551,8626,1587,460,295,25316,2234,135251,4243,24209,1938,22533,1936,1676,554,111042,3977,329127,11483,132856,5809,93327,4707,85158,4275,8169,1752,39529,3338,196271,8165,136095,6334,125552,5958,10543,1551,60176,3748,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,754226,1498,244598,5719,126838,3392,83672,3518,73696,3770,9976,1577,43166,2952,117760,3935,80871,4225,72994,4204,7877,1495,36889,2933,358445,7747,178430,4307,123037,4328,119366,4340,3671,754,55393,2405,180015,4278,109096,3857,105021,3795,4075,1150,70919,3119,11814,1825,4973,1272,4011,1229,3390,1093,621,532,962,395,6841,1304,4215,1010,3450,895,765,523,2626,824,46329,2461,10828,1345,2551,682,2514,676,37,61,8277,1137,35501,1916,5802,1108,5330,996,472,474,29699,1657,93040,4699,39811,2928,27084,2908,25218,2849,1866,715,12727,1524,53229,2989,35346,2457,32859,2345,2487,822,17883,1911,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,555126,827,312246,5880,148585,3744,105011,3571,92742,3758,12269,1843,43574,3325,163661,3682,118223,3740,107726,3705,10497,1825,45438,3592,153806,6207,77597,3891,59918,3172,57168,3113,2750,775,17679,1760,76209,3393,52808,3111,49703,2820,3105,969,23401,2194,13772,2118,6440,1489,4410,1370,3823,1344,587,269,2030,701,7332,1400,5178,1247,4635,1182,543,360,2154,680,24803,2081,4615,846,1301,479,1278,475,23,39,3314,776,20188,1824,4533,1145,4052,1089,481,321,15655,1382,50499,2687,22557,1649,14723,1595,12816,1505,1907,761,7834,1162,27942,2149,16470,1552,15038,1448,1432,656,11472,1697,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16308785,7380,4995107,29928,2695933,22786,1754609,20393,1530378,19574,224231,10005,941324,15969,2299174,17470,1474073,18660,1303517,16907,170556,7933,825101,16489,7583247,47721,3871313,27348,2526782,26327,2422254,25697,104528,5297,1344531,14981,3711934,27795,1979956,21551,1867313,21075,112643,6615,1731978,21549,397467,12007,162278,7502,108382,6027,96716,5763,11666,2090,53896,3885,235189,9926,159572,7209,141917,6873,17655,2593,75617,6046,1181142,16605,259228,7179,52429,4110,47292,3804,5137,1440,206799,6509,921914,15221,160463,6755,149840,6555,10623,2220,761451,13828,2151822,23668,900038,16440,561266,13641,509953,13716,51313,4650,338772,9862,1251784,15827,779630,14042,723301,14743,56329,4451,472154,11300,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
