GEO_ID,B10058_001E,B10058_001M,B10058_002E,B10058_002M,B10058_003E,B10058_003M,B10058_004E,B10058_004M,B10058_005E,B10058_005M,B10058_006E,B10058_006M,B10058_007E,B10058_007M,B10058_008E,B10058_008M,B10058_009E,B10058_009M,B10058_010E,B10058_010M,B10058_011E,B10058_011M,NAME,B10058_001MA,B10058_001EA,B10058_002EA,B10058_002MA,B10058_003EA,B10058_003MA,B10058_004EA,B10058_004MA,B10058_005EA,B10058_005MA,B10058_006MA,B10058_006EA,B10058_007MA,B10058_007EA,B10058_008EA,B10058_008MA,B10058_009EA,B10058_009MA,B10058_010MA,B10058_010EA,B10058_011MA,B10058_011EA,state
0400000US01,114534,6358,51450,3879,29020,3234,22049,2740,6971,1441,22430,2847,63084,4110,30890,2998,13040,2060,17850,2317,32194,2647,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14694,1540,7020,1158,3409,723,2471,591,938,373,3611,924,7674,1203,2315,495,748,258,1567,433,5359,1141,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,161514,8101,76801,5281,32626,3012,24639,2459,7987,1347,44175,4347,84713,5184,26138,2456,10953,1947,15185,1715,58575,4279,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,69110,4713,35417,3181,20053,2209,14911,1973,5142,1091,15364,2229,33693,3027,17600,2095,9033,1513,8567,1341,16093,2282,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1161135,20054,508084,14420,157837,7270,116124,6731,41713,3139,350247,11554,653051,12759,126551,6446,45936,3977,80615,4707,526500,10877,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,92261,5807,52186,4391,21398,2604,15613,2420,5785,1272,30788,3490,40075,3576,11245,1979,4117,1099,7128,1466,28830,3045,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,61705,4165,29510,2621,11305,1727,8648,1433,2657,797,18205,2549,32195,2931,8397,1861,3814,1305,4583,1290,23798,2519,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,25008,2731,13139,1966,6301,1282,4932,1179,1369,584,6838,1532,11869,1806,3677,958,1458,619,2219,695,8192,1710,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9919,1771,4928,1188,2339,702,1701,758,638,292,2589,913,4991,1118,1854,609,684,381,1170,442,3137,938,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,480862,16174,219446,10771,93228,7275,65137,5936,28091,3978,126218,7036,261416,10483,62488,4878,25186,2742,37302,3369,198928,9145,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,260132,10221,128310,7310,67777,4715,51246,3882,16531,2237,60533,5059,131822,6764,46920,3396,20148,2732,26772,2726,84902,5870,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,55432,3776,26442,2641,8249,1615,5560,1435,2689,831,18193,1926,28990,3201,5764,1192,885,450,4879,1195,23226,2741,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28354,3992,14367,2680,6459,1710,4207,1276,2252,1164,7908,1817,13987,2333,6091,1507,2554,1228,3537,968,7896,1928,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,269663,9174,134658,5373,54378,4180,43098,3782,11280,1537,80280,4991,135005,6558,36953,3057,14200,1925,22753,2232,98052,5352,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,127546,6365,68389,4676,34408,3329,27695,3144,6713,1291,33981,3012,59157,4036,22964,2689,11277,1691,11687,1880,36193,3137,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,37826,3149,23491,2621,10501,1687,8602,1602,1899,570,12990,1949,14335,1804,4296,809,1627,608,2669,637,10039,1496,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,51363,4603,28916,3082,14366,2189,10235,1647,4131,1183,14550,2133,22447,2627,8729,1276,3566,911,5163,1059,13718,2134,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,103367,6085,50029,3904,27542,2900,22084,2561,5458,1064,22487,2670,53338,4094,28379,2983,14694,2188,13685,1977,24959,2424,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
