GEO_ID,C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,NAME,C27001D_001MA,C27001D_001EA,C27001D_002MA,C27001D_002EA,C27001D_003EA,C27001D_003MA,C27001D_004MA,C27001D_004EA,C27001D_005EA,C27001D_005MA,C27001D_006MA,C27001D_006EA,C27001D_007MA,C27001D_007EA,C27001D_008EA,C27001D_008MA,C27001D_009MA,C27001D_009EA,C27001D_010EA,C27001D_010MA,state
0400000US01,57722,2995,12656,1404,11354,1312,1302,838,39938,2322,32601,2087,7337,1903,5128,1103,4156,1016,972,433,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43199,2231,10377,1464,8935,1612,1442,784,29314,1530,22924,1942,6390,1443,3508,607,2996,616,512,388,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,210063,4806,47322,2840,44388,2821,2934,1130,140920,3790,122078,4102,18842,2642,21821,1136,20582,1621,1239,1360,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36286,2267,8429,1131,8255,1155,174,238,25754,1711,22110,1647,3644,1079,2103,663,2103,663,0,190,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5370916,18288,1016641,10976,974063,10503,42578,4652,3628577,9942,3210792,13633,417785,10479,725698,3227,707431,4023,18267,2569,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,156451,4077,35393,2240,34023,2291,1370,618,106455,2924,92221,2961,14234,2289,14603,733,14027,813,576,372,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,150850,3770,32661,2089,31494,2231,1167,844,107308,2391,98289,2748,9019,1872,10881,750,9898,935,983,566,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36092,874,8126,689,7121,1213,1005,926,24574,941,20131,1965,4443,2080,3392,409,3234,413,158,204,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24840,1156,2317,767,2123,720,194,224,20936,795,18339,1240,2597,974,1587,216,1430,364,157,249,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,522706,7748,100370,4575,88988,4292,11382,2926,358183,4868,284990,6281,73193,5178,64153,1776,60920,1877,3233,1032,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
