GEO_ID,C15002A_001E,C15002A_001M,C15002A_002E,C15002A_002M,C15002A_003E,C15002A_003M,C15002A_004E,C15002A_004M,C15002A_005E,C15002A_005M,C15002A_006E,C15002A_006M,C15002A_007E,C15002A_007M,C15002A_008E,C15002A_008M,C15002A_009E,C15002A_009M,C15002A_010E,C15002A_010M,C15002A_011E,C15002A_011M,NAME,C15002A_001EA,C15002A_001MA,C15002A_002MA,C15002A_002EA,C15002A_003MA,C15002A_003EA,C15002A_004MA,C15002A_004EA,C15002A_005EA,C15002A_005MA,C15002A_006EA,C15002A_006MA,C15002A_007EA,C15002A_007MA,C15002A_008MA,C15002A_008EA,C15002A_009MA,C15002A_009EA,C15002A_010EA,C15002A_010MA,C15002A_011EA,C15002A_011MA,state
0400000US01,2331437,4252,1121450,2783,155860,6066,351178,7622,318280,7410,296132,6915,1209987,2632,155273,5627,375993,7516,370869,8478,307852,6996,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,332292,1769,176831,1244,8026,1266,47090,2756,69612,3322,52103,2662,155461,1068,6378,1193,34281,2608,57268,3401,57534,3106,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3620400,12206,1770494,7152,226004,6842,426726,10807,593423,9854,524341,7514,1849906,6312,213592,7807,446898,9846,668497,12237,520919,9676,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1599406,3524,774060,2301,111741,5616,278957,7072,211321,6389,172041,6291,825346,2241,105034,4402,281163,7135,254851,7348,184298,6153,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16285604,32250,8022527,20617,1290497,19660,1703550,22217,2351210,21490,2677270,20853,8263077,17771,1247307,17276,1719034,18452,2670615,19455,2626121,19376,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3103425,7757,1537393,5057,137802,5730,334853,9622,458205,8523,606533,9652,1566032,4573,114603,4840,335826,7455,481211,8823,634392,8041,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1976309,6941,942924,4363,76715,3981,266229,8476,219698,7365,380282,6394,1033385,3922,79560,4837,269622,7100,266880,5928,417323,7139,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,467717,2145,223173,1425,25051,2469,71658,3609,57123,3193,69341,3504,244544,1344,20311,2192,80221,2777,67413,3064,76599,3231,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,200785,2697,101529,1664,2355,1077,3323,885,7562,1373,88289,1681,99256,1409,2800,790,3455,1117,6207,1121,86794,1575,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11147009,18601,5380572,11259,646743,16403,1573842,18140,1547989,19021,1611998,18227,5766437,10766,604582,11126,1710141,18190,1856089,18274,1595625,19060,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4148932,9759,2017411,6036,280317,8309,564204,11948,519493,10031,653397,11251,2131521,5800,246775,7173,595752,11017,617778,10072,671216,9993,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,271487,1992,148393,1556,5281,1227,29639,2521,52657,3498,60816,3035,123094,1402,5123,1176,23890,2113,39892,2608,54189,2400,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,977553,3171,479577,1897,46183,3795,137409,6152,167724,6309,128261,5404,497976,2037,40997,2889,138062,5428,198195,6584,120722,5257,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6477315,12174,3145633,6918,307288,7250,863060,12273,896453,13159,1078832,11129,3331682,6875,307595,7194,909967,12644,970093,12521,1144027,9908,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
