GEO_ID,B12002A_001E,B12002A_001M,B12002A_002E,B12002A_002M,B12002A_003E,B12002A_003M,B12002A_004E,B12002A_004M,B12002A_005E,B12002A_005M,B12002A_006E,B12002A_006M,B12002A_007E,B12002A_007M,B12002A_008E,B12002A_008M,B12002A_009E,B12002A_009M,B12002A_010E,B12002A_010M,B12002A_011E,B12002A_011M,B12002A_012E,B12002A_012M,B12002A_013E,B12002A_013M,NAME,B12002A_001EA,B12002A_001MA,B12002A_002MA,B12002A_002EA,B12002A_003MA,B12002A_003EA,B12002A_004MA,B12002A_004EA,B12002A_005MA,B12002A_005EA,B12002A_006EA,B12002A_006MA,B12002A_007MA,B12002A_007EA,B12002A_008MA,B12002A_008EA,B12002A_009MA,B12002A_009EA,B12002A_010EA,B12002A_010MA,B12002A_011EA,B12002A_011MA,B12002A_012EA,B12002A_012MA,B12002A_013MA,B12002A_013EA,state
0400000US01,2754772,4273,1338163,3061,361933,6776,758804,10122,20058,2796,44500,2810,152868,6413,1416609,2764,291371,5655,746878,10156,27705,2765,160029,5713,190626,6775,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,398695,2051,214186,1443,71097,3232,112103,3676,2681,719,4117,1036,24188,2033,184509,1307,47325,2439,97287,3397,2719,791,10495,1149,26683,2132,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4310766,17002,2126383,10228,726896,13315,1067606,13659,29636,2950,61848,3325,240397,7808,2184383,9017,583381,11651,1046327,13964,41381,3131,202233,5885,311061,10115,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1898629,4190,928540,3015,256885,6042,515658,8070,14549,2010,26887,2643,114561,5981,970089,2564,198188,5286,501814,8160,24229,2714,110769,4042,135089,5008,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,19488604,38857,9679413,23272,3665902,26431,4740522,21385,160060,7907,239236,6900,873693,13873,9809191,23000,3008108,23224,4486220,25173,238505,8766,829438,11572,1246920,18213,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3687074,9817,1841741,6151,628537,10436,954114,10888,23599,2603,39512,2628,195979,8454,1845333,5870,490063,8431,940825,9074,30256,3024,124532,5003,259657,7402,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2330829,9122,1125591,5572,388446,6817,588147,7969,9371,1535,29936,2438,109691,4991,1205238,4861,339332,5679,580211,8954,11577,1600,116361,3824,157757,6970,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,545515,2577,262975,1741,83471,2607,138033,3503,3147,855,9133,1166,29191,2569,282540,1570,73317,3141,138446,3914,4506,1146,27282,1691,38989,3011,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,237075,2965,118089,1865,64734,2528,43567,2796,2142,969,1183,514,6463,1158,118986,1579,63926,1953,40628,2408,1336,670,4457,1116,8639,1197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12867992,21428,6267125,11655,1979036,22298,3218818,26152,112117,6200,219839,6774,737315,14889,6600867,13095,1587980,16268,3070394,23015,160682,7718,780353,13298,1001458,14957,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
