GEO_ID,B17009_001E,B17009_001M,B17009_002E,B17009_002M,B17009_003E,B17009_003M,B17009_004E,B17009_004M,B17009_005E,B17009_005M,B17009_006E,B17009_006M,B17009_007E,B17009_007M,B17009_008E,B17009_008M,B17009_009E,B17009_009M,B17009_010E,B17009_010M,B17009_011E,B17009_011M,B17009_012E,B17009_012M,B17009_013E,B17009_013M,B17009_014E,B17009_014M,B17009_015E,B17009_015M,B17009_016E,B17009_016M,B17009_017E,B17009_017M,B17009_018E,B17009_018M,B17009_019E,B17009_019M,B17009_020E,B17009_020M,B17009_021E,B17009_021M,NAME,B17009_001MA,B17009_001EA,B17009_002MA,B17009_002EA,B17009_003EA,B17009_003MA,B17009_004EA,B17009_004MA,B17009_005EA,B17009_005MA,B17009_006MA,B17009_006EA,B17009_007MA,B17009_007EA,B17009_008EA,B17009_008MA,B17009_009EA,B17009_009MA,B17009_010EA,B17009_010MA,B17009_011MA,B17009_011EA,B17009_012MA,B17009_012EA,B17009_013MA,B17009_013EA,B17009_014EA,B17009_014MA,B17009_015EA,B17009_015MA,B17009_016EA,B17009_016MA,B17009_017MA,B17009_017EA,B17009_018MA,B17009_018EA,B17009_019EA,B17009_019MA,B17009_020EA,B17009_020MA,B17009_021EA,B17009_021MA,state
0400000US01,809471,14554,257702,8376,15687,2311,7788,1632,7899,1595,75838,4910,38439,3560,37399,3587,166177,6988,111620,4877,54557,4441,551769,12581,290574,10407,219869,7254,70705,5717,79108,5178,58840,4104,20268,2409,182087,5551,172146,5149,9941,1472,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,154740,6004,27963,2749,1228,490,352,289,876,397,12594,1677,3652,874,8942,1370,14141,1625,5540,975,8601,1357,126777,5568,73561,4479,40366,2873,33195,3040,34188,2991,19281,2000,14907,1985,19028,1865,15453,1676,3575,915,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1302647,21866,365853,11710,24695,3069,11957,2171,12738,2181,130320,7963,53455,4076,76865,5939,210838,8236,114377,5384,96461,6785,936794,18800,510562,13738,326933,9354,183629,7528,162700,6011,108039,4317,54661,3974,263532,8588,234501,7500,29031,2949,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,521499,13530,172213,6865,10200,2061,6714,1574,3486,1017,55121,4354,25676,2503,29445,3332,106892,5330,66515,3744,40377,3469,349286,10920,187576,8256,137411,6737,50165,4547,52008,3515,39864,2803,12144,2220,109702,5380,102896,4790,6806,1357,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6835379,44335,1961479,26319,108270,6701,40825,3858,67445,5068,649773,15401,218715,6886,431058,12171,1203436,21946,543939,11844,659497,15579,4873900,36753,2678672,29824,1580705,18503,1097967,19905,1060954,17794,638119,12794,422835,11441,1134274,13661,974286,12673,159988,6752,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1100300,13772,258802,8666,19628,2702,7983,1363,11645,2261,119749,6797,49087,3208,70662,5215,119425,6173,71178,4545,48247,4146,841498,13289,499926,10861,331553,6841,168373,7980,180000,7683,115824,5367,64176,4500,161572,4753,148684,4427,12888,1797,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,663876,12352,144112,5650,5556,1153,2460,731,3096,881,44641,3367,18072,2207,26569,2447,93915,5678,55691,3794,38224,3322,519764,10944,273467,9408,190003,6399,83464,4610,104857,4713,72469,3594,32388,3328,141440,5363,129859,4941,11581,1454,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,172263,6855,43937,3533,1647,848,929,750,718,385,14849,2227,6407,1348,8442,1581,27441,2482,13151,1634,14290,1955,128326,6166,74199,5615,51164,3810,23035,3114,21152,2176,15168,1780,5984,1311,32975,2415,29924,2231,3051,811,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,242889,6141,50863,3273,2451,774,1692,710,759,399,16121,2018,7732,1388,8389,1543,32291,2789,20810,2463,11481,1729,192026,6188,135961,5666,88111,3614,47850,3730,31985,2793,20032,2320,11953,1750,24080,1958,21137,1927,2943,854,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3958430,37922,1092676,21962,69697,5287,32405,2871,37292,4406,328347,11433,139099,6283,189248,8632,694632,16225,383719,10540,310913,11831,2865754,31278,1515902,24627,982447,15590,533455,16077,482227,12353,322744,8781,159483,8359,867625,12902,774221,11868,93404,6551,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
