B08501_007E,B08501_007M,B08501_008E,B08501_008M,B08501_009E,B08501_009M,B08501_010E,B08501_010M,B08501_011E,B08501_011M,B08501_012E,B08501_012M,B08501_013E,B08501_013M,B08501_014E,B08501_014M,B08501_015E,B08501_015M,B08501_016E,B08501_016M,B08501_017E,B08501_017M,B08501_018E,B08501_018M,B08501_019E,B08501_019M,B08501_020E,B08501_020M,B08501_021E,B08501_021M,B08501_022E,B08501_022M,B08501_023E,B08501_023M,B08501_024E,B08501_024M,B08501_025E,B08501_025M,B08501_026E,B08501_026M,B08501_027E,B08501_027M,B08501_028E,B08501_028M,B08501_029E,B08501_029M,B08501_030E,B08501_030M,B08501_031E,B08501_031M,B08501_032E,B08501_032M,B08501_033E,B08501_033M,B08501_034E,B08501_034M,B08501_035E,B08501_035M,B08501_036E,B08501_036M,B08501_037E,B08501_037M,B08501_038E,B08501_038M,B08501_039E,B08501_039M,B08501_040E,B08501_040M,B08501_041E,B08501_041M,B08501_042E,B08501_042M,B08501_043E,B08501_043M,B08501_044E,B08501_044M,B08501_045E,B08501_045M,B08501_046E,B08501_046M,B08501_047E,B08501_047M,B08501_048E,B08501_048M,B08501_049E,B08501_049M,B08501_050E,B08501_050M,B08501_051E,B08501_051M,B08501_052E,B08501_052M,B08501_053E,B08501_053M,B08501_054E,B08501_054M,B08501_055E,B08501_055M,B08501_056E,B08501_056M,GEO_ID,B08501_001E,B08501_001M,B08501_002E,B08501_002M,B08501_003E,B08501_003M,B08501_004E,B08501_004M,B08501_005E,B08501_005M,B08501_006E,B08501_006M,B08501_007EA,B08501_007MA,B08501_008EA,B08501_008MA,B08501_009EA,B08501_009MA,B08501_010MA,B08501_010EA,B08501_011MA,B08501_011EA,B08501_012EA,B08501_012MA,B08501_013MA,B08501_013EA,B08501_014EA,B08501_014MA,B08501_015EA,B08501_015MA,B08501_016MA,B08501_016EA,B08501_017EA,B08501_017MA,B08501_018MA,B08501_018EA,B08501_019EA,B08501_019MA,B08501_020EA,B08501_020MA,B08501_021MA,B08501_021EA,B08501_022EA,B08501_022MA,B08501_023EA,B08501_023MA,B08501_024MA,B08501_024EA,B08501_025EA,B08501_025MA,B08501_026EA,B08501_026MA,B08501_027MA,B08501_027EA,B08501_028EA,B08501_028MA,B08501_029MA,B08501_029EA,B08501_030EA,B08501_030MA,B08501_031EA,B08501_031MA,B08501_032MA,B08501_032EA,B08501_033EA,B08501_033MA,B08501_034EA,B08501_034MA,B08501_035MA,B08501_035EA,B08501_036EA,B08501_036MA,B08501_037EA,B08501_037MA,B08501_038MA,B08501_038EA,B08501_039MA,B08501_039EA,B08501_040EA,B08501_040MA,B08501_041EA,B08501_041MA,B08501_042EA,B08501_042MA,B08501_043MA,B08501_043EA,B08501_044MA,B08501_044EA,B08501_045EA,B08501_045MA,B08501_046EA,B08501_046MA,B08501_047EA,B08501_047MA,B08501_048EA,B08501_048MA,B08501_049MA,B08501_049EA,B08501_050MA,B08501_050EA,B08501_051EA,B08501_051MA,B08501_052EA,B08501_052MA,B08501_053EA,B08501_053MA,B08501_054MA,B08501_054EA,B08501_055MA,B08501_055EA,B08501_056EA,B08501_056MA,NAME,B08501_001EA,B08501_001MA,B08501_002EA,B08501_002MA,B08501_003EA,B08501_003MA,B08501_004EA,B08501_004MA,B08501_005MA,B08501_005EA,B08501_006MA,B08501_006EA,state
131036,4808,102594,4031,1681753,15904,47303,3751,163856,5326,719733,9882,376644,7312,172043,6502,114982,4751,87192,3657,170458,8413,8086,1590,21855,2954,81179,4536,32403,3233,12801,1753,8357,1484,5777,1142,7454,1743,393,303,603,448,3640,1116,1179,555,795,357,443,302,401,255,22253,2718,3398,1065,5079,1404,6413,1190,3248,1031,1836,815,847,382,1432,581,21577,2458,754,444,3929,1241,8222,1473,4611,1300,2050,793,1081,654,930,438,57233,3661,1736,560,4073,1217,19547,2293,14538,1733,5151,1079,5326,1053,6862,1232,0400000US01,1960728,14412,61670,4258,199395,5020,838734,9924,432623,7121,194676,6020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
23453,1787,16452,1787,250684,6214,8343,1427,29044,2420,114997,4146,47689,2238,24260,1971,15517,1550,10834,1496,43650,3232,2862,805,7199,1270,18399,1995,8374,1377,3485,780,2164,623,1167,611,5178,1224,262,218,1992,845,2049,836,358,180,341,195,149,112,27,34,29491,2206,1120,388,4438,924,11109,1470,6049,891,2734,820,2468,457,1573,530,23206,2226,573,262,2581,829,9475,1394,5892,929,2296,676,1163,345,1226,544,13915,1891,371,286,1378,775,3912,970,3090,769,1547,533,1992,680,1625,504,0400000US02,366124,5570,13531,1614,46632,2266,159941,3321,71452,2435,34663,2112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
172758,5341,134280,5161,2158777,17865,66116,4120,230590,6985,965876,11897,464651,6823,195780,6285,136139,4372,99625,4077,293325,9205,15946,2032,39212,3655,139160,6552,57537,3389,21422,2219,11942,1925,8106,1256,56512,4964,4367,1096,11626,2124,22049,2833,9793,1853,4383,1045,1948,561,2346,805,55428,4255,6042,1497,11885,1930,20520,2752,7235,1365,3654,832,3338,1289,2754,762,78261,5498,6164,1374,11109,2484,32463,3262,14968,2272,6058,1263,4145,907,3354,901,161653,6371,3170,925,6322,1534,58201,4030,39918,2805,20701,2099,15246,1875,18095,1999,0400000US04,2803956,19199,101805,4967,310744,7214,1238269,11068,594102,6667,251998,6735,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
81416,3847,68009,3395,1028051,13906,32825,2896,102426,5044,444845,8320,222033,5164,99302,4160,69588,3554,57032,2994,134288,6948,7801,1648,19146,2763,63549,4228,23528,2468,10280,1521,6300,986,3684,837,4138,1186,289,262,675,488,1676,645,844,571,327,274,177,178,150,186,21931,2424,2070,524,4746,1205,6403,1372,4635,970,1452,584,1235,461,1390,570,15173,2221,641,354,2063,777,7035,1483,2307,726,1598,593,729,374,800,430,41375,3177,578,343,2711,921,14987,2236,9585,1782,5174,1075,3387,915,4953,1297,0400000US05,1244956,13403,44204,3274,131767,5194,538495,7544,262932,5603,118133,4342,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
1053515,13506,797786,11132,12684561,45443,248535,7792,1199967,14302,5848104,28018,2851186,18163,1181993,15047,780968,11809,573808,9416,1811654,28148,67703,4212,206150,8161,859470,15863,384214,9957,139989,6192,91385,4918,62743,4307,913139,15806,30070,2939,120527,5793,437619,10157,171243,7102,69224,3674,50906,3456,33550,2776,466979,12148,43075,2888,90598,5713,188360,7869,71993,4599,30723,3166,23032,2270,19198,1873,448540,12892,21437,2635,63688,4107,221203,8108,75085,4283,32748,2922,20809,1911,13570,1696,930975,16361,15880,2114,47729,3722,350647,11654,231021,7401,104366,5306,86415,4436,94917,4274,0400000US06,17255848,41675,426700,10346,1728659,13525,7905403,25930,3784742,16494,1559043,16559,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,06
178212,6215,124539,3969,2019345,15439,62512,4304,194797,5454,903873,9624,428944,6146,198006,6039,138526,5497,92687,3428,256486,9969,14326,1694,30052,3438,129241,6390,46430,3488,16169,1939,12357,1700,7911,1286,88323,4484,4503,1387,13695,1873,42042,3078,14807,1814,6068,1172,4012,811,3196,835,70858,4677,7598,1244,16538,2275,27969,3188,8123,1515,4122,897,3781,854,2727,719,59643,4423,2447,715,8251,1602,28337,3167,11207,1553,4321,1007,2750,642,2330,631,174353,6876,3921,1000,8128,1474,67300,4422,42118,2869,20412,1856,16786,1885,15688,1850,0400000US08,2669008,13651,95307,4285,271461,5380,1198762,8154,551629,5313,249098,6144,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
131513,5095,107188,3894,1387627,14015,37059,2626,110837,4189,538130,8696,339672,6415,165427,5242,109573,4857,86929,3510,143947,7901,8969,1490,17348,2099,63767,4934,27968,2725,11962,1577,7310,1368,6623,1341,61369,3884,3484,929,9594,1689,29487,2983,11271,1720,4167,1124,2052,635,1314,451,55140,3918,7937,1377,14137,1945,19177,2657,6905,1453,2145,740,3162,865,1677,619,21398,2533,2313,913,2586,955,7274,1531,4495,1147,2102,733,1235,437,1393,514,81594,4474,2033,786,4922,1370,24348,2609,24404,2564,8454,1322,8181,1314,9252,1203,0400000US09,1751075,13180,61795,3737,159424,4283,682183,7738,414715,7138,194257,5652,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
29739,2120,25103,2007,359027,8816,8822,1422,33553,2835,147011,4950,84379,3306,38642,2013,25696,2054,20924,1983,35048,3682,2506,944,3619,1071,17474,2250,5810,1193,2711,681,1501,499,1427,605,10085,1800,704,384,1528,651,3575,1054,1884,706,1682,824,568,336,144,125,9247,1842,1095,452,1754,801,3596,1061,1451,685,577,287,460,292,314,169,4772,1295,494,456,854,600,1939,641,535,265,414,223,142,115,394,287,19287,2306,235,180,873,404,7685,1715,4976,1063,2246,543,1372,480,1900,585,0400000US10,437466,8194,13856,1601,42181,2779,181280,4688,99035,3236,46272,2432,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
50369,2931,39496,2349,348856,9573,1677,689,14417,1834,158403,6834,92462,4829,37219,2969,23396,1877,21282,1583,71576,4636,763,433,2555,749,35019,3150,18098,2071,8251,1186,3612,681,3278,808,311082,9176,2425,931,24357,2431,165613,7098,61217,3588,27963,2254,19098,2144,10409,1178,46271,3258,1852,559,9487,1708,24191,2508,6015,1077,1486,574,1517,500,1723,561,26698,2518,159,158,1273,692,16186,2158,5164,908,1603,653,1190,409,1123,415,17012,2053,254,206,780,369,8346,1383,3228,737,1167,444,1556,677,1681,578,0400000US11,821495,12642,7130,1466,52869,3277,407758,8416,186184,6329,77689,3724,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
592227,12271,508741,11409,6852662,34711,147020,6912,618958,12679,2938480,24973,1594654,15173,676333,13270,477940,10882,399277,9739,780601,18054,34936,3349,84007,6268,362665,11666,162933,7482,63036,4229,41124,3493,31900,3165,177546,7809,10468,1697,30812,3755,75173,5612,30605,3012,12991,1721,10634,1733,6863,1403,123018,5694,8826,1574,21402,2796,44327,3649,23380,2449,9652,1759,7397,1588,8034,1278,185799,9202,8929,1609,27035,3672,76948,6456,39715,3783,14005,2028,9314,1582,9853,1887,465861,12632,7803,1681,23178,2776,155095,6740,119801,6649,61352,4358,45818,3224,52814,3574,0400000US12,8585487,32920,217982,7642,805392,11775,3652688,21742,1971088,13996,837369,14296,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
