GEO_ID,B20017G_001E,B20017G_001M,B20017G_002E,B20017G_002M,B20017G_003E,B20017G_003M,B20017G_004E,B20017G_004M,B20017G_005E,B20017G_005M,B20017G_006E,B20017G_006M,B20017G_007E,B20017G_007M,NAME,B20017G_001EA,B20017G_001MA,B20017G_002EA,B20017G_002MA,B20017G_003MA,B20017G_003EA,B20017G_004MA,B20017G_004EA,B20017G_005MA,B20017G_005EA,B20017G_006EA,B20017G_006MA,B20017G_007MA,B20017G_007EA,state
0400000US01,20772,2428,20745,5249,33354,8476,6280,1829,20786,2625,34523,6035,7400,1527,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28289,3284,30112,7513,50515,3603,9693,5386,27988,2681,42093,6768,8350,1834,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,22300,2075,25332,2972,40360,2845,8131,1650,19994,2798,37803,3024,7957,1221,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17186,6508,23858,4171,33759,8965,6290,2776,12261,2974,29898,4508,6940,1708,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26969,623,30771,820,49940,1446,10080,585,24574,1121,42014,867,9593,559,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,24476,2562,29113,4835,45944,3109,9746,1394,21274,2133,35545,2822,9120,2962,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,26310,2103,28719,5092,46364,4910,9821,3684,24643,3436,42140,6581,10371,2821,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19490,4403,15699,9866,33604,14446,5910,2489,26784,9938,37150,3634,6545,2362,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44836,11861,50568,17482,62284,26891,9087,11523,42080,13098,72000,15575,10502,3071,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,23216,1665,25645,1762,37484,3166,8645,1252,21449,1251,31257,1177,10129,822,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,25553,1399,29414,3570,41163,3834,8669,1354,21618,2274,34604,3255,7549,1424,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,30162,1274,34752,3312,46607,2841,10227,1096,26228,1077,37183,2129,10701,1058,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11802,1482,14579,4794,30857,4502,6297,2289,10359,2533,22932,7301,6781,835,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,22987,2237,27702,3055,46684,3861,9293,1445,20781,1435,35835,2612,7643,1193,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,17825,3296,18468,3642,31095,1712,7110,2208,17149,4946,31021,2201,6783,1083,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,16915,1927,17487,6606,37315,6811,7940,3999,15482,4358,34501,9132,5803,1780,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,19821,2584,25863,4953,37967,3058,7693,1649,15809,1820,27324,5543,5606,1434,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,16814,2105,18323,3461,44476,8298,6250,2175,15316,4995,33242,6143,4909,1218,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,20314,3347,25502,5631,40642,7100,10907,2916,15249,4145,31791,10311,5854,2022,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,17614,3652,20760,8875,41067,3709,9015,6810,17118,2708,30291,7359,8338,3831,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,35204,4534,40269,4212,55276,5246,10357,1680,31965,2816,52181,5129,8685,3380,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,23422,2537,28416,3051,41329,1561,10235,1449,20216,1963,38829,5149,8432,1523,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,16182,944,17213,1885,37260,3180,6785,1209,15193,2336,31812,1518,6430,783,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
