GEO_ID,C17019_001E,C17019_001M,C17019_002E,C17019_002M,C17019_003E,C17019_003M,C17019_004E,C17019_004M,C17019_005E,C17019_005M,C17019_006E,C17019_006M,C17019_007E,C17019_007M,NAME,C17019_001MA,C17019_001EA,C17019_002EA,C17019_002MA,C17019_003EA,C17019_003MA,C17019_004EA,C17019_004MA,C17019_005MA,C17019_005EA,C17019_006MA,C17019_006EA,C17019_007EA,C17019_007MA,state
0400000US01,1232515,11755,184841,6662,70844,4024,113997,5261,1047674,12321,835557,12244,212117,7617,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165015,3765,12999,1612,5294,891,7705,1394,152016,3662,107620,3705,44396,3388,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1579481,13962,209001,6363,75869,3979,133132,5685,1370480,13405,980303,11743,390177,9821,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752212,9854,104138,4501,39009,2917,65129,3791,648074,9714,505605,9073,142469,6668,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8762059,27318,1067419,13044,248644,8359,818775,11770,7694640,28159,4935050,25982,2759590,22505,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1315283,8405,105560,4841,32859,2732,72701,4500,1209723,10079,919708,10049,290015,8029,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,887263,10002,66949,4874,15208,2137,51741,4433,820314,9845,644236,8616,176078,6988,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233000,4645,19733,2314,8441,1423,11292,1823,213267,4508,169805,3627,43462,3423,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117864,3359,16707,2102,1788,548,14919,2123,101157,3173,57119,2521,44038,2674,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693411,24879,563761,13976,207649,7029,356112,11366,4129650,24086,3020305,22971,1109345,17574,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2426392,15122,342664,9063,113156,5897,229508,7806,2083728,15808,1550664,15315,533064,13268,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,314151,5725,24533,2343,7539,1319,16994,1907,289618,5942,184584,4360,105034,4895,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,407499,5941,41633,2770,15520,2077,26113,2503,365866,6060,285059,5773,80807,3996,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3099184,17994,325482,8355,100244,4166,225238,6724,2773702,18072,2186007,14718,587695,12657,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1657223,12597,180534,6423,63765,3925,116769,5529,1476689,11767,1199005,12660,277684,8255,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,801562,6871,63382,3549,23728,1992,39654,2977,738180,7501,617803,7539,120377,4675,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,728602,7887,66858,3402,23353,2106,43505,2956,661744,7678,523897,6570,137847,5042,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1124586,10250,162705,6162,59276,3814,103429,5015,961881,11820,767686,11449,194195,6639,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1112659,9882,165518,6200,59336,4042,106182,4868,947141,11077,733454,10187,213687,7525,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,344585,5357,33340,2772,12480,1553,20860,2272,311245,4889,264205,4219,47040,3521,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1445972,11686,102102,5580,29769,2774,72333,4584,1343870,11944,1019207,12015,324663,7263,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1610581,11929,133552,5753,28819,2333,104733,5272,1477029,12298,1125674,11018,351355,8115,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2485159,14714,284381,7142,111343,4355,173038,5925,2200778,14387,1824038,13931,376740,9263,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1369594,10930,102173,5030,34508,2456,67665,4555,1267421,10435,1075198,9776,192223,6103,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,738463,9100,121515,4890,49440,3326,72075,4387,616948,8477,485430,8388,131518,5837,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1508816,13340,161317,6328,57933,3715,103384,4958,1347499,12605,1079726,12306,267773,8284,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
