GEO_ID,C15003_001E,C15003_001M,C15003_002E,C15003_002M,C15003_003E,C15003_003M,C15003_004E,C15003_004M,C15003_005E,C15003_005M,C15003_006E,C15003_006M,C15003_007E,C15003_007M,C15003_008E,C15003_008M,C15003_009E,C15003_009M,C15003_010E,C15003_010M,C15003_011E,C15003_011M,C15003_012E,C15003_012M,C15003_013E,C15003_013M,C15003_014E,C15003_014M,C15003_015E,C15003_015M,C15003_016E,C15003_016M,C15003_017E,C15003_017M,C15003_018E,C15003_018M,NAME,C15003_001MA,C15003_001EA,C15003_002MA,C15003_002EA,C15003_003EA,C15003_003MA,C15003_004EA,C15003_004MA,C15003_005EA,C15003_005MA,C15003_006EA,C15003_006MA,C15003_007MA,C15003_007EA,C15003_008EA,C15003_008MA,C15003_009EA,C15003_009MA,C15003_010EA,C15003_010MA,C15003_011EA,C15003_011MA,C15003_012MA,C15003_012EA,C15003_013MA,C15003_013EA,C15003_014MA,C15003_014EA,C15003_015EA,C15003_015MA,C15003_016EA,C15003_016MA,C15003_017EA,C15003_017MA,C15003_018EA,C15003_018MA,state
0400000US01,3256766,4841,43565,3258,17329,2101,32815,2722,71039,4426,71459,4656,96638,4637,101387,5962,63527,4458,847523,13509,181142,6003,198029,6728,511129,11244,256777,9532,478058,11918,201391,6586,51876,3858,33082,2843,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,465149,2124,3281,775,2615,808,2592,680,4137,703,3623,848,6027,899,6447,1195,4531,1113,108523,4395,23464,1851,35472,2893,96087,5016,38086,2849,85634,3613,33103,2734,7223,1319,4304,910,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4436226,2926,65513,4739,36029,3615,88173,4846,96292,5960,72844,5236,78592,5022,94896,5233,86447,4695,899108,16993,180704,6127,344474,8827,794213,13744,376649,9975,765784,13185,328400,7118,74530,4316,53578,3414,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1968414,4284,22638,2430,13367,2374,24609,2937,50200,3817,39834,3583,49231,3258,57989,3538,30869,3057,568437,10448,118349,5455,131244,4680,316818,8140,123871,6506,272411,8594,104636,5481,24531,2496,19380,2166,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25654292,5461,673107,13603,439104,11790,969979,16471,473237,11232,506433,13156,373912,10998,506110,11599,651643,12841,4768478,35664,592375,12604,1463370,19464,4097190,32528,2002684,22060,5120162,33972,2035257,20105,586986,13390,394265,10356,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3584463,3721,34350,2748,20093,2874,48070,4208,45649,3848,40983,3946,46117,3747,52346,3338,51274,3976,640470,13688,143346,6366,228712,6867,564212,9898,294629,8870,862158,12422,373532,8052,75829,3656,62693,3467,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2471818,1977,23934,2757,13659,2529,27835,3354,37182,3595,29981,3316,37282,3335,41533,3407,33761,3113,599611,12888,80663,5063,133471,5345,288203,8048,184589,6024,527472,10861,298684,7552,71642,4244,42316,3173,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,640343,870,7183,1504,3320,876,4525,1328,6600,1344,9557,1604,14070,2206,15396,2432,10016,1520,178275,5523,21472,2239,37791,2976,85470,4202,50787,3877,116931,5148,57035,3586,10712,1442,11203,1874,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,463211,347,5103,1325,3470,1298,5067,1401,5429,1314,5698,1193,6992,1295,8907,1559,4788,827,71358,4381,12855,1867,16560,2313,46376,3665,15936,2092,112706,3634,86777,3902,36729,3003,18460,2088,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14041196,6948,202674,8416,107249,7027,205483,9890,219807,8081,218890,8535,248895,8742,283213,9177,309482,11172,3557737,30505,593563,14160,900683,14782,2004771,26615,1358245,20607,2448663,26006,964916,14634,261794,9631,155131,6825,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
