GEO_ID,C17006_001E,C17006_001M,C17006_002E,C17006_002M,C17006_003E,C17006_003M,C17006_004E,C17006_004M,C17006_005E,C17006_005M,C17006_006E,C17006_006M,C17006_007E,C17006_007M,NAME,C17006_001EA,C17006_001MA,C17006_002EA,C17006_002MA,C17006_003MA,C17006_003EA,C17006_004MA,C17006_004EA,C17006_005MA,C17006_005EA,C17006_006MA,C17006_006EA,C17006_007EA,C17006_007MA,state
0400000US39,2576777,4891,580925,16399,146304,10674,434621,13926,1995852,16618,1485650,16823,510202,14293,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,926381,2910,204455,7345,65520,4711,138935,6855,721926,7932,543345,8797,178581,7681,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,834190,3939,175974,9432,68902,7093,107072,8934,658216,9909,498089,10922,160127,8745,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2642177,4660,501858,16083,129273,9157,372585,14154,2140319,15998,1616876,18743,523443,15957,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,209573,1101,40822,4518,8561,2216,32261,4148,168751,4629,120986,4717,47765,3317,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1061702,3608,283825,12966,69549,7393,214276,12058,777877,13623,559708,13914,218169,9992,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,205136,1745,36240,3169,11449,2286,24791,2970,168896,3100,132817,4630,36079,4091,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1460332,4186,378596,14674,121456,9878,257140,11919,1081736,14329,818955,15527,262781,11485,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,7005209,7134,1702958,30836,659554,20392,1043404,27660,5302251,31590,3995312,40037,1306939,26903,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,891844,2596,115973,9743,55896,6781,60077,7079,775871,9843,673425,10635,102446,8165,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,118245,1320,18090,2458,4546,1316,13544,2368,100155,2638,74546,3244,25609,2680,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1833921,4899,283702,12972,79151,8454,204551,10853,1550219,13973,1212509,17278,337710,12634,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1563719,4696,265946,12401,89388,8307,176558,11880,1297773,12735,1018497,15243,279276,11726,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,368225,3159,89528,5814,27796,4385,61732,4960,278697,6031,219502,6921,59195,4734,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1266880,3493,228692,8994,62982,6110,165710,8282,1038188,9294,796655,10791,241533,8338,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,134349,1599,16262,2421,4670,1167,11592,2383,118087,2940,93613,3583,24474,3213,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,766916,1232,447769,8694,133697,7900,314072,10564,319147,8644,202831,8821,116316,6328,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
