GEO_ID,C15010I_001E,C15010I_001M,C15010I_002E,C15010I_002M,C15010I_003E,C15010I_003M,C15010I_004E,C15010I_004M,C15010I_005E,C15010I_005M,C15010I_006E,C15010I_006M,NAME,C15010I_001MA,C15010I_001EA,C15010I_002MA,C15010I_002EA,C15010I_003MA,C15010I_003EA,C15010I_004EA,C15010I_004MA,C15010I_005EA,C15010I_005MA,C15010I_006EA,C15010I_006MA,state
0400000US01,16146,2392,4854,1329,1933,779,5040,1232,1304,637,3015,1069,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4160,1037,1228,456,543,423,725,411,260,237,1404,622,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,126621,6322,41047,4083,10055,1778,29115,3183,19009,2539,27395,2703,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8405,1621,3266,1164,688,373,1729,602,890,509,1832,899,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,950237,17603,339229,10332,71401,4760,195978,8272,74418,4063,269211,8618,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,82935,4987,30549,2755,5277,1142,17857,2099,9366,1899,19886,2532,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50173,3921,18058,2309,4275,1105,11222,2139,4632,1178,11986,1926,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6741,1432,2342,798,971,654,1859,803,918,485,651,326,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18443,1983,10535,1618,882,507,2456,747,518,295,4052,865,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,669459,15537,218108,7904,69124,4345,200044,9142,78121,4959,104062,5751,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,72748,5371,23816,2758,4975,1397,21980,3694,7641,1855,14336,2448,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,15136,1895,4950,1009,2477,849,3113,954,1595,636,3001,923,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7796,1630,2671,1028,803,446,1380,577,1219,659,1723,871,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,156309,6820,50158,3289,13917,2389,36617,3305,17284,2207,38333,3504,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,26165,2857,8030,1333,3312,1037,5425,1319,3712,986,5686,1284,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10272,1417,4149,1043,706,404,2313,684,1496,542,1608,572,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,19511,2351,5376,1050,2282,730,5236,1114,3052,1084,3565,984,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,11383,1478,4028,1022,1191,545,1863,792,1564,609,2737,785,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23175,2803,8642,1701,2835,885,4911,1069,2137,624,4650,952,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3469,768,1315,527,875,553,341,265,361,181,577,356,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,68462,4043,29150,3672,5110,1037,13197,1704,6870,1374,14135,1985,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,68450,4813,26715,2567,5044,1197,12579,2038,5615,1026,18497,2230,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,38908,2631,13872,1619,3738,865,8183,1324,3662,909,9453,1491,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,21080,2364,8735,1596,1253,458,4395,1023,2546,849,4151,857,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,5331,1291,1955,694,639,504,945,482,630,354,1162,857,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,24051,2487,6786,1237,2657,842,6505,1685,3121,1143,4982,991,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,3052,747,1117,507,342,312,498,328,662,373,433,259,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,9350,1426,2769,656,1033,492,1540,576,1271,483,2737,701,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,38041,3260,11146,1760,1858,665,12821,1960,4625,1153,7591,1325,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,4213,1073,1574,718,448,342,850,437,417,414,924,419,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,178958,6933,57394,3864,15132,2297,41010,2976,21995,2524,43427,3114,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,82001,3810,24590,2510,9029,1519,16773,1879,14321,1755,17288,2329,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,387645,11956,120658,6660,33922,3114,83934,5332,44614,3662,104517,6347,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
