GEO_ID,C27009_001E,C27009_001M,C27009_002E,C27009_002M,C27009_003E,C27009_003M,C27009_004E,C27009_004M,C27009_005E,C27009_005M,C27009_006E,C27009_006M,C27009_007E,C27009_007M,C27009_008E,C27009_008M,C27009_009E,C27009_009M,C27009_010E,C27009_010M,C27009_011E,C27009_011M,C27009_012E,C27009_012M,C27009_013E,C27009_013M,C27009_014E,C27009_014M,C27009_015E,C27009_015M,C27009_016E,C27009_016M,C27009_017E,C27009_017M,C27009_018E,C27009_018M,C27009_019E,C27009_019M,C27009_020E,C27009_020M,C27009_021E,C27009_021M,NAME,C27009_001MA,C27009_001EA,C27009_002EA,C27009_002MA,C27009_003MA,C27009_003EA,C27009_004MA,C27009_004EA,C27009_005MA,C27009_005EA,C27009_006MA,C27009_006EA,C27009_007EA,C27009_007MA,C27009_008EA,C27009_008MA,C27009_009MA,C27009_009EA,C27009_010MA,C27009_010EA,C27009_011MA,C27009_011EA,C27009_012MA,C27009_012EA,C27009_013EA,C27009_013MA,C27009_014MA,C27009_014EA,C27009_015MA,C27009_015EA,C27009_016MA,C27009_016EA,C27009_017EA,C27009_017MA,C27009_018EA,C27009_018MA,C27009_019MA,C27009_019EA,C27009_020MA,C27009_020EA,C27009_021MA,C27009_021EA,state
0400000US01,4767383,1932,2289780,5872,564919,4746,797,656,564122,4895,1407781,3396,50436,3598,1357345,5056,317080,1997,55179,2997,261901,3417,2477603,5606,541928,4642,608,380,541320,4662,1527586,3213,11452,1717,1516134,3290,408089,2062,7225,1042,400864,2149,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,711541,1618,363589,2580,94656,1704,105,130,94551,1696,235033,2140,13920,2001,221113,2962,33900,1002,8269,1254,25631,1305,347952,2104,91589,1669,47,57,91542,1673,221245,1198,4522,1026,216723,1168,35118,972,841,395,34277,1062,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6623074,1740,3251297,3166,826358,2285,180,172,826178,2293,1937999,2770,65201,4213,1872798,4777,486940,1367,100431,4067,386509,4473,3371777,2888,794218,2258,510,320,793708,2250,2006493,2365,13717,1567,1992776,2908,571066,1364,9012,1459,562054,1723,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2914376,756,1423412,4652,360391,3763,1087,737,359304,3810,861325,3214,34399,3195,826926,4559,201696,1438,49210,2701,152486,2691,1490964,4568,343420,3861,661,566,342759,3976,900910,3016,7696,1368,893214,3441,246634,1843,6349,1300,240285,2337,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38297457,5321,18865494,8096,4657991,3964,3845,1185,4654146,4102,12038061,7340,226672,6898,11811389,9078,2169442,2989,273297,7124,1896145,7143,19431963,5973,4477142,4008,1853,702,4475289,4045,12226448,3884,45573,3417,12180875,4682,2728373,3145,23951,1859,2704422,3526,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5266022,2396,2622411,4609,640300,2702,963,770,639337,2729,1678778,3434,51533,3302,1627245,4781,303333,1624,47342,2480,255991,2594,2643611,4048,605132,2527,1084,806,604048,2786,1677532,2424,12698,1960,1664834,2954,360947,1439,4844,934,356103,1729,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541282,1220,1719425,2334,395003,1458,133,169,394870,1468,1091478,1984,16661,1897,1074817,2971,232944,1423,33677,2163,199267,2578,1821857,2336,379018,1430,332,316,378686,1530,1142258,1885,3581,1032,1138677,2148,300581,1319,3119,771,297462,1544,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920930,554,443623,1227,104031,825,129,173,103902,813,272159,1135,7874,1648,264285,1965,67433,733,7975,1188,59458,1444,477307,1167,99383,901,33,55,99350,898,295631,700,987,459,294644,870,82293,658,1145,745,81148,958,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,647966,509,303791,1024,58140,442,0,198,58140,442,216572,977,5052,1167,211520,1550,29079,646,3668,739,25411,933,344175,1099,56694,456,0,198,56694,456,244580,597,1101,500,243479,846,42901,869,900,508,42001,979,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19583357,3419,9490859,7749,2066004,5977,1646,555,2064358,6064,5747594,5911,195995,7584,5551599,9495,1677261,3397,302699,8095,1374562,8973,10092498,7609,1980146,6054,2432,907,1977714,5933,6066114,4654,40944,3273,6025170,6189,2046238,3447,27008,2633,2019230,3989,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
