B18101_014M,B18101_015E,B18101_015M,B18101_016E,B18101_016M,B18101_017E,B18101_017M,B18101_018E,B18101_018M,B18101_019E,B18101_019M,B18101_020E,B18101_020M,B18101_021E,B18101_021M,B18101_022E,B18101_022M,B18101_023E,B18101_023M,B18101_024E,B18101_024M,B18101_025E,B18101_025M,B18101_026E,B18101_026M,B18101_027E,B18101_027M,B18101_028E,B18101_028M,B18101_029E,B18101_029M,B18101_030E,B18101_030M,B18101_031E,B18101_031M,B18101_032E,B18101_032M,B18101_033E,B18101_033M,B18101_034E,B18101_034M,B18101_035E,B18101_035M,B18101_036E,B18101_036M,B18101_037E,B18101_037M,B18101_038E,B18101_038M,B18101_039E,B18101_039M,GEO_ID,B18101_001E,B18101_001M,B18101_002E,B18101_002M,B18101_003E,B18101_003M,B18101_004E,B18101_004M,B18101_005E,B18101_005M,B18101_006E,B18101_006M,B18101_007E,B18101_007M,B18101_008E,B18101_008M,B18101_009E,B18101_009M,B18101_010E,B18101_010M,B18101_011E,B18101_011M,B18101_012E,B18101_012M,B18101_013E,B18101_013M,B18101_014E,B18101_014MA,B18101_015MA,B18101_015EA,B18101_016MA,B18101_016EA,B18101_017EA,B18101_017MA,B18101_018EA,B18101_018MA,B18101_019EA,B18101_019MA,B18101_020MA,B18101_020EA,B18101_021MA,B18101_021EA,B18101_022EA,B18101_022MA,B18101_023EA,B18101_023MA,B18101_024EA,B18101_024MA,B18101_025EA,B18101_025MA,B18101_026MA,B18101_026EA,B18101_027MA,B18101_027EA,B18101_028EA,B18101_028MA,B18101_029EA,B18101_029MA,B18101_030EA,B18101_030MA,B18101_031MA,B18101_031EA,B18101_032MA,B18101_032EA,B18101_033EA,B18101_033MA,B18101_034EA,B18101_034MA,B18101_035EA,B18101_035MA,B18101_036EA,B18101_036MA,B18101_037MA,B18101_037EA,B18101_038MA,B18101_038EA,B18101_039EA,B18101_039MA,NAME,B18101_001MA,B18101_001EA,B18101_002EA,B18101_002MA,B18101_003EA,B18101_003MA,B18101_004MA,B18101_004EA,B18101_005MA,B18101_005EA,B18101_006EA,B18101_006MA,B18101_007EA,B18101_007MA,B18101_008EA,B18101_008MA,B18101_009MA,B18101_009EA,B18101_010MA,B18101_010EA,B18101_011EA,B18101_011MA,B18101_012EA,B18101_012MA,B18101_013EA,B18101_013MA,B18101_014EA,state
7225,198963,1759,69331,3002,129632,2788,118117,1636,61729,2295,56388,2269,2477603,5606,140689,2830,831,591,139858,2909,401239,3680,19568,2334,381671,4133,551451,3422,40212,3606,511239,4907,976135,3696,175578,5209,800557,6597,231300,1755,68964,3275,162336,3847,176789,2021,103422,3057,73367,3289,0400000US01,4767383,1932,2289780,5872,150471,2593,709,414,149762,2709,414448,4426,29345,2682,385103,4724,520633,3594,44328,3507,476305,5006,887148,4096,162431,5977,724717,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
2317,24071,848,9201,1071,14870,1088,9829,792,5422,691,4407,773,347952,2104,26642,1206,236,307,26406,1292,64947,1159,1776,582,63171,1287,86859,1466,4117,1031,82742,1649,134386,1542,17595,1713,116791,2144,21957,744,5954,894,16003,1007,13161,879,7784,991,5377,906,0400000US02,711541,1618,363589,2580,26766,1056,550,310,26216,1124,67890,1694,4203,1027,63687,1905,94823,2162,5188,961,89635,2229,140210,1905,17774,1687,122436,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
6888,290746,1306,81155,4080,209591,4118,196194,1182,92805,3664,103389,3715,3371777,2888,211461,1518,1029,466,210432,1579,582757,1936,20623,2376,562134,3036,755288,1879,38062,2973,717226,3552,1251205,2296,172132,6613,1079073,6453,327287,1219,78589,3177,248698,3249,243779,1187,117717,3704,126062,3642,0400000US04,6623074,1740,3251297,3166,221202,1437,1504,632,219698,1499,605156,1992,42126,3954,563030,4101,761656,2640,50138,3728,711518,4587,1176343,3182,150777,5785,1025566,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
5492,123712,1295,46773,2449,76939,2739,77984,1147,41999,2140,35985,2031,1490964,4568,92379,2285,1365,570,91014,2275,251041,3092,11131,1611,239910,3121,329765,2837,25339,2726,304426,3818,571145,2820,113966,4607,457179,5369,140624,1388,41263,2627,99361,2641,106010,1618,60948,2114,45062,2068,0400000US05,2914376,756,1423412,4652,98017,2243,2167,910,95850,2171,262374,3612,23109,2540,239265,3907,325208,3624,26991,2962,298217,4657,536117,3683,98349,4794,437768,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
15685,1306922,2480,316848,7616,990074,7547,862520,2250,421414,5584,441106,5619,19431963,5973,1230562,2273,6042,1316,1224520,2408,3246580,3595,107272,5007,3139308,5783,4696302,4166,202003,8317,4494299,9443,7530146,4107,794584,14164,6735562,14926,1505240,2282,354815,7874,1150425,8054,1223133,3000,653645,7475,569488,7487,0400000US06,38297457,5321,18865494,8096,1281013,2258,9431,1774,1271582,2938,3376978,3764,170381,7522,3206597,7816,4805492,6395,264799,9011,4540693,10985,7232569,5728,749397,14957,6483172,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
6022,194508,1262,46816,2725,147692,2754,108825,1411,53781,2225,55044,2267,2643611,4048,158990,1776,655,371,158335,1849,446142,2336,15362,2568,430780,3493,630324,2421,30447,2967,599877,3871,1047208,2604,109882,5048,937326,5586,211970,1323,44260,2642,167710,2969,148977,1527,75308,2960,73669,2509,0400000US08,5266022,2396,2622411,4609,173068,1743,1676,857,171392,1943,467232,2681,24008,2777,443224,3605,649516,3636,44127,4371,605389,5729,1029262,2976,115730,5318,913532,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
4190,139843,1204,29260,2076,110583,2379,93101,1077,39762,2128,53339,2220,1821857,2336,92868,817,755,500,92113,908,286150,1244,8742,1394,277408,1813,384994,1957,21504,2152,363490,2943,757264,1673,79227,3570,678037,4006,160164,1044,32340,2121,127824,2364,140417,1349,68651,2290,71766,2565,0400000US09,3541282,1220,1719425,2334,95994,837,999,603,94995,1071,299009,1487,17558,2371,281451,2895,385468,1873,22147,2313,363321,2685,706010,1860,68307,3812,637703,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2124,42168,722,10113,1194,32055,1144,25265,592,10698,1024,14567,960,477307,1167,26756,612,411,280,26345,708,72627,536,3100,881,69527,993,105727,566,5853,1277,99874,1363,189904,554,23362,2519,166542,2522,48575,574,10802,1160,37773,1359,33718,629,13964,1372,19754,1381,0400000US10,920930,554,443623,1227,29254,623,241,281,29013,634,74777,578,4801,1185,69976,1323,101552,1153,7048,1649,94504,1829,170607,1166,19370,1951,151237,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1984,17491,595,4191,792,13300,991,11588,605,4761,746,6827,803,344175,1099,20682,397,138,232,20544,472,36012,188,1876,939,34136,930,123186,582,6307,1337,116879,1381,121394,555,16788,1805,104606,1853,23506,374,6322,883,17184,847,19395,786,11046,924,8349,805,0400000US11,647966,509,303791,1024,22081,397,0,198,22081,397,36059,173,3169,738,32890,761,102924,741,5439,1177,97485,1385,113648,830,15970,2020,97678,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
12540,961376,3422,233744,7508,727632,6918,715885,3430,320678,8099,395207,7651,10092498,7609,531365,4072,3273,1129,528092,4283,1448781,4389,59257,4492,1389524,6560,2102623,4777,103998,6614,1998625,7787,3963491,5399,487118,12031,3476373,13784,1104083,2558,246016,7151,858067,7361,942155,3022,456161,8766,485994,9014,0400000US12,19583357,3419,9490859,7749,546207,3504,5551,1751,540656,3966,1519797,4888,102259,6660,1417538,7693,2085989,5704,130015,7208,1955974,7496,3661605,6860,471502,11042,3190103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
