B01001_025E,B01001_025M,B01001_026E,B01001_026M,B01001_027E,B01001_027M,B01001_028E,B01001_028M,B01001_029E,B01001_029M,B01001_030E,B01001_030M,B01001_031E,B01001_031M,B01001_032E,B01001_032M,B01001_033E,B01001_033M,B01001_034E,B01001_034M,B01001_035E,B01001_035M,B01001_036E,B01001_036M,B01001_037E,B01001_037M,B01001_038E,B01001_038M,B01001_039E,B01001_039M,B01001_040E,B01001_040M,B01001_041E,B01001_041M,B01001_042E,B01001_042M,B01001_043E,B01001_043M,B01001_044E,B01001_044M,B01001_045E,B01001_045M,B01001_046E,B01001_046M,B01001_047E,B01001_047M,B01001_048E,B01001_048M,B01001_049E,B01001_049M,GEO_ID,B01001_001E,B01001_001M,B01001_002E,B01001_002M,B01001_003E,B01001_003M,B01001_004E,B01001_004M,B01001_005E,B01001_005M,B01001_006E,B01001_006M,B01001_007E,B01001_007M,B01001_008E,B01001_008M,B01001_009E,B01001_009M,B01001_010E,B01001_010M,B01001_011E,B01001_011M,B01001_012E,B01001_012M,B01001_013E,B01001_013M,B01001_014E,B01001_014M,B01001_015E,B01001_015M,B01001_016E,B01001_016M,B01001_017E,B01001_017M,B01001_018E,B01001_018M,B01001_019E,B01001_019M,B01001_020E,B01001_020M,B01001_021E,B01001_021M,B01001_022E,B01001_022M,B01001_023E,B01001_023M,B01001_024E,B01001_024M,B01001_025MA,B01001_025EA,B01001_026MA,B01001_026EA,B01001_027MA,B01001_027EA,B01001_028EA,B01001_028MA,B01001_029EA,B01001_029MA,B01001_030EA,B01001_030MA,B01001_031MA,B01001_031EA,B01001_032MA,B01001_032EA,B01001_033MA,B01001_033EA,B01001_034MA,B01001_034EA,B01001_035EA,B01001_035MA,B01001_036EA,B01001_036MA,B01001_037EA,B01001_037MA,B01001_038EA,B01001_038MA,B01001_039MA,B01001_039EA,B01001_040MA,B01001_040EA,B01001_041EA,B01001_041MA,B01001_042EA,B01001_042MA,B01001_043EA,B01001_043MA,B01001_044MA,B01001_044EA,B01001_045MA,B01001_045EA,B01001_046EA,B01001_046MA,B01001_047EA,B01001_047MA,B01001_048EA,B01001_048MA,B01001_049MA,B01001_049EA,NAME,B01001_001MA,B01001_001EA,B01001_002EA,B01001_002MA,B01001_003EA,B01001_003MA,B01001_004MA,B01001_004EA,B01001_005MA,B01001_005EA,B01001_006MA,B01001_006EA,B01001_007MA,B01001_007EA,B01001_008EA,B01001_008MA,B01001_009MA,B01001_009EA,B01001_010MA,B01001_010EA,B01001_011MA,B01001_011EA,B01001_012MA,B01001_012EA,B01001_013EA,B01001_013MA,B01001_014MA,B01001_014EA,B01001_015MA,B01001_015EA,B01001_016MA,B01001_016EA,B01001_017MA,B01001_017EA,B01001_018EA,B01001_018MA,B01001_019EA,B01001_019MA,B01001_020MA,B01001_020EA,B01001_021MA,B01001_021EA,B01001_022MA,B01001_022EA,B01001_023EA,B01001_023MA,B01001_024EA,B01001_024MA,state
25142,2015,2501408,5243,140689,2830,147731,5121,159558,4467,94493,2267,68955,3050,35861,3251,34268,3441,99857,4406,156727,2371,159636,2772,149077,4932,162527,4517,158721,2565,177544,2200,171349,4328,69330,4001,90689,3965,61002,2670,73801,3199,98890,3562,76681,3283,55615,2655,58407,3088,0400000US01,4849377,-555555555,2347969,5243,150471,2593,156723,4818,162239,5576,96696,3024,69481,3786,35092,3429,34232,2971,106265,4380,149533,2837,150052,2685,144270,5101,157360,5013,148575,2351,166364,2176,160897,4045,58904,3349,78699,3683,48343,2929,65918,3545,86290,3510,58603,2449,37820,2160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1776,605,351150,1999,26642,1206,25481,1443,24689,1407,15096,1153,9395,1029,5672,1128,4676,1058,16577,1187,26621,774,25779,981,21248,1860,23490,1742,21946,1104,24725,705,24440,1598,8391,1067,10725,1133,6207,876,7538,966,8336,990,5494,1002,3521,773,4461,981,0400000US02,736732,-555555555,385582,1999,26766,1056,27517,1814,25859,1966,14719,948,11840,1587,6167,1165,8413,1620,22074,1770,33536,1269,27838,1083,24810,1676,23535,1526,23394,968,26296,769,26532,1502,10003,1180,11941,1254,7148,1026,7570,1006,9428,1380,5410,767,3010,765,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
44644,2652,3388538,2452,211461,1518,220761,5100,229920,5197,132331,1301,89167,2034,51307,3452,44971,3575,141348,4032,215898,1498,217263,1383,209546,5549,207166,5386,201996,1280,219255,1211,210987,4977,83368,4114,123484,3964,78542,3498,104507,4241,145901,4357,102590,3698,71819,3162,74950,3554,0400000US04,6731484,-555555555,3342946,2452,221202,1437,235196,5581,231019,5535,140181,2231,95898,1814,55876,4215,50524,4109,144096,4988,234376,2022,227982,1575,205154,5977,217573,5980,203640,1123,211648,1157,200136,4217,72759,3802,103238,4257,71528,3411,95300,3695,126738,3845,92185,3113,62053,2827,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
17783,1697,1509591,4252,92379,2285,97140,4482,96309,4476,59070,2357,40180,2255,21868,2667,18062,2214,62588,3191,95162,2171,94011,2010,97498,4389,92938,3174,91589,2102,100964,1317,99644,3403,36876,2306,54774,2737,34915,2377,45939,2627,61987,2597,43944,2117,34041,2369,37713,1924,0400000US05,2966369,-555555555,1456778,4252,98017,2243,102369,4401,98679,4090,62177,2949,43028,2447,22820,2486,23296,2547,59973,3605,94924,2568,94212,2818,91098,3663,93033,4048,89542,2197,98818,1679,92709,3241,35546,2526,50064,2972,31076,2279,42009,2162,52837,2616,38478,2070,24290,1837,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
231904,5527,19538043,4495,1230619,2273,1242273,12279,1246854,12766,760866,2306,525244,3272,280900,8266,280427,8651,845936,10559,1410890,2862,1375929,2831,1288208,14653,1298838,14615,1289528,2248,1339953,2371,1240974,11224,467777,10973,626123,10573,391075,7981,491790,9255,633580,8782,471630,8193,363714,6407,434915,8425,0400000US06,38802500,-555555555,19264457,4495,1281073,2246,1317265,13833,1278292,14034,794337,2436,555564,2886,308467,8563,301568,8749,898523,11661,1505575,3250,1430530,2695,1286751,13370,1310621,13584,1289747,2757,1316720,3052,1180570,10398,427707,9657,577759,9728,348635,6798,425860,7258,545658,8485,379732,6177,271599,5241,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
27089,1932,2663267,3357,158990,1776,172486,5177,176058,5165,97941,1689,66405,1692,33619,2966,37654,3285,111865,4823,191906,2664,194261,2464,183097,5398,169714,5131,169218,1728,186449,1287,178288,4398,68109,3402,96619,3482,56649,2996,67787,2908,88808,2843,60965,2976,43444,3026,52935,3128,0400000US08,5355866,-555555555,2692599,3357,173068,1743,182608,4870,183355,5008,102639,2334,73021,2305,40051,2872,38576,3639,123067,3416,207019,2414,205499,2056,189718,5026,182257,5222,172508,1885,183105,1919,172600,4689,64282,3214,90242,3529,56040,3142,63581,3437,77030,3940,53451,2472,31793,2268,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
27401,1857,1842561,1816,92868,817,101956,3774,113395,3737,70962,749,53134,1068,24262,1927,26479,2349,65552,3107,107686,863,110250,1240,110465,4338,114955,4415,136051,1337,147222,1159,135534,3836,49609,2948,66004,2783,41317,2342,51573,2692,69677,2595,52607,2732,42076,2616,58927,2919,0400000US09,3596677,-555555555,1754116,1816,95994,837,105945,3902,118623,3771,75133,1091,52650,982,25171,2229,26424,2403,76311,3041,112977,1480,107508,1013,101593,3773,114408,4293,126978,1274,138826,1292,131825,3971,45469,2874,58930,2959,37246,2025,48228,2347,56670,2476,41025,2120,28781,1782,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
5785,920,481609,925,26756,612,29189,2036,26804,2171,16777,503,13373,912,6746,1164,7282,1329,17113,1924,32373,500,29588,444,28553,1858,28674,1780,31694,402,35494,559,37605,1932,11918,1417,16461,1675,12171,1321,16025,1470,20724,1518,14013,1310,10920,1469,11356,1418,0400000US10,935614,-555555555,454005,925,29254,623,27914,2091,30206,2131,16942,440,14151,750,7203,1363,6709,1260,18852,1625,30690,565,29313,659,26206,1956,28188,1975,28912,501,32266,651,31215,1570,11781,1559,15653,1625,11255,1390,13233,1652,18170,1393,12795,1074,7312,1013,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
3306,593,346260,686,20682,397,15865,1516,12424,1534,7792,165,11837,1122,7083,1457,5909,1288,18483,1609,42246,203,37920,522,26985,1808,19846,1809,18614,2,19618,391,18526,1328,7771,1103,10342,1038,6033,970,7030,1123,10762,999,8434,1082,5220,952,6838,1079,0400000US11,658893,-555555555,312633,686,22081,397,15173,1008,13305,1008,7708,159,10006,1185,5146,1111,6083,1496,16105,1743,35496,3,34549,177,26042,1563,20004,1572,19346,391,19212,193,17645,1119,5792,877,8792,992,4012,836,5396,890,8713,1141,5190,881,3531,854,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
194185,6791,10171069,6892,531365,4072,543566,12017,564842,11545,342571,3086,237817,4599,133383,6351,126865,6697,376333,9242,629616,2993,615195,3575,593449,12218,635747,12086,661851,3055,728951,2606,697278,9572,272000,8210,392004,8455,263833,6808,350663,7458,497128,8078,369682,8608,276859,7724,330071,8899,0400000US12,19893297,-555555555,9722228,6892,546207,3504,577804,8764,584684,9393,362984,3710,252667,4869,142725,7206,134102,6980,394186,9035,653012,4198,614806,4118,586086,10888,617327,9879,642493,3608,697450,3181,637601,10250,243057,7666,332319,8142,226530,6549,317073,6676,428663,8152,319106,6744,217161,6110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
