GEO_ID,C27010_001E,C27010_001M,C27010_002E,C27010_002M,C27010_003E,C27010_003M,C27010_004E,C27010_004M,C27010_005E,C27010_005M,C27010_006E,C27010_006M,C27010_007E,C27010_007M,C27010_008E,C27010_008M,C27010_009E,C27010_009M,C27010_010E,C27010_010M,C27010_011E,C27010_011M,C27010_012E,C27010_012M,C27010_013E,C27010_013M,C27010_014E,C27010_014M,C27010_015E,C27010_015M,C27010_016E,C27010_016M,C27010_017E,C27010_017M,C27010_018E,C27010_018M,C27010_019E,C27010_019M,C27010_020E,C27010_020M,C27010_021E,C27010_021M,NAME,C27010_001EA,C27010_001MA,C27010_002EA,C27010_002MA,C27010_003EA,C27010_003MA,C27010_004MA,C27010_004EA,C27010_005MA,C27010_005EA,C27010_006EA,C27010_006MA,C27010_007EA,C27010_007MA,C27010_008EA,C27010_008MA,C27010_009MA,C27010_009EA,C27010_010MA,C27010_010EA,C27010_011EA,C27010_011MA,C27010_012EA,C27010_012MA,C27010_013EA,C27010_013MA,C27010_014EA,C27010_014MA,C27010_015MA,C27010_015EA,C27010_016MA,C27010_016EA,C27010_017EA,C27010_017MA,C27010_018EA,C27010_018MA,C27010_019EA,C27010_019MA,C27010_020EA,C27010_020MA,C27010_021EA,C27010_021MA,state
0400000US01,4767383,1932,1106847,2532,562075,12706,460719,12722,41631,3815,42422,5249,1072084,4128,667390,9051,116277,5438,31498,2981,256919,9236,1863283,5108,1251760,11313,224052,6030,111490,5829,275981,10424,725169,2625,13292,1995,254718,7042,453312,7245,3847,1022,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,711541,1618,186245,498,103202,4856,54482,4222,7309,1375,21252,2731,181682,2383,108282,4183,18522,2388,7187,2028,47691,3537,274596,2310,182922,4044,23372,2013,16547,2014,51755,3029,69018,1293,3696,935,26214,2243,37370,2143,1738,729,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6623074,1740,1620576,1495,841355,14067,563854,15589,53513,5379,161854,8748,1516944,3512,868947,13728,267056,10274,38312,3496,342629,10878,2427548,3579,1557536,12236,388267,10183,95988,4983,385757,9960,1058006,1776,25022,2525,450497,9363,569399,9373,13088,2314,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2914376,756,703811,2531,304043,10177,341893,9353,23796,2850,34079,3916,654973,4587,384009,7991,103371,4943,18239,2567,149354,7207,1107262,4777,704948,11627,189037,7729,55055,3899,158222,8062,448330,2258,7520,1488,175649,4875,263645,4914,1516,739,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38297457,5321,9135133,2314,4745091,34337,3598330,38626,294622,12475,497090,17945,9501794,7388,5670162,28517,1669535,22362,194900,6901,1967197,25925,14762715,7130,9793016,33898,2309537,27461,433927,9500,2226235,27800,4897815,3448,199277,6870,2288561,19214,2333788,16689,76189,5135,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5266022,2396,1245432,1889,739839,12070,391704,11845,43805,3747,70084,6012,1279840,3934,840242,11164,181257,7466,32643,3383,225698,8472,2076470,3820,1526211,11408,233111,7912,76921,5118,240227,8707,664280,1966,25023,2272,245399,6233,387256,6116,6602,1370,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541282,1220,774021,645,479498,8171,239498,8968,26155,3525,28870,3873,770462,2182,516322,7545,140351,6348,14792,1873,98997,5962,1463274,2218,1104318,8647,205553,6758,40171,3061,113232,5966,533525,1443,21615,2227,188883,5137,318727,5080,4300,1141,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920930,554,203414,635,119024,4551,63831,4643,8907,1796,11652,2639,207279,1182,141050,3818,32680,3248,5041,1181,28508,3109,360511,1264,257930,5226,55651,3695,15960,1870,30970,3421,149726,818,4085,990,42573,2850,102601,2835,467,394,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,647966,509,114834,71,54207,3385,53151,3684,5091,1655,2385,945,226110,858,162140,3628,43736,3241,4265,886,15969,2589,235042,984,154494,4392,55487,3915,10076,1664,14985,2582,71980,877,6698,1270,21088,1931,43345,2072,849,626,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19583357,3419,4046150,2400,1911290,28457,1643382,28544,113491,7190,377987,16723,4188612,7348,2394005,22539,518504,14316,77170,5361,1198933,21654,7625096,8799,4839335,28256,883943,17705,287859,9182,1613959,24773,3723499,4737,88839,5190,1730460,18544,1849918,17592,54282,4631,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
