B25128_001M,B25128_002E,B25128_002M,B25128_003E,B25128_003M,B25128_004E,B25128_004M,B25128_005E,B25128_005M,B25128_006E,B25128_006M,B25128_007E,B25128_007M,B25128_008E,B25128_008M,B25128_009E,B25128_009M,B25128_010E,B25128_010M,B25128_011E,B25128_011M,B25128_012E,B25128_012M,B25128_013E,B25128_013M,B25128_014E,B25128_014M,B25128_015E,B25128_015M,B25128_016E,B25128_016M,B25128_017E,B25128_017M,B25128_018E,B25128_018M,B25128_019E,B25128_019M,B25128_020E,B25128_020M,B25128_021E,B25128_021M,B25128_022E,B25128_022M,B25128_023E,B25128_023M,B25128_024E,B25128_024M,B25128_025E,B25128_025M,B25128_026E,B25128_026M,B25128_027E,B25128_027M,B25128_028E,B25128_028M,B25128_029E,B25128_029M,B25128_030E,B25128_030M,B25128_031E,B25128_031M,B25128_032E,B25128_032M,B25128_033E,B25128_033M,B25128_034E,B25128_034M,B25128_035E,B25128_035M,B25128_036E,B25128_036M,B25128_037E,B25128_037M,B25128_038E,B25128_038M,B25128_039E,B25128_039M,B25128_040E,B25128_040M,B25128_041E,B25128_041M,B25128_042E,B25128_042M,B25128_043E,B25128_043M,B25128_044E,B25128_044M,B25128_045E,B25128_045M,GEO_ID,B25128_001E,B25128_001MA,B25128_002EA,B25128_002MA,B25128_003MA,B25128_003EA,B25128_004EA,B25128_004MA,B25128_005EA,B25128_005MA,B25128_006EA,B25128_006MA,B25128_007EA,B25128_007MA,B25128_008MA,B25128_008EA,B25128_009MA,B25128_009EA,B25128_010MA,B25128_010EA,B25128_011EA,B25128_011MA,B25128_012EA,B25128_012MA,B25128_013EA,B25128_013MA,B25128_014EA,B25128_014MA,B25128_015MA,B25128_015EA,B25128_016EA,B25128_016MA,B25128_017EA,B25128_017MA,B25128_018EA,B25128_018MA,B25128_019MA,B25128_019EA,B25128_020MA,B25128_020EA,B25128_021MA,B25128_021EA,B25128_022EA,B25128_022MA,B25128_023EA,B25128_023MA,B25128_024EA,B25128_024MA,B25128_025MA,B25128_025EA,B25128_026MA,B25128_026EA,B25128_027EA,B25128_027MA,B25128_028EA,B25128_028MA,B25128_029MA,B25128_029EA,B25128_030MA,B25128_030EA,B25128_031MA,B25128_031EA,B25128_032MA,B25128_032EA,B25128_033EA,B25128_033MA,B25128_034EA,B25128_034MA,B25128_035MA,B25128_035EA,B25128_036MA,B25128_036EA,B25128_037MA,B25128_037EA,B25128_038EA,B25128_038MA,B25128_039MA,B25128_039EA,B25128_040MA,B25128_040EA,B25128_041MA,B25128_041EA,B25128_042MA,B25128_042EA,B25128_043MA,B25128_043EA,B25128_044EA,B25128_044MA,B25128_045EA,B25128_045MA,NAME,B25128_001EA,state
10615,1246080,12085,123729,5308,71143,3919,47117,3229,3128,1048,2238,864,103,132,0,189,728646,9263,135899,5434,311956,6401,170581,5651,72603,3778,27839,2354,9768,1348,393705,4417,29600,2844,93055,4018,79196,3758,55479,2981,72246,3131,64129,2964,595137,11423,215041,7567,187399,7452,23578,2607,2239,765,1798,825,27,50,0,189,301133,7709,199933,6586,75090,5073,17508,2207,5138,1339,2197,611,1267,614,78963,4183,36204,2907,26626,2366,7177,1066,2899,638,3311,715,2746,602,0400000US01,1841217,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,01
2978,156006,4250,19476,2000,12496,1560,6321,1140,453,233,206,112,0,145,0,145,102705,3140,21817,1899,46421,2577,20507,1729,10791,1250,2596,562,573,329,33825,1603,3338,742,9179,1316,6801,877,7060,1025,5435,935,2012,537,93653,4082,41460,2820,38306,2781,2705,749,314,240,135,122,0,145,0,145,45022,2682,32036,2405,9927,1414,2085,622,772,382,194,104,8,15,7171,1211,2774,680,2780,745,1285,593,181,135,52,61,99,103,0400000US02,249659,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,02
11353,1484857,11801,143369,5618,93201,4302,45954,3324,2888,665,1326,629,0,200,0,200,818062,9450,222947,6439,370032,7364,157494,5211,50442,3291,13781,1446,3366,761,523426,5760,90373,4763,194573,5146,118618,4886,54610,3252,41536,2281,23716,1886,943886,14175,336746,7927,312587,7528,20762,2265,2388,823,889,482,120,210,0,200,482954,11299,371613,10770,94773,5407,11076,1345,3111,884,1254,507,1127,486,124186,4771,75499,4121,33604,2620,9091,1237,3994,1033,1371,495,627,328,0400000US04,2428743,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,04
8373,744318,10448,81959,4225,46659,3411,32405,2273,1665,607,1230,647,0,190,0,190,423406,6799,90670,4263,190036,6337,91923,4486,34584,2691,12913,1320,3280,763,238953,4846,22520,1941,67875,3974,55458,2760,32605,2254,33492,2178,27003,2090,386970,9803,142312,6692,129281,6326,12242,2106,584,321,205,182,0,190,0,190,193809,6552,128518,5648,51253,3759,9408,1508,2908,842,966,490,756,388,50849,3708,23140,2612,15812,1702,5650,969,2759,804,1827,439,1661,524,0400000US05,1131288,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,05
18835,6855688,27608,546684,10816,361445,9668,158170,5678,17171,2066,9468,1738,430,325,0,200,4246294,23382,913620,14650,1774272,19605,1022250,13517,394605,6713,101955,4432,39592,2481,2062710,11805,184597,5148,444553,9449,388822,7695,366420,6916,404591,8423,273727,5890,5902960,28154,1855896,19358,1600587,18414,231377,7335,17085,2145,6621,1138,226,214,0,200,3279426,22027,1963627,20584,977867,15172,256164,6563,55942,4498,19953,2228,5873,1116,767638,11432,316533,8499,256680,6942,103609,4645,49790,2954,28424,2315,12602,1671,0400000US06,12758648,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,06
7530,1302533,10820,146630,5162,98555,4611,45597,2788,2087,738,391,278,0,192,0,192,822174,8262,190419,5540,381630,8137,177674,6008,53786,2563,14447,1795,4218,722,333729,4360,38550,2347,90755,3665,75474,3239,46913,2784,52888,2815,29149,2172,737059,11315,308904,7529,283748,7535,23339,2659,1291,583,526,376,0,192,0,192,343255,8843,249387,7338,79709,4345,10121,1479,2720,680,872,428,446,261,84900,3724,47634,3109,24205,1971,7813,1311,2586,614,1647,678,1015,434,0400000US08,2039592,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,08
6673,900039,8072,62326,3627,37914,2908,22954,2412,724,403,734,471,0,197,0,197,579127,6354,86501,4242,248374,6740,153113,4795,67336,3247,16120,1978,7683,1289,258586,4661,16798,1644,47032,2963,40378,2277,43571,2771,54387,2431,56420,2758,455778,8159,135376,5197,114569,4497,19162,2392,1304,694,341,292,0,197,0,197,239330,6294,146642,5568,71957,4578,14880,2031,3424,800,1630,656,797,329,81072,3735,33215,2696,28085,2285,10253,1690,3817,904,2528,612,3174,695,0400000US09,1355817,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,09
3705,245808,4425,22908,1991,11863,1568,9751,1578,795,472,430,342,69,120,0,185,144501,3639,22835,1970,69406,2986,33486,2278,13786,1391,3454,826,1534,531,78399,2121,7321,1093,23150,1636,15596,1533,10043,1456,10363,1195,11926,970,103935,3908,35861,2513,30204,2373,5091,1177,282,273,284,346,0,185,0,185,54096,3206,36394,2846,14220,1816,1534,539,996,527,487,351,465,470,13978,1623,6530,1111,5139,928,1238,469,323,200,357,301,391,234,0400000US10,349743,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,10
3304,112492,3641,14111,1452,9213,1148,4325,947,470,323,103,130,0,198,0,198,65957,3105,14522,1463,29377,2297,13791,1547,5494,966,1833,854,940,411,32424,1805,1313,576,3913,735,5734,962,5573,933,7474,1047,8417,1079,164886,4965,69580,3178,61153,3098,7531,1400,746,446,150,245,0,198,0,198,77267,3398,43686,2890,22783,2076,8510,1654,1450,506,464,226,374,350,18039,1721,5579,1208,5626,1085,2442,668,1547,670,1845,608,1000,460,0400000US11,277378,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,11
25793,4693821,26616,316744,8760,190850,7670,110711,5388,10497,1987,4551,1235,135,180,0,214,2552017,23818,619361,12465,1138831,18594,550544,11725,183134,6065,44397,2661,15750,2049,1825060,12485,283895,7168,652123,10375,418813,7575,235543,7073,149953,6594,84733,3869,2634225,22450,822090,13101,745994,12391,69806,5072,5050,1251,1192,554,48,87,0,214,1413457,15975,1064125,15097,293495,9216,41298,3750,9765,1653,3714,913,1060,341,398678,7777,232730,7015,117145,5008,28819,2450,12816,1799,4334,1057,2834,786,0400000US12,7328046,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,12
