GEO_ID,C16003_001E,C16003_001M,C16003_002E,C16003_002M,C16003_003E,C16003_003M,C16003_004E,C16003_004M,C16003_005E,C16003_005M,C16003_006E,C16003_006M,C16003_007E,C16003_007M,C16003_008E,C16003_008M,NAME,C16003_001EA,C16003_001MA,C16003_002EA,C16003_002MA,C16003_003EA,C16003_003MA,C16003_004MA,C16003_004EA,C16003_005MA,C16003_005EA,C16003_006MA,C16003_006EA,C16003_007EA,C16003_007MA,C16003_008EA,C16003_008MA,state
0400000US01,58711,6908,15108,2504,945,592,12090,2186,2073,902,43603,4934,29627,3836,13976,2854,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12504,3175,3024,1683,258,237,131,160,2635,1696,9480,2071,2037,1057,7443,1762,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,291718,14137,68507,5717,4838,1302,56401,4984,7268,1911,223211,10602,171173,10027,52038,5399,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,55919,7356,12601,2420,259,264,10641,2250,1701,991,43318,5755,35839,5336,7479,1952,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3185923,47477,643625,18036,43165,4258,474879,16419,125581,7824,2542298,37749,1491584,30134,1050714,22150,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,154915,10281,39727,4652,1589,861,32205,4537,5933,1611,115188,7322,79687,6850,35501,4123,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,156914,8329,24964,2807,3374,1396,14014,2222,7576,1762,131950,7187,69207,5008,62743,5206,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18741,3822,4806,1783,247,291,3569,1400,990,802,13935,2669,7986,1761,5949,1657,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22685,4381,3047,1270,0,198,2398,1166,649,432,19638,3563,12773,2694,6865,1868,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1217349,34398,188582,9858,13631,3245,139229,8579,35722,4624,1028767,28201,817687,24214,211080,12365,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,307020,16737,78303,6747,3370,1366,61720,5782,13213,2858,228717,11920,150872,8888,77845,7113,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,71457,7214,12443,2774,2562,873,43,74,9838,2490,59014,5427,996,518,58018,5264,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,34849,7366,10711,3185,362,330,8467,2653,1882,1741,24138,4558,17423,3774,6715,2668,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,531759,17953,107477,6625,5585,1459,79456,5656,22436,3223,424282,14202,233073,10747,191209,9566,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,104670,9986,26683,4311,1807,729,18332,3537,6544,1926,77987,6896,45081,5311,32906,3571,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
