GEO_ID,B27001I_001E,B27001I_001M,B27001I_002E,B27001I_002M,B27001I_003E,B27001I_003M,B27001I_004E,B27001I_004M,B27001I_005E,B27001I_005M,B27001I_006E,B27001I_006M,B27001I_007E,B27001I_007M,B27001I_008E,B27001I_008M,B27001I_009E,B27001I_009M,B27001I_010E,B27001I_010M,B27001I_011E,B27001I_011M,B27001I_012E,B27001I_012M,B27001I_013E,B27001I_013M,B27001I_014E,B27001I_014M,B27001I_015E,B27001I_015M,B27001I_016E,B27001I_016M,B27001I_017E,B27001I_017M,B27001I_018E,B27001I_018M,B27001I_019E,B27001I_019M,B27001I_020E,B27001I_020M,B27001I_021E,B27001I_021M,B27001I_022E,B27001I_022M,B27001I_023E,B27001I_023M,B27001I_024E,B27001I_024M,B27001I_025E,B27001I_025M,B27001I_026E,B27001I_026M,B27001I_027E,B27001I_027M,B27001I_028E,B27001I_028M,NAME,B27001I_001EA,B27001I_001MA,B27001I_002EA,B27001I_002MA,B27001I_003MA,B27001I_003EA,B27001I_004MA,B27001I_004EA,B27001I_005MA,B27001I_005EA,B27001I_006EA,B27001I_006MA,B27001I_007EA,B27001I_007MA,B27001I_008EA,B27001I_008MA,B27001I_009MA,B27001I_009EA,B27001I_010MA,B27001I_010EA,B27001I_011EA,B27001I_011MA,B27001I_012EA,B27001I_012MA,B27001I_013EA,B27001I_013MA,B27001I_014MA,B27001I_014EA,B27001I_015MA,B27001I_015EA,B27001I_016MA,B27001I_016EA,B27001I_017EA,B27001I_017MA,B27001I_018EA,B27001I_018MA,B27001I_019EA,B27001I_019MA,B27001I_020MA,B27001I_020EA,B27001I_021MA,B27001I_021EA,B27001I_022EA,B27001I_022MA,B27001I_023EA,B27001I_023MA,B27001I_024EA,B27001I_024MA,B27001I_025MA,B27001I_025EA,B27001I_026MA,B27001I_026EA,B27001I_027MA,B27001I_027EA,B27001I_028EA,B27001I_028MA,state
0400000US01,189298,2111,27798,1899,25941,2153,1857,673,44887,2145,39050,2605,5837,1621,20021,2711,12708,2263,7313,1650,35730,3162,14079,2259,21651,2619,27258,2454,12343,2248,14915,2298,15919,1923,10414,1647,5505,1164,10342,1569,7155,1170,3187,1077,3895,1085,3177,998,718,477,3448,1089,3164,1030,284,370,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46362,782,6061,608,4915,654,1146,591,10577,629,8191,962,2386,840,6236,706,4585,1044,1651,857,7515,1298,4883,1348,2632,1034,5965,1022,3834,991,2131,614,4979,820,3695,835,1284,630,2868,502,2015,534,853,426,1184,566,1173,566,11,18,977,376,931,365,46,78,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2019057,2495,229144,4026,205173,4402,23971,3213,473984,4014,408812,5932,65172,4977,261027,1391,178925,4861,82102,4748,297168,1905,203138,6468,94030,6235,272222,2045,185941,5059,86281,4842,217181,1529,153227,4591,63954,4569,143542,937,116876,2719,26666,2795,78008,828,73555,1631,4453,1357,46781,872,45440,1080,1341,585,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,203500,1495,28124,1707,26977,1824,1147,565,51543,1791,43891,2493,7652,1742,26238,1863,16015,1727,10223,1937,35005,2345,16891,2364,18114,2235,30014,2299,14122,2107,15892,2537,16786,1836,9754,1756,7032,1281,9070,1285,6426,1006,2644,1036,4524,1164,3953,1031,571,664,2196,846,2087,811,109,179,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14830878,4440,1582153,7094,1512736,8636,69417,5637,3159787,7312,2906506,12243,253281,11261,1848544,2981,1352265,11982,496279,12131,2338663,3117,1592749,13656,745914,13393,2103321,2856,1472256,13082,631065,13207,1749191,2469,1279976,10676,469215,10403,1120056,1693,889743,8475,230313,8375,560274,2198,530372,3157,29902,3141,368889,2189,356235,3001,12654,2166,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1115739,1964,127349,2981,118739,3360,8610,1949,261334,3087,232457,3565,28877,3769,130148,2066,94207,3785,35941,3293,173697,2955,116105,4153,57592,3664,160904,2810,108017,4380,52887,4148,117196,2216,86941,3246,30255,3234,78398,1204,66539,2154,11859,1881,41850,1154,40216,1184,1634,647,24863,1080,23791,1239,1072,626,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,533496,1253,56855,1546,54228,2036,2627,1230,115078,1551,107507,2417,7571,1962,66777,1484,51059,2412,15718,2118,84675,1359,59422,3259,25253,3006,78796,1484,60326,3073,18470,2555,65677,1634,54346,2371,11331,1508,37199,800,32877,1237,4322,1081,18567,767,17770,835,797,462,9872,527,9596,586,276,286,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,82580,314,10641,796,9222,1027,1419,914,19135,797,16958,1364,2177,1020,10905,603,8603,1041,2302,852,13263,820,9118,1241,4145,1130,13022,624,9374,1141,3648,991,7767,659,6810,738,957,426,4704,382,4185,524,519,326,2331,517,2272,518,59,84,812,387,812,387,0,185,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,67780,587,7853,355,7762,354,91,140,8952,355,8225,674,727,553,7436,125,6720,510,716,483,16721,201,12202,1478,4519,1493,11313,219,9660,811,1653,798,7351,5,5190,950,2161,949,4658,5,3992,445,666,446,1818,412,1766,427,52,89,1678,474,1192,413,486,535,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4741261,2894,395792,4997,361097,6082,34695,4332,794873,5163,685737,10141,109136,8980,487493,4027,310521,9370,176972,8385,703299,5267,424257,9321,279042,9600,723500,3949,454206,8827,269294,8911,660677,3740,456208,8969,204469,9116,451170,2551,329925,6784,121245,6539,290688,2207,275075,4048,15613,2790,233769,2644,227099,2732,6670,1373,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
