GEO_ID,B19326_001E,B19326_001M,B19326_002E,B19326_002M,B19326_003E,B19326_003M,B19326_004E,B19326_004M,B19326_005E,B19326_005M,B19326_006E,B19326_006M,B19326_007E,B19326_007M,NAME,B19326_001EA,B19326_001MA,B19326_002EA,B19326_002MA,B19326_003MA,B19326_003EA,B19326_004MA,B19326_004EA,B19326_005EA,B19326_005MA,B19326_006EA,B19326_006MA,B19326_007MA,B19326_007EA,state
0400000US01,22327,177,29823,574,45903,631,14967,312,17812,282,33731,931,11332,147,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31557,708,40277,1387,60370,1076,18327,1384,24522,1313,48139,2426,12411,538,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,26070,234,31311,257,45600,572,17463,341,21251,235,38000,693,12498,162,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,22179,253,28127,781,40940,470,15267,385,17669,383,31961,495,11369,148,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26997,102,32273,121,51170,163,16085,132,22000,119,44345,455,12385,54,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30801,205,36576,326,51644,352,17811,453,24782,379,42539,790,13273,345,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,33027,631,41515,476,62400,1344,18647,551,26829,335,51788,617,15458,268,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30173,491,36173,798,51640,754,19466,1137,25217,585,42169,1530,13583,561,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,40094,1389,44100,1709,70445,3320,15490,794,34078,2106,62282,2359,12205,631,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,24405,158,29358,338,41723,234,17162,154,20543,143,35675,261,12605,143,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,25371,216,30960,232,45963,391,14861,241,20688,217,37161,364,11478,116,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
