GEO_ID,B07403_001E,B07403_001M,B07403_002E,B07403_002M,B07403_003E,B07403_003M,B07403_004E,B07403_004M,B07403_005E,B07403_005M,B07403_006E,B07403_006M,B07403_007E,B07403_007M,B07403_008E,B07403_008M,B07403_009E,B07403_009M,B07403_010E,B07403_010M,B07403_011E,B07403_011M,B07403_012E,B07403_012M,B07403_013E,B07403_013M,B07403_014E,B07403_014M,B07403_015E,B07403_015M,NAME,B07403_001MA,B07403_001EA,B07403_002EA,B07403_002MA,B07403_003EA,B07403_003MA,B07403_004MA,B07403_004EA,B07403_005MA,B07403_005EA,B07403_006MA,B07403_006EA,B07403_007MA,B07403_007EA,B07403_008EA,B07403_008MA,B07403_009EA,B07403_009MA,B07403_010EA,B07403_010MA,B07403_011EA,B07403_011MA,B07403_012MA,B07403_012EA,B07403_013EA,B07403_013MA,B07403_014EA,B07403_014MA,B07403_015EA,B07403_015MA,state
0400000US01,4782388,16516,2316207,9661,2466181,10295,4081522,22252,1972350,14043,2109172,12694,433594,16491,208252,9965,225342,9133,155617,10155,75716,6047,79901,6069,111655,10897,59889,6643,51766,5331,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,775911,10074,406303,6217,369608,6304,585916,7276,303760,5332,282156,3884,79177,6423,42688,3927,36489,3215,18181,3059,10712,1768,7469,1715,92637,9491,49143,5030,43494,5680,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6557180,17736,3254840,10504,3302340,10799,5431241,29624,2675534,17708,2755707,16280,802723,23953,403762,13528,398961,14459,119406,10233,68550,6447,50856,5115,203810,12009,106994,6793,96816,6558,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2912474,10060,1430685,7021,1481789,7130,2464189,16201,1209003,10421,1255186,8765,277335,12841,134510,7324,142825,7367,105752,7406,54864,4547,50888,4216,65198,6104,32308,3292,32890,3829,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38101643,30953,18920919,18925,19180724,18676,32849251,61601,16252721,33756,16596530,34886,3568783,53411,1784752,28618,1784031,30858,1090301,29041,570185,16386,520116,16447,593308,21701,313261,12472,280047,11760,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5215029,18335,2618170,10525,2596859,11081,4263998,25609,2129203,14714,2134795,13125,504223,15887,256405,8212,247818,9816,273476,13231,142834,8149,130642,6548,173332,10357,89728,5705,83604,6345,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541487,10802,1722370,6503,1819117,7096,3111779,13932,1504226,8440,1607553,8170,273080,10699,136918,6761,136162,6644,61127,4905,31880,2807,29247,3336,95501,7273,49346,4007,46155,4446,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,915330,5644,442028,3727,473302,3182,810905,7547,391006,4072,419899,4957,67894,6499,33323,3510,34571,3722,9352,1634,4704,1058,4648,1087,27179,3431,12995,2081,14184,2111,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,640058,6981,303356,4225,336702,4908,513634,7913,245080,4740,268554,4740,67286,5744,30533,3202,36753,3588,0,187,0,187,0,187,59138,5825,27743,3160,31395,3767,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19378973,35245,9464832,19755,9914141,20682,16504838,45685,8027662,25144,8477176,29217,1824077,35893,893341,21296,930736,20988,612542,19025,321549,11711,290993,10422,437516,20171,222280,10884,215236,10560,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9890145,21256,4815682,13552,5074463,13011,8406436,36778,4072441,20226,4333995,21454,765710,25707,372445,13932,393265,14373,472429,21812,243858,11989,228571,11807,245570,13098,126938,7549,118632,7076,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1391479,7890,700670,5056,690809,4841,1198766,10297,603113,5806,595653,6287,124846,8421,62542,4968,62304,4906,7128,2063,4241,1550,2887,903,60739,5271,30774,3177,29965,3123,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1599631,10011,797192,6353,802439,6129,1335689,14615,664601,8510,671088,9176,148695,11362,74521,6045,74174,6547,58360,6101,30037,3361,28323,3548,56887,5985,28033,3300,28854,3465,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12775981,20713,6262612,12451,6513369,14228,11021611,32616,5384381,20386,5637230,18817,1090742,26711,540251,15077,550491,16401,340160,11603,177068,7409,163092,6840,323468,14689,160912,7180,162556,9998,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6488141,13697,3191880,9993,3296261,9029,5540754,26629,2713086,17060,2827668,13288,576965,18569,278824,11153,298141,9762,233553,12110,127384,7179,106169,6766,136869,8574,72586,5370,64283,4738,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3051259,10061,1516135,6300,1535124,7130,2594781,13916,1284893,8578,1309888,8150,266980,12098,133594,6271,133386,7762,112538,7466,59036,4357,53502,4567,76960,7152,38612,3996,38348,4039,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2848002,10892,1411982,7086,1436020,7509,2378716,16745,1175145,10479,1203571,9459,277001,14532,136702,8265,140299,7753,99238,6329,54167,3840,45071,3737,93047,7502,45968,4536,47079,4038,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4337415,10626,2134383,7681,2203032,7269,3663490,18486,1796610,11261,1866880,11066,398346,14450,193576,7968,204770,8835,177083,11396,93795,6574,83288,6265,98496,7763,50402,4344,48094,4266,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4568045,12333,2232421,8740,2335624,6692,3970442,20735,1929391,12804,2041051,12556,360705,17438,179411,9476,181294,10396,150997,9530,75942,5406,75055,6440,85901,7457,47677,4826,38224,3872,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1305084,6134,636640,4175,668444,4281,1138397,9455,552836,5112,585561,5617,96104,6907,49424,3997,46680,4027,38507,3944,18429,2277,20078,2560,32076,4506,15951,2334,16125,3029,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
