GEO_ID,B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,NAME,B05003A_001MA,B05003A_001EA,B05003A_002MA,B05003A_002EA,B05003A_003MA,B05003A_003EA,B05003A_004MA,B05003A_004EA,B05003A_005EA,B05003A_005MA,B05003A_006MA,B05003A_006EA,B05003A_007MA,B05003A_007EA,B05003A_008MA,B05003A_008EA,B05003A_009MA,B05003A_009EA,B05003A_010EA,B05003A_010MA,B05003A_011EA,B05003A_011MA,B05003A_012MA,B05003A_012EA,B05003A_013MA,B05003A_013EA,B05003A_014MA,B05003A_014EA,B05003A_015MA,B05003A_015EA,B05003A_016EA,B05003A_016MA,B05003A_017MA,B05003A_017EA,B05003A_018MA,B05003A_018EA,B05003A_019MA,B05003A_019EA,B05003A_020MA,B05003A_020EA,B05003A_021EA,B05003A_021MA,B05003A_022EA,B05003A_022MA,B05003A_023EA,B05003A_023MA,state
0400000US01,3320273,6197,1628317,4295,351267,2874,349762,2800,1505,754,556,454,949,492,1277050,2594,1243102,3280,33948,2996,9892,2056,24056,2623,1691956,3964,335453,2617,333960,2644,1493,711,432,472,1061,498,1356503,2343,1324868,3032,31635,3227,13722,2016,17913,2177,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,483584,2777,257596,1791,52176,1207,51719,1220,457,329,195,195,262,255,205420,1359,197378,1934,8042,1722,4202,960,3840,1391,225988,1814,50235,1019,50054,1055,181,214,114,185,67,110,175753,1218,167214,1744,8539,1622,4049,951,4490,1157,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5273335,23780,2620038,13344,594967,7046,579167,7566,15800,2723,2912,1564,12888,2628,2025071,9443,1756208,9240,268863,8262,96808,4059,172055,6979,2653297,13073,566774,6670,551463,6676,15311,2527,2121,897,13190,2480,2086523,8234,1802992,9562,283531,8797,113721,5919,169810,7389,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2322472,6143,1146404,4279,262157,2819,258761,2850,3396,1444,265,248,3131,1422,884247,2615,846441,3134,37806,2917,7948,1492,29858,3114,1176068,3447,247811,2483,245478,2622,2333,943,409,285,1924,902,928257,2230,890906,2356,37351,2746,11835,1774,25516,2317,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23814044,55051,11889237,32169,2676263,16118,2572890,14498,103373,5782,15926,1997,87447,5229,9212974,22565,7094845,23627,2118129,24814,902286,15200,1215843,22893,11924807,30490,2554909,15986,2459106,16194,95803,5691,15447,2132,80356,5344,9369898,20826,7189045,23072,2180853,20476,1029012,15493,1151841,16525,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4520381,14471,2269699,9062,510444,5174,501051,5369,9393,1923,2062,1011,7331,1678,1759255,5548,1610175,7513,149080,6492,50630,3504,98450,5349,2250682,7938,482823,4316,475378,4314,7445,1456,843,408,6602,1342,1767859,5182,1617036,6316,150823,6075,64086,3852,86737,5407,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2763949,11640,1346129,6738,274058,3089,268195,3528,5863,1611,1609,668,4254,1380,1072071,5300,960777,6254,111294,6623,56618,4691,54676,4331,1417820,6532,262497,3196,256807,3454,5690,1204,1791,702,3899,998,1155323,4551,1042290,6620,113033,5693,68566,4186,44467,3616,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,647533,4080,315880,2424,63590,1401,62588,1520,1002,468,432,238,570,378,252290,1682,237662,1919,14628,2012,8115,1543,6513,1494,331653,2517,59471,1625,58527,1545,944,461,293,181,651,426,272182,1500,256874,2827,15308,2515,8661,1955,6647,1170,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,265077,3969,132670,2349,15973,1048,14616,900,1357,607,331,259,1026,567,116697,1803,99506,1859,17191,2055,6074,1075,11117,1576,132407,2152,14951,1021,13335,835,1616,773,139,134,1477,759,117456,1503,99621,2138,17835,2400,7456,1555,10379,1726,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15113860,28793,7415057,15117,1396059,8084,1329939,9085,66120,5207,13582,2096,52538,4904,6018998,11503,4829427,15163,1189571,15900,602183,12351,587388,11915,7698803,17070,1336023,8506,1269917,10399,66106,5743,15577,2532,50529,5652,6362780,12403,5050507,15760,1312273,18339,758697,15525,553576,13789,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
