GEO_ID,B19001C_001E,B19001C_001M,B19001C_002E,B19001C_002M,B19001C_003E,B19001C_003M,B19001C_004E,B19001C_004M,B19001C_005E,B19001C_005M,B19001C_006E,B19001C_006M,B19001C_007E,B19001C_007M,B19001C_008E,B19001C_008M,B19001C_009E,B19001C_009M,B19001C_010E,B19001C_010M,B19001C_011E,B19001C_011M,B19001C_012E,B19001C_012M,B19001C_013E,B19001C_013M,B19001C_014E,B19001C_014M,B19001C_015E,B19001C_015M,B19001C_016E,B19001C_016M,B19001C_017E,B19001C_017M,NAME,B19001C_001MA,B19001C_001EA,B19001C_002MA,B19001C_002EA,B19001C_003EA,B19001C_003MA,B19001C_004EA,B19001C_004MA,B19001C_005MA,B19001C_005EA,B19001C_006MA,B19001C_006EA,B19001C_007EA,B19001C_007MA,B19001C_008MA,B19001C_008EA,B19001C_009EA,B19001C_009MA,B19001C_010MA,B19001C_010EA,B19001C_011MA,B19001C_011EA,B19001C_012EA,B19001C_012MA,B19001C_013MA,B19001C_013EA,B19001C_014EA,B19001C_014MA,B19001C_015EA,B19001C_015MA,B19001C_016MA,B19001C_016EA,B19001C_017MA,B19001C_017EA,state
0400000US01,9190,1148,931,500,750,430,535,378,476,312,727,386,550,306,283,202,405,253,370,284,1047,498,717,378,1016,578,838,384,222,229,209,166,114,147,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27515,1572,2189,469,1631,351,1252,313,1648,363,1389,321,1580,319,1736,502,1292,380,1485,477,2622,771,2941,726,3070,553,1794,326,1201,368,1034,305,651,260,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,80825,2874,16595,1805,7589,1268,5954,952,5405,1121,4569,1050,4655,1033,3380,710,4063,1000,3994,997,5630,900,5691,959,7442,1304,2626,667,1912,678,865,362,455,286,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,6562,1172,610,366,605,334,195,182,433,367,1087,684,725,359,351,355,211,167,167,167,410,270,322,248,418,272,366,269,279,236,50,81,333,288,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,90487,4146,8693,1502,7690,1303,4598,968,6138,1062,3592,788,4625,963,5193,1118,3882,879,4564,826,6365,1237,8986,1419,9727,1448,6050,1502,4984,1036,3048,758,2352,727,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,17915,2023,2279,821,1138,486,980,594,909,450,494,322,1108,559,529,385,1012,632,871,492,1230,515,2243,792,2154,706,1573,597,615,346,392,324,388,234,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18785,1992,2381,775,2523,825,1079,534,957,466,1460,620,984,587,1045,465,533,364,468,336,1737,721,1356,520,1781,773,1237,606,470,297,400,321,374,254,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
