GEO_ID,C21007_001E,C21007_001M,C21007_002E,C21007_002M,C21007_003E,C21007_003M,C21007_004E,C21007_004M,C21007_005E,C21007_005M,C21007_006E,C21007_006M,C21007_007E,C21007_007M,C21007_008E,C21007_008M,C21007_009E,C21007_009M,C21007_010E,C21007_010M,C21007_011E,C21007_011M,C21007_012E,C21007_012M,C21007_013E,C21007_013M,C21007_014E,C21007_014M,C21007_015E,C21007_015M,C21007_016E,C21007_016M,C21007_017E,C21007_017M,C21007_018E,C21007_018M,C21007_019E,C21007_019M,C21007_020E,C21007_020M,C21007_021E,C21007_021M,C21007_022E,C21007_027M,C21007_028E,C21007_028M,C21007_029E,C21007_029M,C21007_030E,C21007_030M,C21007_031E,C21007_031M,C21007_022M,C21007_023E,C21007_023M,C21007_024E,C21007_024M,C21007_025E,C21007_025M,C21007_026E,C21007_026M,C21007_027E,NAME,C21007_001MA,C21007_001EA,C21007_002EA,C21007_002MA,C21007_003EA,C21007_003MA,C21007_004EA,C21007_004MA,C21007_005EA,C21007_005MA,C21007_006MA,C21007_006EA,C21007_007EA,C21007_007MA,C21007_008EA,C21007_008MA,C21007_009EA,C21007_009MA,C21007_010EA,C21007_010MA,C21007_011EA,C21007_011MA,C21007_012MA,C21007_012EA,C21007_013EA,C21007_013MA,C21007_014EA,C21007_014MA,C21007_015EA,C21007_015MA,C21007_016EA,C21007_016MA,C21007_017MA,C21007_017EA,C21007_018EA,C21007_018MA,C21007_019EA,C21007_019MA,C21007_020EA,C21007_020MA,C21007_021EA,C21007_021MA,C21007_022EA,C21007_022MA,C21007_027MA,C21007_028MA,C21007_028EA,C21007_029EA,C21007_029MA,C21007_030EA,C21007_030MA,C21007_031EA,C21007_031MA,C21007_023MA,C21007_023EA,C21007_024EA,C21007_024MA,C21007_025EA,C21007_025MA,C21007_026EA,C21007_026MA,C21007_027EA,state
0400000US01,3623860,3145,2898691,3591,187446,5326,19501,2119,7324,1339,12177,1700,167945,5160,33247,3009,134698,5118,2711245,6586,506738,15209,124068,5803,382670,13572,2204507,16487,255881,7783,1948626,15954,725169,2625,152953,4439,9940,1426,5564,942,4376,1084,143013,2340,35090,2976,500963,5429,197486,5361,303477,5901,4538,64233,3140,78780,3766,572216,4726,71253,3786,36163,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,523557,1651,454539,2106,47968,3187,2561,702,600,341,1961,654,45407,3251,7058,1345,38349,3029,406571,3967,45972,3788,7984,1371,37988,3446,360599,4439,29022,2332,331577,4900,69018,1293,20760,1299,369,231,258,221,111,74,20391,536,1207,499,45644,1532,17408,1509,28236,1648,1293,9288,1041,11103,1143,48258,1571,2614,740,1407,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4969121,2343,3911115,2707,227649,6988,23074,2560,7844,1445,15230,1986,204575,6673,32882,2754,171693,5818,3683466,7680,667906,16574,108358,6343,559548,15724,3015560,18291,259857,8061,2755703,18377,1058006,1776,248411,4887,12974,1536,5700,1090,7274,1074,235437,2897,47612,3319,722620,6688,229414,6537,493206,7669,4940,95789,3358,139648,4690,809595,5137,86975,4473,39363,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2184137,2640,1735807,3085,107888,4833,11923,1494,3897,861,8026,1304,95965,4606,21490,2395,74475,4284,1627919,6090,300654,10034,75299,4067,225355,8769,1327265,10582,162605,5847,1164660,11569,448330,2258,97161,3243,5705,1064,2961,737,2744,752,91456,2599,18745,1923,309461,4407,124062,4826,185399,4433,3147,40997,2561,50459,2708,351169,3871,41708,3182,22963,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28970272,5922,24072457,7250,826995,13939,82615,4598,26577,2613,56038,3919,744380,13247,106618,5280,637762,13334,23245462,14491,3608203,37923,515993,12526,3092210,36623,19637259,39471,1352521,18544,18284738,42050,4897815,3448,842068,8744,46159,3293,23084,2495,23075,2260,795909,7896,246197,8487,3582774,13159,1185719,11499,2397055,15458,8620,311143,6161,484766,7427,4055747,9018,472973,11605,226776,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3986668,3141,3322388,3334,213013,7012,17882,1994,5645,1283,12237,1770,195131,6955,31006,2844,164125,5642,3109375,7722,375582,12328,66371,4994,309211,10577,2733793,12711,196081,7330,2537712,13915,664280,1966,158577,3945,7783,1170,3761,915,4022,713,150794,2248,21639,2246,466473,4825,141386,4791,325087,5607,3917,57427,2429,93367,4044,505703,3916,39230,3176,17591,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2716050,1382,2182525,1978,78494,3879,4647,1277,1486,618,3161,984,73847,3843,8440,1242,65407,3576,2104031,4550,215013,8740,44402,3469,170611,7744,1889018,9442,134876,6165,1754142,11414,533525,1443,106417,3693,3821,899,1850,574,1971,641,102596,2063,20243,2278,389555,4687,113977,3914,275578,4928,3795,36876,2450,65720,3229,427108,3863,37553,3081,17310,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,706811,856,557085,1199,37796,2411,2023,769,718,531,1305,530,35773,2318,4602,1119,31171,2390,519289,2392,64734,4706,12249,1632,52485,4185,454555,4686,37743,3623,416812,5446,149726,818,33018,1608,1443,602,554,394,889,465,31575,943,6440,1581,106968,2605,31194,2010,75774,2477,1693,10529,1249,21046,1503,116708,1865,9740,1801,3300,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,509357,582,437377,866,14830,2025,2124,798,949,541,1175,556,12706,1704,1424,547,11282,1531,422547,2158,68626,5053,16731,2575,51895,4201,353921,5671,24500,2590,329421,5425,71980,877,12629,1250,1200,395,810,341,390,203,11429,1177,4094,971,50081,1698,16064,1706,34017,1742,1282,4270,950,7159,947,59351,1469,9270,1376,5176,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15447725,4003,11724226,5738,668127,11430,68379,4738,22792,2560,45587,4360,599748,10944,99171,5936,500577,9585,11056099,13219,1804106,35613,311895,12220,1492211,29873,9251993,39405,755446,16458,8496547,38587,3723499,4737,774739,9526,41557,3214,19022,2531,22535,2119,733182,6492,202137,7055,2600511,12348,812965,13874,1787546,13799,9629,278500,7204,454682,9483,2948760,10645,348249,9065,146112,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
