GEO_ID,B21001H_001E,B21001H_001M,B21001H_002E,B21001H_002M,B21001H_003E,B21001H_003M,B21001H_004E,B21001H_004M,B21001H_005E,B21001H_005M,B21001H_006E,B21001H_006M,B21001H_007E,B21001H_007M,B21001H_008E,B21001H_008M,B21001H_009E,B21001H_009M,B21001H_010E,B21001H_010M,B21001H_011E,B21001H_011M,B21001H_012E,B21001H_012M,B21001H_013E,B21001H_013M,B21001H_014E,B21001H_014M,B21001H_015E,B21001H_015M,B21001H_016E,B21001H_016M,B21001H_017E,B21001H_017M,B21001H_018E,B21001H_018M,B21001H_019E,B21001H_019M,B21001H_020E,B21001H_020M,B21001H_021E,B21001H_021M,B21001H_022E,B21001H_022M,B21001H_023E,B21001H_023M,B21001H_024E,B21001H_024M,B21001H_025E,B21001H_025M,B21001H_026E,B21001H_026M,B21001H_027E,B21001H_027M,B21001H_028E,B21001H_028M,B21001H_029E,B21001H_029M,B21001H_030E,B21001H_030M,B21001H_031E,B21001H_031M,B21001H_032E,B21001H_032M,B21001H_033E,B21001H_033M,NAME,B21001H_001MA,B21001H_001EA,B21001H_002EA,B21001H_002MA,B21001H_003EA,B21001H_003MA,B21001H_004EA,B21001H_004MA,B21001H_005EA,B21001H_005MA,B21001H_006EA,B21001H_006MA,B21001H_007EA,B21001H_007MA,B21001H_008EA,B21001H_008MA,B21001H_009EA,B21001H_009MA,B21001H_010MA,B21001H_010EA,B21001H_011EA,B21001H_011MA,B21001H_012MA,B21001H_012EA,B21001H_013EA,B21001H_013MA,B21001H_014MA,B21001H_014EA,B21001H_015MA,B21001H_015EA,B21001H_016MA,B21001H_016EA,B21001H_017EA,B21001H_017MA,B21001H_018MA,B21001H_018EA,B21001H_019EA,B21001H_019MA,B21001H_020MA,B21001H_020EA,B21001H_021MA,B21001H_021EA,B21001H_022EA,B21001H_022MA,B21001H_023MA,B21001H_023EA,B21001H_024EA,B21001H_024MA,B21001H_025MA,B21001H_025EA,B21001H_026MA,B21001H_026EA,B21001H_027MA,B21001H_027EA,B21001H_028EA,B21001H_028MA,B21001H_029EA,B21001H_029MA,B21001H_030EA,B21001H_030MA,B21001H_031MA,B21001H_031EA,B21001H_032MA,B21001H_032EA,B21001H_033EA,B21001H_033MA,state
0400000US01,2549699,1778,1227762,1627,332069,1443,14455,1747,317614,2219,418124,1526,48445,3314,369679,3653,218413,179,47044,2867,171369,2861,159775,296,67821,2901,91954,2922,99381,302,59425,1889,39956,1887,1321937,446,334223,874,2257,804,331966,1153,426236,985,6270,1277,419966,1655,231936,9,3280,746,228656,745,181033,157,2295,678,178738,693,148509,170,2081,607,146428,619,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,350681,1494,184416,1456,57433,1393,7012,1425,50421,1874,63824,727,15570,1935,48254,2067,36549,144,9306,1137,27243,1137,19281,178,11212,958,8069,925,7329,104,4901,414,2428,412,166265,458,50073,742,1671,564,48402,1014,58966,687,2881,839,56085,1071,32208,101,833,386,31375,411,16033,178,347,207,15686,248,8985,168,515,268,8470,299,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3110599,1891,1520376,1520,372892,1451,18724,2071,354168,2460,472689,780,64193,3886,408496,3873,270375,199,61963,3324,208412,3316,236462,475,109175,3605,127287,3622,167958,292,105133,2817,62825,2775,1590223,778,357938,648,3787,1111,354151,1397,468978,703,11268,1527,457710,1568,297434,170,7300,1219,290134,1223,261261,309,3223,698,258038,745,204612,298,3371,883,201241,940,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1720703,1089,834003,948,230558,1525,11102,1636,219456,2064,278398,1336,32279,2834,246119,3053,143195,72,32050,2139,111145,2134,110118,419,45827,2199,64291,2140,71734,413,41839,2066,29895,2064,886700,497,226933,1054,2440,889,224493,1276,281531,870,4846,943,276685,1293,153115,179,2504,787,150611,816,123456,119,1729,640,121727,660,101665,12,838,377,100827,378,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12377855,7040,6112089,5465,1590192,4644,66462,4444,1523730,6043,2031315,2097,178795,6801,1852520,7081,1156146,771,177001,5912,979145,5969,785086,962,310349,6225,474737,6234,549350,178,317111,4761,232239,4787,6265766,3600,1505676,2172,12194,1872,1493482,3238,1957045,2032,26926,2871,1930119,3281,1176088,796,15843,1810,1160245,2036,857689,669,7978,1266,849711,1441,769268,965,13074,1438,756194,1669,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2959292,2519,1462499,2325,430108,1636,25363,2628,404745,2993,507958,1373,64501,3540,443457,3974,264599,324,54488,2749,210111,2805,165010,364,74116,3007,90894,3123,94824,358,60054,2076,34770,2049,1496793,1029,408936,1488,5708,1108,403228,1814,501752,1261,13706,1754,488046,2228,275655,286,7273,1139,268382,1103,176998,436,2665,574,174333,766,133452,348,2802,714,130650,783,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2014658,2049,966289,1638,238711,834,6033,1284,232678,1494,330231,1075,22420,2315,307811,2469,191542,347,25515,2092,166027,2120,119863,90,46247,2428,73616,2437,85942,76,51732,1749,34210,1755,1048369,1011,232251,700,924,496,231327,784,345528,562,3762,1009,341766,1127,200704,566,1868,555,198836,719,134698,177,839,349,133859,353,135188,132,2115,557,133073,554,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,488488,702,232949,581,59584,478,3539,901,56045,1025,73760,317,9458,1302,64302,1308,43612,167,9550,1109,34062,1092,34041,59,16301,1073,17740,1078,21952,71,12124,1029,9828,1029,255539,363,61062,323,562,412,60500,446,77438,125,1687,685,75751,692,48336,134,1430,563,46906,573,38406,185,333,201,38073,201,30297,185,261,169,30036,169,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,208773,694,103097,593,48159,539,1361,495,46798,647,33198,270,2172,570,31026,580,10331,71,783,320,9548,329,7146,198,1873,461,5273,461,4263,198,2743,467,1520,467,105676,314,55491,275,365,260,55126,349,27505,128,639,436,26866,438,9656,62,131,116,9525,136,7702,198,82,137,7620,137,5322,51,483,466,4839,468,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9263436,6263,4491622,3249,1014669,2611,51053,3942,963616,4569,1351181,2059,181402,6968,1169779,6782,812613,676,176584,5817,636029,5822,734129,568,320866,6485,413263,6535,579030,278,367821,5549,211209,5562,4771814,4068,986523,2312,10673,1966,975850,2927,1355316,2080,29238,2644,1326078,3492,884593,681,20916,2443,863677,2571,810501,1389,9171,1316,801330,1969,734881,605,11518,1652,723363,1648,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
