GEO_ID,B01001B_001E,B01001B_001M,B01001B_002E,B01001B_002M,B01001B_003E,B01001B_003M,B01001B_004E,B01001B_004M,B01001B_005E,B01001B_005M,B01001B_006E,B01001B_006M,B01001B_007E,B01001B_007M,B01001B_008E,B01001B_008M,B01001B_009E,B01001B_009M,B01001B_010E,B01001B_010M,B01001B_011E,B01001B_011M,B01001B_012E,B01001B_012M,B01001B_013E,B01001B_013M,B01001B_014E,B01001B_014M,B01001B_015E,B01001B_015M,B01001B_016E,B01001B_016M,B01001B_017E,B01001B_017M,B01001B_018E,B01001B_018M,B01001B_019E,B01001B_019M,B01001B_020E,B01001B_020M,B01001B_021E,B01001B_021M,B01001B_022E,B01001B_022M,B01001B_023E,B01001B_023M,B01001B_024E,B01001B_024M,B01001B_025E,B01001B_025M,B01001B_026E,B01001B_026M,B01001B_027E,B01001B_027M,B01001B_028E,B01001B_028M,B01001B_029E,B01001B_029M,B01001B_030E,B01001B_030M,B01001B_031E,B01001B_031M,NAME,B01001B_001MA,B01001B_001EA,B01001B_002MA,B01001B_002EA,B01001B_003EA,B01001B_003MA,B01001B_004EA,B01001B_004MA,B01001B_005EA,B01001B_005MA,B01001B_006MA,B01001B_006EA,B01001B_007MA,B01001B_007EA,B01001B_008EA,B01001B_008MA,B01001B_009EA,B01001B_009MA,B01001B_010EA,B01001B_010MA,B01001B_011EA,B01001B_011MA,B01001B_012MA,B01001B_012EA,B01001B_013MA,B01001B_013EA,B01001B_014EA,B01001B_014MA,B01001B_015EA,B01001B_015MA,B01001B_016EA,B01001B_016MA,B01001B_017MA,B01001B_017EA,B01001B_018MA,B01001B_018EA,B01001B_019EA,B01001B_019MA,B01001B_020EA,B01001B_020MA,B01001B_021EA,B01001B_021MA,B01001B_022MA,B01001B_022EA,B01001B_023MA,B01001B_023EA,B01001B_024MA,B01001B_024EA,B01001B_025EA,B01001B_025MA,B01001B_026EA,B01001B_026MA,B01001B_027MA,B01001B_027EA,B01001B_028MA,B01001B_028EA,B01001B_029MA,B01001B_029EA,B01001B_030EA,B01001B_030MA,B01001B_031EA,B01001B_031MA,state
0400000US01,1291826,7415,602320,4415,47279,1881,45890,3368,47512,3596,28968,2007,21461,2293,54154,2248,42268,2132,40590,2142,77668,2872,73813,2081,68358,1451,35499,1262,15107,1236,3753,773,689506,5477,43432,2405,43984,3307,45792,3157,29020,1770,23802,1893,56881,2214,46999,1582,49595,1997,90999,2911,90251,2763,85694,1101,46268,1200,26181,1646,10608,1224,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24790,2506,14399,1552,329,411,583,465,824,715,366,335,1157,841,2426,1048,2113,883,542,431,2313,885,2008,736,1063,533,259,268,416,466,0,145,10391,1704,770,935,1122,482,931,493,111,89,393,419,703,459,486,452,691,458,1445,599,1273,601,844,517,542,398,851,631,229,284,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,280518,6306,147478,4295,11470,1272,12995,2005,8596,1377,5975,1036,5313,1009,13522,1354,12004,1063,12194,1045,21911,1334,18383,671,14582,755,6922,463,2929,683,682,482,133040,3310,10021,1101,8951,1385,10523,1547,5669,981,3805,706,11666,1250,10712,832,10441,716,18046,960,16161,796,14061,677,7456,536,4104,949,1424,540,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,468231,4648,222887,3514,18927,1651,18720,2066,17566,2099,12364,1251,8516,1293,20338,2171,15332,1620,13848,1668,28094,1993,26587,1787,24683,723,11552,856,4569,816,1791,544,245344,3442,16774,1330,19364,2253,18519,2153,10973,1331,8534,1533,20703,1781,16769,1294,16545,1359,32897,2134,30111,1620,28669,876,13671,741,8610,994,3205,824,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2259681,15273,1113405,8713,69493,3166,71386,3677,70051,3755,48604,1837,33554,1904,102143,3248,92623,2395,78608,2284,144810,3182,159751,2932,133160,1773,67824,1480,33222,1402,8176,1162,1146276,10447,68015,3348,71238,4277,68623,3970,45922,1957,34468,2035,91501,2643,84646,2835,78897,2312,144144,2687,165318,1964,144373,1586,84496,1152,45962,2076,18673,1826,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,215446,4979,117064,2600,7739,1081,9644,1271,7098,1124,4678,749,3958,732,12226,1120,10415,1059,10413,1039,15557,1230,15542,968,11633,622,4907,516,2403,546,851,322,98382,3608,7109,1120,7480,1275,6875,1167,3997,897,2781,853,8348,1367,8506,969,7385,760,13422,1053,13309,799,9826,774,5763,419,2743,539,838,408,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,371857,7049,178068,4114,12117,1135,13383,1849,14131,1678,9587,700,5682,841,17487,1230,14246,866,11253,819,24293,1387,23894,957,17817,914,8941,525,3839,696,1398,563,193789,4647,11791,1162,13225,1991,12451,1684,8867,792,6457,730,15235,806,14192,1136,13887,997,25720,1218,29224,935,20610,770,12845,587,5899,759,3386,809,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,203326,3317,96402,1872,7290,792,7628,1037,7046,931,4589,439,3887,541,7991,700,7077,465,6528,387,12104,275,13351,323,10086,144,5932,222,2428,374,465,272,106924,2005,6543,717,7191,1059,6463,1153,4624,290,3945,717,8013,545,6853,593,7461,633,13963,375,16134,295,13248,319,7542,225,3360,578,1584,578,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,321346,2832,145856,1402,10860,523,9009,799,9135,904,5467,233,4446,268,12900,219,11305,326,9916,276,16824,482,19927,279,19184,533,9914,226,5016,472,1953,442,175490,1818,10255,594,10148,1249,7880,1261,5632,288,5546,143,14039,420,13571,463,12906,989,20714,526,23009,274,23483,318,14265,271,9380,788,4662,733,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3221160,14886,1548271,9601,116210,3417,122604,5239,122939,5625,77722,3139,54954,2686,141776,3815,120596,3437,106490,3460,199027,4130,197285,3412,156528,2252,83820,2355,36567,2064,11753,1830,1672889,10045,116523,3493,113563,6266,117551,5836,70368,2488,50991,2682,143681,3719,127999,2720,119031,2917,223698,3033,218112,2811,183992,2791,107617,2016,55035,2180,24728,2049,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
