GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001MA,B17025_001EA,B17025_002EA,B17025_002MA,B17025_003MA,B17025_003EA,B17025_004EA,B17025_004MA,B17025_005EA,B17025_005MA,B17025_006MA,B17025_006EA,B17025_007MA,B17025_007EA,B17025_008EA,B17025_008MA,B17025_009MA,B17025_009EA,B17025_010EA,B17025_010MA,B17025_011EA,B17025_011MA,B17025_012MA,B17025_012EA,B17025_013EA,B17025_013MA,B17025_014MA,B17025_014EA,B17025_015EA,B17025_015MA,state
0400000US20,2821431,1822,382712,13369,341849,11853,338291,11882,3558,1254,40863,5136,7493,1599,33370,4591,2438719,13498,2278760,14644,2257334,14529,21426,2260,159959,6261,68659,4594,91300,5366,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4275359,3071,817542,22333,775591,22230,772830,22337,2761,726,41951,4687,10185,2225,31766,4200,3457817,22653,3341582,22925,3319036,22537,22546,2727,116235,5279,47203,3459,69032,5016,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4518525,2673,896524,23296,859799,22362,856976,22219,2823,812,36725,4188,8561,1911,28164,3731,3622001,23979,3469364,23588,3442833,23178,26531,2992,152637,6622,68550,4901,84087,5890,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1294009,1312,182791,8933,172110,8697,170487,8791,1623,689,10681,2628,3908,1033,6773,2234,1111218,8874,1074342,8646,1063176,8331,11166,1366,36876,3193,21895,2029,14981,2289,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5835377,3394,589818,21635,490976,19585,484418,19742,6558,1568,98842,7627,34134,3725,64708,6968,5245559,21844,4462095,22201,4387419,23055,74676,4864,783464,16702,397124,10933,386340,12910,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6509672,2466,757235,20233,588507,18031,531721,16969,56786,5256,168728,9855,61559,5199,107169,8982,5752437,20269,4887635,21133,4762121,20668,125514,7147,864802,15056,483507,11340,381295,14537,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9686787,4096,1568844,28256,1448453,25068,1434637,25099,13816,2485,120391,8736,43791,4853,76600,6006,8117943,28619,7612679,27066,7562316,26472,50363,3646,505264,12845,281289,9000,223975,11529,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5332552,2450,611354,19609,524031,15868,518380,15555,5651,1705,87323,8389,33314,3766,54009,6957,4721198,19298,4388212,18045,4354609,17532,33603,3147,332986,10317,179051,7897,153935,8074,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2895470,2092,623113,18212,611407,17881,608579,17942,2828,892,11706,2024,2218,813,9488,1788,2272357,17597,2224218,17746,2207687,17528,16531,2681,48139,3673,19995,2543,28144,2947,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5878658,2718,908628,22347,864036,21396,858456,21159,5580,1300,44592,5257,12239,2496,32353,4428,4970030,22523,4795680,24579,4759002,24077,36678,3574,174350,8055,89021,5684,85329,5934,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,997952,1702,153954,7951,150147,8000,148137,8014,2010,1097,3807,961,1253,483,2554,847,843998,7992,824717,7771,816890,7822,7827,1635,19281,2275,10010,1382,9271,1711,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1828121,1343,227310,9475,201384,9202,200371,9188,1013,565,25926,3294,4863,1358,21063,3144,1600811,9277,1504366,10291,1491905,10224,12461,1673,96445,5301,38721,2990,57724,5132,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2800768,2077,426730,18737,340998,16220,335649,16169,5349,1158,85732,6776,23013,2749,62719,5774,2374038,18462,1911786,17484,1869561,17234,42225,4210,462252,11957,225689,8317,236563,10089,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1287504,829,117983,7687,111745,7663,109119,7572,2626,965,6238,1529,2475,951,3763,1226,1169521,7413,1099094,8681,1088863,8474,10231,1537,70427,4884,40164,3990,30263,3447,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8762159,3378,972903,23646,720889,18784,682155,17870,38734,4162,252014,11432,92382,6405,159632,9168,7789256,23739,6095018,26852,5925805,25442,169213,7520,1694238,21795,966455,15908,727783,15631,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2045525,1124,436153,17466,377517,14779,374487,14780,3030,1013,58636,6827,15939,2466,42697,5862,1609372,17570,1467245,16643,1446308,16752,20937,3062,142127,8300,58830,4613,83297,6802,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19228524,4824,3062938,48945,2240410,37642,2118773,36799,121637,7036,822528,22511,341325,11865,481203,18437,16165586,49469,12585050,50447,12232229,47350,352821,11761,3580536,31535,2048875,26784,1531661,23578,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9691794,3044,1668686,32408,1497523,29622,1482697,29268,14826,2448,171163,10141,31672,4563,139491,8720,8023108,32440,7442853,33770,7347120,33566,95733,5379,580255,14200,234035,9404,346220,12406,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,712548,1044,82264,6353,76827,6220,76068,6162,759,519,5437,1603,1453,699,3984,1499,630284,6389,612205,6166,608252,6132,3953,972,18079,2728,7758,2094,10321,1947,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,11276403,3595,1785780,29476,1696633,27634,1678035,27356,18598,2949,89147,8213,28778,3750,60369,6476,9490623,29809,9110477,31205,9042132,31945,68345,4486,380146,10492,208714,8057,171432,7948,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3759517,2366,623840,14892,576561,14238,571878,14152,4683,1118,47279,4193,6353,1279,40926,4229,3135677,15164,2961177,15223,2928569,15031,32608,2693,174500,6372,65669,3423,108831,5337,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
