GEO_ID,B23006_001E,B23006_001M,B23006_002E,B23006_002M,B23006_003E,B23006_003M,B23006_004E,B23006_004M,B23006_005E,B23006_005M,B23006_006E,B23006_006M,B23006_007E,B23006_007M,B23006_008E,B23006_008M,B23006_009E,B23006_009M,B23006_010E,B23006_010M,B23006_011E,B23006_011M,B23006_012E,B23006_012M,B23006_013E,B23006_013M,B23006_014E,B23006_014M,B23006_015E,B23006_015M,B23006_016E,B23006_016M,B23006_017E,B23006_017M,B23006_018E,B23006_018M,B23006_019E,B23006_019M,B23006_020E,B23006_020M,B23006_021E,B23006_021M,B23006_022E,B23006_022M,B23006_023E,B23006_023M,B23006_024E,B23006_024M,B23006_025E,B23006_025M,B23006_026E,B23006_026M,B23006_027E,B23006_027M,B23006_028E,B23006_028M,B23006_029E,B23006_029M,NAME,B23006_001MA,B23006_001EA,B23006_002EA,B23006_002MA,B23006_003EA,B23006_003MA,B23006_004EA,B23006_004MA,B23006_005MA,B23006_005EA,B23006_006MA,B23006_006EA,B23006_007EA,B23006_007MA,B23006_008EA,B23006_008MA,B23006_009EA,B23006_009MA,B23006_010MA,B23006_010EA,B23006_011MA,B23006_011EA,B23006_012MA,B23006_012EA,B23006_013EA,B23006_013MA,B23006_014EA,B23006_014MA,B23006_015EA,B23006_015MA,B23006_016MA,B23006_016EA,B23006_017MA,B23006_017EA,B23006_018EA,B23006_018MA,B23006_019EA,B23006_019MA,B23006_020EA,B23006_020MA,B23006_021MA,B23006_021EA,B23006_022MA,B23006_022EA,B23006_023MA,B23006_023EA,B23006_024EA,B23006_024MA,B23006_025EA,B23006_025MA,B23006_026EA,B23006_026MA,B23006_027MA,B23006_027EA,B23006_028MA,B23006_028EA,B23006_029EA,B23006_029MA,state
0400000US01,2510254,5468,329927,10415,161142,7214,100,108,161042,7224,138999,5994,22043,2882,168785,6577,766472,13551,509830,11999,772,439,509058,12099,463917,11616,45141,3466,256642,7416,791599,14544,595112,12970,4994,1285,590118,12626,551251,12222,38867,3106,196487,6801,622256,11874,521736,9774,5002,1133,516734,9621,500600,9790,16134,2055,100520,5437,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,395250,2296,23300,1907,13296,1477,0,145,13296,1477,11436,1400,1860,556,10004,1616,113610,4156,85757,3809,1325,678,84432,3862,74264,4038,10168,1579,27853,2072,149306,5035,118843,4703,5370,1009,113473,4679,106924,4673,6549,1213,30463,2412,109034,4855,94655,4444,2722,808,91933,4438,90070,4557,1863,592,14379,1736,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3365469,3419,466105,11704,276717,8503,17,32,276700,8506,247088,7902,29612,2735,189388,6469,790251,16649,546023,13548,925,420,545098,13545,496025,12374,49073,4121,244228,7765,1178764,15824,892382,15176,6403,1118,885979,15320,826354,14799,59625,4412,286382,7728,930349,12417,770706,11012,2774,815,767932,10940,740062,10358,27870,2956,159643,6477,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1503402,4258,186448,7660,105964,5568,0,190,105964,5568,94752,5218,11212,1954,80484,4175,514176,9464,343318,7447,58,101,343260,7436,317290,7658,25970,2956,170858,6504,463913,10124,347476,9357,1684,551,345792,9448,327837,9173,17955,2283,116437,5495,338865,9807,287716,9272,551,250,287165,9248,280806,9099,6359,1312,51149,3876,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,20664200,5964,3542987,27042,2310810,24793,386,361,2310424,24748,2077952,23113,232472,7799,1232177,16474,4264914,31995,3096646,28060,14944,2906,3081702,27590,2795893,26281,285809,9170,1168268,19243,6191117,34927,4787988,28670,33761,3459,4754227,27913,4398148,27186,356079,10339,1403129,20275,6665182,36643,5659791,33864,20785,2345,5639006,33781,5388189,33612,250817,7323,1005391,14809,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2904891,3824,262886,8664,177865,6566,51,83,177814,6564,164482,6590,13332,2163,85021,5012,604025,13644,447196,12194,2460,848,444736,12142,420672,11501,24064,2617,156829,6972,894733,11723,716936,12361,9274,1753,707662,12486,674159,11943,33503,2997,177797,5960,1143247,12573,982300,12145,6090,1317,976210,12280,947436,12389,28774,2487,160947,5419,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1916290,2390,158031,7773,100585,6033,0,197,100585,6033,86589,5419,13996,1881,57446,4153,494369,11310,390446,9841,546,341,389900,9795,354882,9485,35018,3118,103923,5410,492760,10866,406800,10011,1963,604,404837,9998,375972,9508,28865,2751,85960,3995,771130,10909,669299,11057,2314,644,666985,11019,641729,10756,25256,2739,101831,4182,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,486584,1043,49403,4061,29376,3140,0,185,29376,3140,26595,2966,2781,1131,20027,2113,141937,4738,106488,4846,257,258,106231,4810,97353,4732,8878,1584,35449,3024,138903,5383,110823,4906,896,499,109927,4857,103151,4785,6776,1389,28080,2489,156341,5806,136034,5278,698,327,135336,5252,131762,5238,3574,805,20307,2028,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,388746,411,33180,3017,21653,2732,0,198,21653,2732,18499,2439,3154,1022,11527,1744,65986,4146,44629,3494,0,198,44629,3494,36753,3152,7876,1602,21357,2894,64106,4126,49213,3263,605,339,48608,3220,41535,3214,7073,1429,14893,2389,225474,3802,202487,4510,1299,548,201188,4572,194861,4316,6327,1154,22987,2317,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10250242,8428,1161305,20662,706865,16451,0,214,706865,16451,621456,15709,85409,6605,454440,12202,2949024,31093,2110112,25402,3350,1226,2106762,25308,1924282,26353,182480,8390,838912,17436,3280785,28082,2550926,26410,16343,2062,2534583,26573,2368926,24164,165657,8035,729859,13914,2859128,27651,2385714,24804,13564,2168,2372150,25155,2269359,23928,102791,5649,473414,14275,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
