GEO_ID,B20017A_001E,B20017A_001M,B20017A_002E,B20017A_002M,B20017A_003E,B20017A_003M,B20017A_004E,B20017A_004M,B20017A_005E,B20017A_005M,B20017A_006E,B20017A_006M,B20017A_007E,B20017A_007M,NAME,B20017A_001EA,B20017A_001MA,B20017A_002MA,B20017A_002EA,B20017A_003MA,B20017A_003EA,B20017A_004EA,B20017A_004MA,B20017A_005MA,B20017A_005EA,B20017A_006EA,B20017A_006MA,B20017A_007MA,B20017A_007EA,state
0400000US01,30536,283,37081,518,48248,1331,10646,383,22933,600,35593,476,9275,446,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43806,2304,52016,1184,61867,886,22824,2965,35417,1172,50473,1635,15155,1595,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,30874,212,35286,461,46423,577,11246,299,26405,402,38217,810,10185,274,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,27484,666,32931,1242,41389,508,10632,436,22360,520,32073,550,8828,558,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32374,126,39123,534,53198,738,13471,265,27026,229,45590,318,11741,99,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,34831,599,40622,349,52109,380,12174,377,29299,776,42597,886,11163,299,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41798,346,50597,456,65655,1077,12158,411,34584,1211,52267,794,12238,402,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35627,739,41109,1247,51966,790,10889,670,30961,788,44753,1897,11055,638,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62507,2852,71056,1818,87412,4329,22512,5218,57020,2672,76003,2059,15270,2461,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,29808,366,32378,205,42365,282,11604,187,25712,211,36315,310,11112,143,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,32022,230,37892,852,49824,680,10848,289,26729,319,39602,774,9788,332,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,38696,2085,42356,2060,51810,810,13458,2966,31060,1126,46521,1859,11842,983,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,25808,585,31916,522,44568,1974,9781,588,20673,462,31328,656,9494,542,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,35129,222,41732,309,54765,762,11695,194,27960,479,41697,282,10977,160,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,30317,202,36783,324,47485,677,10455,243,23627,480,35465,330,9812,267,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,31279,241,38782,799,48000,734,9883,462,25239,349,36808,378,9122,353,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,31221,232,37574,925,48210,979,9346,638,25136,398,36793,462,9855,434,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,27786,571,32410,540,43908,1028,9963,379,23021,629,34523,914,9780,358,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,34175,1151,43449,1733,52903,1687,12467,750,25880,455,36352,527,9749,445,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,28471,1031,32497,1128,46122,965,11047,505,25006,623,36163,670,10722,502,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,42786,966,51195,408,65370,816,11884,333,35933,640,52305,495,12199,353,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,40861,246,49831,1073,64678,1083,11710,269,32777,746,51584,363,12407,302,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,30414,196,37168,331,51039,229,10515,202,23316,444,39061,512,10223,152,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,35910,252,41840,262,52484,560,11017,295,30248,226,43408,653,11481,215,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,31010,420,36523,515,44919,1415,10243,556,25330,636,35329,821,9405,726,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,30303,192,35801,350,46944,474,10484,301,24722,474,35946,278,9352,320,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,26153,524,32133,674,43830,1844,10569,742,21035,531,31969,486,9838,597,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,30721,266,36671,531,45681,623,9182,620,25052,405,35537,506,9291,422,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,31643,317,36793,642,47596,1203,13801,860,27130,680,38770,1100,11820,339,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,35620,473,42169,782,55642,1331,11934,572,30130,615,42321,1108,11206,517,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,41525,256,50901,336,65448,724,13774,803,32325,298,51064,420,12435,318,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,27044,607,31848,672,44780,2368,10107,586,22186,632,35596,1144,9668,550,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,38459,479,44686,713,59014,942,12084,173,31855,198,48488,789,11840,127,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,30866,174,35323,362,45756,467,10667,270,26260,285,37334,351,10298,226,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,33030,1205,41911,677,51228,944,11815,826,26261,696,36059,788,11201,707,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,31127,149,37365,366,49370,503,10151,206,25415,208,37983,531,10111,159,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,30631,221,37364,564,46596,618,10784,387,24013,461,33428,689,9489,370,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,29038,653,34313,1158,49253,1295,11458,360,23841,561,40017,803,11029,310,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,32444,179,40617,216,51219,211,10833,207,26669,199,40434,247,10222,136,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,33732,1663,40367,883,53875,2723,11741,709,28849,1982,44121,2624,11628,431,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
