GEO_ID,B27001A_001E,B27001A_001M,B27001A_002E,B27001A_002M,B27001A_003E,B27001A_003M,B27001A_004E,B27001A_004M,B27001A_005E,B27001A_005M,B27001A_006E,B27001A_006M,B27001A_007E,B27001A_007M,B27001A_008E,B27001A_008M,B27001A_009E,B27001A_009M,B27001A_010E,B27001A_010M,B27001A_011E,B27001A_011M,B27001A_012E,B27001A_012M,B27001A_013E,B27001A_013M,B27001A_014E,B27001A_014M,B27001A_015E,B27001A_015M,B27001A_016E,B27001A_016M,B27001A_017E,B27001A_017M,B27001A_018E,B27001A_018M,B27001A_019E,B27001A_019M,B27001A_020E,B27001A_020M,B27001A_021E,B27001A_021M,B27001A_022E,B27001A_022M,B27001A_023E,B27001A_023M,B27001A_024E,B27001A_024M,B27001A_025E,B27001A_025M,B27001A_026E,B27001A_026M,B27001A_027E,B27001A_027M,B27001A_028E,B27001A_028M,NAME,B27001A_001EA,B27001A_001MA,B27001A_002MA,B27001A_002EA,B27001A_003MA,B27001A_003EA,B27001A_004EA,B27001A_004MA,B27001A_005EA,B27001A_005MA,B27001A_006MA,B27001A_006EA,B27001A_007MA,B27001A_007EA,B27001A_008MA,B27001A_008EA,B27001A_009MA,B27001A_009EA,B27001A_010EA,B27001A_010MA,B27001A_011EA,B27001A_011MA,B27001A_012EA,B27001A_012MA,B27001A_013MA,B27001A_013EA,B27001A_014MA,B27001A_014EA,B27001A_015MA,B27001A_015EA,B27001A_016EA,B27001A_016MA,B27001A_017EA,B27001A_017MA,B27001A_018MA,B27001A_018EA,B27001A_019MA,B27001A_019EA,B27001A_020MA,B27001A_020EA,B27001A_021MA,B27001A_021EA,B27001A_022EA,B27001A_022MA,B27001A_023EA,B27001A_023MA,B27001A_024MA,B27001A_024EA,B27001A_025MA,B27001A_025EA,B27001A_026EA,B27001A_026MA,B27001A_027EA,B27001A_027MA,B27001A_028EA,B27001A_028MA,state
0400000US01,3272871,6799,212931,3362,204830,4216,8101,1797,473061,3762,455320,4540,17741,2926,297195,2744,243479,5479,53716,4923,394916,3186,304318,5725,90598,5389,401178,3514,327488,5873,73690,5318,459372,1986,394846,4618,64526,4506,455947,1455,414912,3843,41035,3805,340705,1195,339435,1256,1270,589,237566,1270,237418,1311,148,137,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,466884,3078,34240,1561,31887,1554,2353,882,68073,1548,63088,2273,4985,1574,43467,1481,36712,1824,6755,1428,70790,1883,55110,2624,15680,2438,59753,1315,49851,1769,9902,1277,67830,841,57927,1486,9903,1375,69739,594,62364,1457,7375,1288,36216,655,35557,877,659,533,16776,490,16604,499,172,168,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5194993,24354,370250,6922,339163,6942,31087,3755,790263,9672,714860,10242,75403,5509,477423,6361,375145,7170,102278,5531,635684,7239,503586,8091,132098,7115,624298,5838,512965,7495,111333,6334,663462,5141,562743,5802,100719,5054,673832,2923,602381,5435,71451,4757,555007,2047,548480,2358,6527,1601,404774,1760,402636,1903,2138,772,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2286585,6285,163693,3125,157751,3516,5942,1584,344948,3743,327954,3890,16994,2874,209777,2494,170139,4105,39638,3483,285252,3426,218727,4384,66525,4955,283339,3293,230098,4992,53241,4614,301877,2107,258336,3620,43541,3284,300025,1332,272011,2951,28014,2908,233314,1328,232533,1342,781,677,164360,1213,163892,1244,468,333,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23518476,54861,1694576,16635,1627356,16766,67220,6051,3528699,20207,3312118,21948,216581,9739,2236072,13436,1822221,16422,413851,11472,3284852,15863,2591081,17874,693771,15898,2992785,14591,2459158,15319,533627,13418,3246997,12443,2786830,12816,460167,10091,3004015,10113,2705384,11757,298631,9588,1999788,6893,1974104,7413,25684,3086,1530692,5916,1520523,6024,10169,1618,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4451583,14910,319854,5555,307298,5444,12556,2151,672552,6977,632296,7617,40256,4622,409484,3844,349486,5510,59998,4626,642615,5535,529115,7629,113500,6109,593468,4869,512456,6334,81012,5585,606939,3386,540329,5111,66610,4634,595650,2526,552444,4290,43206,3680,372080,1727,368594,1995,3486,991,238941,1695,237733,1665,1208,590,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2727517,11622,150133,3325,145002,3190,5131,1570,385927,4457,373519,4670,12408,2413,246375,3113,222750,3372,23625,2612,303975,3947,266439,4445,37536,3677,314587,3259,289232,3457,25355,2818,437997,3289,411802,3743,26195,2814,413580,2120,393798,3090,19782,2060,262853,1357,261908,1408,945,367,212090,1312,211690,1310,400,319,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,638797,4079,40384,1900,38949,2013,1435,741,82554,1803,78297,2032,4257,1340,55656,1080,49586,1659,6070,1283,78543,1327,66945,2202,11598,2064,73218,1462,65802,1684,7416,1388,90998,943,83296,1835,7702,1500,93951,728,88439,1514,5512,1389,73281,509,73281,509,0,185,50212,624,50017,664,195,314,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,261477,4063,15380,1222,15289,1247,91,140,15435,1152,14805,1239,630,593,32268,783,31464,869,804,381,81870,1702,78451,1484,3419,1557,42925,1035,41664,1054,1261,572,25882,793,25161,1012,721,422,21933,563,21295,575,638,319,16093,480,15996,474,97,117,9691,525,9691,525,0,198,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14917817,28791,858678,9882,795716,10269,62962,5711,1868765,12326,1667428,16821,201337,11950,1206303,7265,894775,13006,311528,12188,1752187,8706,1241466,14362,510721,14058,1756030,7455,1319289,11988,436741,11379,2109069,7233,1663971,13613,445098,13237,2079855,5816,1753488,12568,326367,11588,1795157,4387,1769780,5306,25377,2908,1491773,3833,1480724,4031,11049,1878,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5947358,16998,415811,7384,392023,7586,23788,2435,914724,8472,842002,9727,72722,6739,543155,5212,421121,6726,122034,6993,744814,7148,543328,7784,201486,8450,785415,6536,621951,6996,163464,7382,857253,4612,717619,7487,139634,6550,778709,2418,684678,5186,94031,4974,554975,2105,552413,2192,2562,830,352502,2145,350572,2133,1930,797,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,329446,3981,20181,1312,19701,1291,480,387,31467,1403,30830,1473,637,461,25708,1249,23006,1604,2702,1122,52866,1969,47008,2370,5858,1688,41068,1443,38691,1532,2377,928,43207,888,39752,1236,3455,1020,54324,746,51421,1093,2903,819,39152,428,38787,487,365,232,21473,485,21243,522,230,221,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
