GEO_ID,C18131_001E,C18131_001M,C18131_002E,C18131_002M,C18131_003E,C18131_003M,C18131_004E,C18131_004M,C18131_005E,C18131_005M,C18131_006E,C18131_006M,C18131_007E,C18131_007M,C18131_008E,C18131_008M,C18131_009E,C18131_009M,C18131_010E,C18131_010M,C18131_011E,C18131_011M,C18131_012E,C18131_012M,C18131_013E,C18131_013M,C18131_014E,C18131_014M,C18131_015E,C18131_015M,C18131_016E,C18131_016M,NAME,C18131_001EA,C18131_001MA,C18131_002MA,C18131_002EA,C18131_003MA,C18131_003EA,C18131_004MA,C18131_004EA,C18131_005EA,C18131_005MA,C18131_006EA,C18131_006MA,C18131_007MA,C18131_007EA,C18131_008MA,C18131_008EA,C18131_009MA,C18131_009EA,C18131_010MA,C18131_010EA,C18131_011EA,C18131_011MA,C18131_012MA,C18131_012EA,C18131_013MA,C18131_013EA,C18131_014MA,C18131_014EA,C18131_015MA,C18131_015EA,C18131_016EA,C18131_016MA,state
0400000US01,4716397,3470,390019,18009,65578,4344,324441,16544,520149,18936,128882,6352,391267,16970,523683,21201,117807,6586,405876,19884,473463,20697,94580,5347,378883,18540,2809083,30438,366703,9745,2442380,30701,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,706055,1836,34344,4016,5335,1203,29009,3744,46023,6185,6282,1296,39741,5609,54192,5798,11237,1784,42955,5170,50262,4596,6358,1050,43904,4136,521234,8108,50521,2809,470713,7928,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6560899,3999,560848,19298,74165,5095,486683,18495,637776,22743,109929,6322,527847,21197,678546,24485,108198,5982,570348,23888,668037,23153,96271,5994,571766,21226,4015692,32980,455044,9629,3560648,32110,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2879848,1971,217844,11688,38392,2822,179452,10417,325976,13405,81454,5187,244522,12362,353437,15610,78953,4786,274484,14190,333909,13853,63569,4360,270340,11833,1648682,24250,229529,7693,1419153,23769,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37984821,9218,2676933,46304,320253,10542,2356680,43155,3580276,52410,554111,13772,3026165,50726,3882557,61906,550168,15367,3332389,55317,3576055,54867,447898,13120,3128157,47742,24269000,83373,2164476,20721,22104524,79179,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5217407,2951,287952,11728,40483,3837,247469,10627,342570,17491,64434,6069,278136,14695,434244,17533,62550,4504,371694,15346,448999,18383,57139,4280,391860,17832,3703642,29764,335780,8978,3367862,28670,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3480470,2173,171654,10666,26078,3073,145576,9773,203092,12526,46211,3987,156881,11179,217980,12495,42399,3203,175581,11145,256037,14355,43656,4142,212381,13351,2631707,18602,228307,6661,2403400,18837,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,907185,1427,54216,5471,8946,1645,45270,4887,59215,5628,10152,1604,49063,5337,63908,6861,10297,1663,53611,6475,72071,7514,13224,2745,58847,6394,657775,10869,66793,4012,590982,10289,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,622480,737,56790,6173,11255,2093,45535,5240,53834,6207,15608,2320,38226,5308,47530,5896,10394,2033,37136,5050,38310,4505,5662,1342,32648,4182,426016,8811,32121,2592,393895,8157,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19434036,6973,1396446,36778,210940,10021,1185506,34512,1814310,47116,346917,13684,1467393,41496,2138468,45002,352011,11608,1786457,40726,2029685,36634,308492,10535,1721193,34388,12055127,71748,1393984,22969,10661143,65617,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
