GEO_ID,C25095_001E,C25095_001M,C25095_002E,C25095_002M,C25095_003E,C25095_003M,C25095_004E,C25095_004M,C25095_005E,C25095_005M,C25095_006E,C25095_006M,C25095_007E,C25095_007M,C25095_008E,C25095_008M,C25095_009E,C25095_009M,C25095_010E,C25095_010M,C25095_011E,C25095_011M,C25095_012E,C25095_012M,C25095_013E,C25095_013M,C25095_014E,C25095_014M,C25095_015E,C25095_015M,C25095_016E,C25095_016M,C25095_017E,C25095_017M,C25095_018E,C25095_018M,C25095_019E,C25095_019M,C25095_020E,C25095_020M,C25095_021E,C25095_021M,C25095_022E,C25095_022M,C25095_023E,C25095_023M,C25095_024E,C25095_024M,C25095_025E,C25095_025M,C25095_026E,C25095_026M,C25095_027E,C25095_027M,C25095_028E,C25095_028M,C25095_029E,C25095_029M,NAME,C25095_001EA,C25095_001MA,C25095_002EA,C25095_002MA,C25095_003EA,C25095_003MA,C25095_004EA,C25095_004MA,C25095_005EA,C25095_005MA,C25095_006EA,C25095_006MA,C25095_007EA,C25095_007MA,C25095_008EA,C25095_008MA,C25095_009EA,C25095_009MA,C25095_010EA,C25095_010MA,C25095_011MA,C25095_011EA,C25095_012EA,C25095_012MA,C25095_013EA,C25095_013MA,C25095_014EA,C25095_014MA,C25095_015EA,C25095_015MA,C25095_016EA,C25095_016MA,C25095_017MA,C25095_017EA,C25095_018MA,C25095_018EA,C25095_019MA,C25095_019EA,C25095_020EA,C25095_020MA,C25095_021EA,C25095_021MA,C25095_022MA,C25095_022EA,C25095_023MA,C25095_023EA,C25095_024MA,C25095_024EA,C25095_025EA,C25095_025MA,C25095_026EA,C25095_026MA,C25095_027EA,C25095_027MA,C25095_028MA,C25095_028EA,C25095_029MA,C25095_029EA,state
0400000US01,1246080,12085,71246,3695,7296,1369,49954,3197,13996,1638,125919,4788,56858,3169,69061,3456,0,189,196482,6556,124441,5391,72041,4181,0,189,182776,6143,141972,5391,40804,3175,0,189,239463,7457,213567,7058,25896,2716,0,189,157373,6118,150608,5779,6765,1331,0,189,272821,7077,269155,6935,3666,1027,0,189,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156006,4250,4466,764,353,183,3647,737,466,257,6081,911,2096,630,3985,690,0,145,12064,1381,6495,1017,5569,926,0,145,13357,1415,7393,896,5964,1163,0,145,28294,2391,19912,1857,8382,1325,0,145,22501,2167,17809,1829,4692,1037,0,145,69243,2819,66980,2812,2263,634,0,145,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1484857,11801,70508,3667,6833,1060,44681,3340,18994,2041,112183,4469,44406,2806,67777,3892,0,200,207515,5994,113848,4604,93667,4636,0,200,205239,6349,139232,4807,66007,3742,0,200,289320,7286,244946,6894,44374,2392,0,200,202006,6752,189676,6794,12330,1451,0,200,398086,8664,387201,8438,10885,1684,0,200,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,744318,10448,37833,2795,4876,898,26824,2519,6133,1189,79981,4085,40038,2971,39943,2713,0,190,124100,4993,83465,4540,40635,2751,0,190,119255,5393,100794,5110,18461,2070,0,190,145570,5780,136215,5646,9355,1467,0,190,93765,5274,90918,5168,2847,815,0,190,143814,5961,142245,5901,1569,486,0,190,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6855688,27608,214931,7655,9494,1617,153720,6367,51717,3571,365540,8697,97002,4625,268538,7314,0,200,668268,12055,267733,7336,400535,9330,0,200,680906,12783,327432,7404,353474,10287,0,200,1113416,15744,634812,10736,478604,10838,0,200,941144,14287,650190,10007,290954,8594,0,200,2871483,19382,2541582,19841,329901,7774,0,200,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1302533,10820,37546,2779,1473,582,28282,2223,7791,1366,64239,3507,19034,2197,45205,2536,0,192,131114,5267,58987,3382,72127,4407,0,192,144567,5336,83745,4035,60822,3667,0,192,246542,6481,179413,5912,67129,3374,0,192,201054,6416,178191,5968,22863,2184,0,192,477471,9193,460654,9198,16817,1938,0,192,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,900039,8072,20091,2299,119,113,14492,1688,5480,1233,35824,2630,2551,632,33273,2516,0,197,74184,3606,16903,1515,57281,3222,0,197,85091,4468,34996,2793,50095,3146,0,197,141152,5018,80131,3632,61021,3604,0,197,133696,5409,101430,4334,32266,2456,0,197,410001,7175,381428,6690,28573,2269,0,197,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,245808,4425,9292,1468,384,314,6447,1253,2461,799,13943,1878,3932,1004,10011,1635,0,185,29825,2086,14822,1561,15003,1579,0,185,31703,2533,17042,1902,14661,1789,0,185,45508,2784,34544,2597,10964,1858,0,185,36122,2498,33007,2481,3115,762,0,185,79415,3777,76962,3765,2453,718,0,185,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112492,3641,4664,851,119,135,3393,752,1152,588,4015,764,875,377,3140,720,0,198,6157,1214,2078,566,4079,1110,0,198,7173,1124,3723,750,3450,858,0,198,14777,1566,9110,1258,5667,1108,0,198,13740,1525,10644,1392,3096,687,0,198,61966,3155,57762,2822,4204,862,0,198,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693821,26616,246058,7686,13994,1787,163540,6200,68524,4648,412490,9930,136975,5801,275515,9554,0,214,713236,11321,372198,8866,341038,8296,0,214,657550,12337,433151,9032,224399,6609,0,214,911869,14037,714643,10384,197226,8663,0,214,602071,12193,537950,12261,64121,3988,0,214,1150547,15489,1098708,15336,51839,3167,0,214,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
