GEO_ID,B25091_001E,B25091_001M,B25091_002E,B25091_002M,B25091_003E,B25091_003M,B25091_004E,B25091_004M,B25091_005E,B25091_005M,B25091_006E,B25091_006M,B25091_007E,B25091_007M,B25091_008E,B25091_008M,B25091_009E,B25091_009M,B25091_010E,B25091_010M,B25091_011E,B25091_011M,B25091_012E,B25091_012M,B25091_013E,B25091_013M,B25091_014E,B25091_014M,B25091_015E,B25091_015M,B25091_016E,B25091_016M,B25091_017E,B25091_017M,B25091_018E,B25091_018M,B25091_019E,B25091_019M,B25091_020E,B25091_020M,B25091_021E,B25091_021M,B25091_022E,B25091_022M,B25091_023E,B25091_023M,NAME,B25091_001EA,B25091_001MA,B25091_002EA,B25091_002MA,B25091_003EA,B25091_003MA,B25091_004EA,B25091_004MA,B25091_005MA,B25091_005EA,B25091_006MA,B25091_006EA,B25091_007MA,B25091_007EA,B25091_008EA,B25091_008MA,B25091_009EA,B25091_009MA,B25091_010EA,B25091_010MA,B25091_011MA,B25091_011EA,B25091_012MA,B25091_012EA,B25091_013EA,B25091_013MA,B25091_014EA,B25091_014MA,B25091_015EA,B25091_015MA,B25091_016MA,B25091_016EA,B25091_017MA,B25091_017EA,B25091_018MA,B25091_018EA,B25091_019EA,B25091_019MA,B25091_020EA,B25091_020MA,B25091_021EA,B25091_021MA,B25091_022MA,B25091_022EA,B25091_023MA,B25091_023EA,state
0400000US01,1246080,12085,714687,9945,59107,3401,129967,5788,143830,6185,105754,5512,70829,4384,46585,2898,32201,3095,37911,2767,83354,4565,5149,1157,531393,8917,242864,6368,101183,4330,53624,3280,35108,2653,21631,2274,14455,1893,11414,1699,14479,1850,27788,2308,8847,1259,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156006,4250,103179,3869,7891,1268,16303,1595,20228,2100,18214,1938,12565,1775,7715,1405,5289,972,5513,884,9247,1491,214,219,52827,2371,25820,1814,9878,1136,5828,966,2651,664,1660,435,1212,484,956,439,1141,454,3429,718,252,128,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1484857,11801,956507,11704,75580,4593,155153,5226,191935,6309,148782,5277,99767,5179,64244,3604,43515,2813,56832,3798,113448,6168,7251,1394,528350,8875,253825,6761,94079,3860,56186,3442,32157,2218,18678,2027,15020,1841,8834,1385,11168,1722,26660,2599,11743,1456,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,744318,10448,413767,9667,38272,3379,83021,4571,90319,4638,57565,3717,41438,3087,23757,2033,17046,2006,22212,2076,38032,2831,2105,674,330551,7086,154187,4373,61429,3888,37216,2744,20724,2112,14380,1754,9411,1395,4964,827,7722,1401,16490,1877,4028,969,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6855688,27608,4929106,26058,268565,6744,525416,9691,756049,12837,759386,12963,603666,13030,443915,9370,317395,8386,386404,8734,840301,13155,28009,2767,1926582,16196,882535,12290,341432,9511,188099,6128,123064,4875,80033,3820,56992,3641,43198,3119,54397,3392,133124,5409,23708,2179,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1302533,10820,948014,10751,69593,4015,148882,4782,189392,6065,152859,5508,109388,5261,72880,3879,46275,3231,51448,3249,103125,5109,4172,992,354519,6438,186801,4654,63098,3406,32941,2589,16459,1876,12084,1389,9195,1174,6970,1112,6773,1080,16579,1497,3619,917,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,900039,8072,628902,8526,38061,2583,83602,3997,111821,4617,102565,4014,77106,3574,50391,3089,37447,2626,41771,3477,83970,4707,2168,854,271137,5712,75927,3058,52192,2929,34157,2446,23653,1933,18474,1683,12912,1399,9574,1286,12882,1591,28054,2330,3312,857,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,245808,4425,170546,3729,12727,1718,25525,2101,35105,3062,25082,2163,17943,2127,13824,1682,7843,1527,11012,1874,20315,2063,1170,536,75262,3429,33543,2352,13503,1553,8029,995,5938,1057,3298,851,2055,701,1379,476,1499,532,4727,1043,1291,540,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112492,3641,85550,3521,8719,1284,13776,1440,17635,2087,13042,1564,9502,1313,5989,872,3293,854,4052,835,9270,1501,272,176,26942,2120,11140,1370,5022,1172,2896,762,1490,429,1089,353,607,272,597,248,862,522,2359,637,880,553,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693821,26616,2728967,21466,172343,6725,357936,8823,464738,12104,408266,9428,297184,7610,209711,7501,152696,5449,195121,7709,448484,9473,22488,2368,1964854,18332,767049,13334,376786,9753,228345,7806,141699,5504,93273,4780,65598,4202,47075,3658,58038,3902,140955,5986,46036,3815,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2232553,17839,1492541,15212,117331,5059,258661,7411,295534,8231,221143,7089,151705,6472,103075,5185,76552,5619,82149,4954,176560,7478,9831,1455,740012,10866,332177,8151,134591,5335,83724,4122,48503,3038,28805,2476,22124,2317,15302,2161,18101,2141,42697,2747,13988,1995,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,255375,5028,169261,4586,10170,1587,14406,1573,22608,2290,28847,2302,23932,2335,14891,1568,11767,1459,14997,1914,26603,2387,1040,538,86114,3674,43864,2655,15378,1472,7142,1126,5559,1093,3125,743,1315,475,1393,477,1651,542,4758,872,1929,571,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,402394,6319,264640,7082,21242,2510,43263,3054,52880,3367,44740,3516,28751,3329,17913,1850,11460,1827,16264,2294,26054,2250,2073,1061,137754,4949,70420,3677,24323,2334,13229,1524,9308,1470,5569,966,2627,755,2880,881,2889,789,5240,1107,1269,475,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3125655,15819,2031234,15321,133472,4370,314959,5906,389616,8610,325377,8531,218268,5740,154227,6332,102168,4994,129314,4090,252794,7208,11039,1710,1094421,11787,398031,7736,226092,6172,139356,4753,84742,3775,56385,3243,39371,2552,27655,1913,34983,2618,74607,3678,13199,1420,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1716341,13216,1145374,12497,98913,4909,239661,7705,254757,7786,179314,5375,108814,5363,67133,4062,46506,3826,52283,3237,93252,3869,4741,1003,570967,8013,263324,6215,117912,3933,62987,3366,35265,2654,22167,1678,14899,1798,9465,1156,11859,1444,26635,2287,6454,1200,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,879878,7925,534125,7016,45582,3007,108172,4161,127850,4954,87960,4378,50996,3162,32185,2555,18839,2285,21150,2015,39018,2489,2373,648,345753,6200,147052,4154,71709,3247,44257,2358,25019,1749,15670,1513,8558,1140,7260,962,6867,1052,16223,1669,3138,687,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,739168,7329,445622,6648,34246,2292,84356,3113,100559,4301,74412,3833,45371,2908,30875,2546,19272,1913,19439,1783,35212,2709,1880,495,293546,5415,122122,4011,63976,3193,34631,2058,21301,1632,11231,1338,7760,1265,5857,1055,7126,954,15844,1796,3698,686,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1131197,10706,671840,9897,55275,3264,127312,4309,144500,5206,102905,4482,65351,4059,44448,3167,28239,2145,33973,2780,66152,4246,3685,1102,459357,7423,207480,5433,90915,3781,53374,3421,29646,2266,18018,1850,13923,1689,7888,1209,10166,1526,21571,2069,6376,1279,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1106785,10765,589089,8924,65051,4167,108762,5193,112236,5013,78084,4424,55381,3364,38674,3374,24692,2737,32974,2871,69218,4273,4017,1027,517696,8721,268788,6967,89280,4592,48244,3026,27983,2256,20530,1862,12736,1446,8149,1354,10605,1496,23163,2518,8218,1499,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,392139,5035,244300,5398,15778,1606,35857,2443,46921,3094,38992,2939,29011,2265,18919,2064,13047,1690,16423,1763,28338,2366,1014,538,147839,4085,49397,2724,29367,2182,20362,1845,15076,1694,7628,1096,6444,1117,4370,908,5337,722,9045,1155,813,306,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
