GEO_ID,B17014_001E,B17014_001M,B17014_002E,B17014_002M,B17014_003E,B17014_003M,B17014_004E,B17014_004M,B17014_005E,B17014_005M,B17014_006E,B17014_006M,B17014_007E,B17014_007M,B17014_008E,B17014_008M,B17014_009E,B17014_009M,B17014_010E,B17014_010M,B17014_011E,B17014_011M,B17014_012E,B17014_012M,B17014_013E,B17014_013M,B17014_014E,B17014_014M,B17014_015E,B17014_015M,B17014_016E,B17014_016M,B17014_017E,B17014_017M,B17014_018E,B17014_018M,B17014_019E,B17014_019M,B17014_020E,B17014_020M,B17014_021E,B17014_021M,B17014_022E,B17014_022M,B17014_023E,B17014_023M,B17014_024E,B17014_024M,B17014_025E,B17014_025M,B17014_026E,B17014_026M,B17014_027E,B17014_027M,B17014_028E,B17014_028M,B17014_029E,B17014_029M,B17014_030E,B17014_030M,B17014_031E,B17014_031M,B17014_032E,B17014_032M,B17014_033E,B17014_033M,B17014_034E,B17014_034M,B17014_035E,B17014_035M,NAME,B17014_001MA,B17014_001EA,B17014_002MA,B17014_002EA,B17014_003EA,B17014_003MA,B17014_004EA,B17014_004MA,B17014_005EA,B17014_005MA,B17014_006MA,B17014_006EA,B17014_007MA,B17014_007EA,B17014_008EA,B17014_008MA,B17014_009EA,B17014_009MA,B17014_010EA,B17014_010MA,B17014_011MA,B17014_011EA,B17014_012MA,B17014_012EA,B17014_013MA,B17014_013EA,B17014_014EA,B17014_014MA,B17014_015EA,B17014_015MA,B17014_016EA,B17014_016MA,B17014_017MA,B17014_017EA,B17014_018MA,B17014_018EA,B17014_019EA,B17014_019MA,B17014_020EA,B17014_020MA,B17014_021EA,B17014_021MA,B17014_022EA,B17014_022MA,B17014_023EA,B17014_023MA,B17014_024EA,B17014_024MA,B17014_025MA,B17014_025EA,B17014_026EA,B17014_026MA,B17014_027EA,B17014_027MA,B17014_028EA,B17014_028MA,B17014_029EA,B17014_029MA,B17014_030MA,B17014_030EA,B17014_031EA,B17014_031MA,B17014_032EA,B17014_032MA,B17014_033EA,B17014_033MA,B17014_034EA,B17014_034MA,B17014_035MA,B17014_035EA,state
0400000US01,1232515,11755,184841,6662,56254,3359,20873,1770,22375,2304,12213,2020,793,404,128587,5238,16420,2394,7534,1548,7106,1484,1743,800,37,73,112167,5073,44375,3920,60452,3384,7063,1310,277,205,1047674,12321,813772,12248,134872,3351,226100,7348,376902,9083,75898,3987,233902,7177,61185,3606,7302,1216,33150,2757,17412,2063,3321,984,172717,5819,21218,2083,94390,4540,47080,3984,10029,1539,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165015,3765,12999,1612,4885,1020,1417,632,1925,624,1366,548,177,54,8114,1333,2317,642,359,173,1676,592,207,140,75,60,5797,1159,2346,787,2933,751,419,219,99,72,152016,3662,119143,3424,9400,1094,27417,2513,65526,3070,16800,1700,32873,3004,12349,1870,613,421,7649,1429,3324,805,763,480,20524,2120,1293,444,11901,1584,5454,961,1876,651,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1579481,13962,209001,6363,88335,4279,28496,2265,39817,2937,16807,2304,3215,1062,120666,5231,25890,2940,8909,1393,14080,2104,2337,884,564,506,94776,4191,34203,2472,49707,3691,9321,1829,1545,715,1370480,13405,1052960,12543,208492,5657,276419,8128,458100,9537,109949,4887,317520,9464,108230,5859,7959,1592,60050,4027,32417,3246,7804,1526,209290,7098,19149,2355,109233,5284,62932,3543,17976,2606,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752212,9854,104138,4501,38327,2962,13224,1558,16184,2152,8091,1471,828,416,65811,3452,9891,1758,3838,1029,5265,1262,755,522,33,56,55920,2988,20948,2015,31621,2720,3264,954,87,90,648074,9714,508201,9423,86604,3731,135716,4311,242782,6469,43099,3390,139873,5594,43661,3786,4300,1097,23440,2874,13352,2111,2569,1055,96212,4644,10947,1388,53934,3593,24758,2299,6573,1546,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8762059,27318,1067419,13044,452770,11184,109256,5419,222213,6912,100366,4851,20935,2518,614649,11962,125277,5404,37202,2326,72130,4523,12869,1796,3076,887,489372,11197,188761,7029,245133,7890,47581,3419,7897,1194,7694640,28159,5786373,25282,658363,8860,1517050,15144,2732919,20424,878041,13347,1908267,22054,646999,13474,37563,3022,330250,8907,198102,7105,81084,4456,1261268,16448,102687,4777,624873,12008,390777,9710,142931,6451,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1315283,8405,105560,4841,42865,3138,11507,1549,18182,2117,12161,1895,1015,561,62695,4689,11365,2198,3021,1087,6874,1615,1364,759,106,148,51330,4066,18193,1950,28204,3081,4736,1380,197,185,1209723,10079,962861,10575,113686,3526,231718,6529,504640,9056,112817,4930,246862,6362,87770,4684,4141,834,48669,3398,27528,2418,7432,1360,159092,5547,9396,1219,85650,3737,51574,3257,12472,1691,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,887263,10002,66949,4874,19680,2501,7432,1331,8680,1490,2952,891,616,288,47269,4219,8008,1771,2844,996,4349,1180,815,579,0,197,39261,3896,14408,2349,21312,2767,2755,873,786,505,820314,9845,630993,9055,71872,3203,144932,5238,315234,7657,98955,4322,189321,5974,56763,3609,2825,669,30226,2984,17996,1939,5716,1154,132558,5089,8530,1423,68350,3673,43591,3388,12087,1745,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233000,4645,19733,2314,5763,1205,1702,555,3191,903,806,386,64,75,13970,2088,2502,749,563,411,1631,619,308,406,0,185,11468,1892,4149,1071,5939,1430,1269,545,111,135,213267,4508,159599,4060,29020,2000,34154,2539,72572,3645,23853,2247,53668,2749,15655,1986,1009,520,7959,1480,5753,1436,934,452,38013,2417,2699,695,20700,1991,11447,1439,3167,973,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117864,3359,16707,2102,2292,700,636,302,953,579,661,411,42,69,14415,1910,1704,674,655,513,888,493,161,256,0,198,12711,1772,7136,1520,4674,1285,823,422,78,129,101157,3173,63952,3106,5743,904,13278,1545,40893,2670,4038,967,37205,2778,7792,1463,517,275,4284,1246,2491,742,500,288,29413,2463,2377,672,16109,2088,8240,1211,2687,776,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693411,24879,563761,13976,221565,8739,86916,5119,88828,5334,40441,3550,5380,878,342196,9105,60354,4673,20880,2469,33788,3346,4798,1321,888,810,281842,7975,100475,5179,159043,6727,19256,2628,3068,868,4129650,24086,3158538,24036,669263,9975,803962,14977,1372426,17677,312887,9837,971112,16358,293183,8421,24102,2343,159283,7332,82894,4893,26904,2459,677929,12957,61623,4150,374740,10174,189501,7494,52065,3914,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
