GEO_ID,B13002_001E,B13002_001M,B13002_002E,B13002_002M,B13002_003E,B13002_003M,B13002_004E,B13002_004M,B13002_005E,B13002_005M,B13002_006E,B13002_006M,B13002_007E,B13002_007M,B13002_008E,B13002_008M,B13002_009E,B13002_009M,B13002_010E,B13002_010M,B13002_011E,B13002_011M,B13002_012E,B13002_012M,B13002_013E,B13002_013M,B13002_014E,B13002_014M,B13002_015E,B13002_015M,B13002_016E,B13002_016M,B13002_017E,B13002_017M,B13002_018E,B13002_018M,B13002_019E,B13002_019M,NAME,B13002_001EA,B13002_001MA,B13002_002EA,B13002_002MA,B13002_003MA,B13002_003EA,B13002_004EA,B13002_004MA,B13002_005EA,B13002_005MA,B13002_006EA,B13002_006MA,B13002_007EA,B13002_007MA,B13002_008MA,B13002_008EA,B13002_009MA,B13002_009EA,B13002_010EA,B13002_010MA,B13002_011EA,B13002_011MA,B13002_012MA,B13002_012EA,B13002_013MA,B13002_013EA,B13002_014MA,B13002_014EA,B13002_015EA,B13002_015MA,B13002_016EA,B13002_016MA,B13002_017EA,B13002_017MA,B13002_018MA,B13002_018EA,B13002_019MA,B13002_019EA,state
0400000US01,1156187,3545,58890,3917,34294,2949,95,87,27363,2698,6836,1484,24596,2602,3178,1100,20512,2218,906,380,1097297,5019,476064,8437,1731,676,156397,5644,317936,5910,621233,9000,158444,3553,282077,6591,180712,6201,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175566,2091,11703,1683,8861,1436,385,371,6742,1277,1734,612,2842,738,394,394,2388,600,60,33,163863,2186,73430,2880,605,398,25400,2411,47425,2207,90433,3278,23107,1473,44795,2559,22531,1976,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1557582,3804,82774,5252,48818,3713,226,219,36623,2914,11969,1915,33956,3859,2375,776,28039,3946,3542,1087,1474808,6739,619095,10355,2919,863,209306,6884,406870,7375,855713,11367,215978,2581,396819,8081,242916,7358,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,693987,4287,40479,3024,24304,2384,566,301,19460,2061,4278,1075,16175,1878,2983,932,12320,1723,872,401,653508,5495,304283,6295,1862,955,106910,4291,195511,5357,349225,7365,93839,3451,153001,4840,102385,4715,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9650839,9573,472565,12298,317441,9911,1934,706,218799,7623,96708,4881,155124,6328,16442,1886,117243,5917,21439,2123,9178274,15539,3856805,23204,14336,1614,1184614,15874,2657855,16563,5321469,23016,1253398,4998,2673426,17383,1394645,15621,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1293015,3873,70525,5389,47600,3415,257,258,35568,3090,11775,1502,22925,3095,2648,850,18168,2833,2109,687,1222490,6526,567411,9201,1447,614,190890,5768,375074,6310,655079,9155,159994,2359,324679,6295,170406,5167,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,850651,2832,42104,3708,27833,2632,0,197,19287,2290,8546,1366,14271,2155,1352,607,10481,1867,2438,819,808547,4557,319799,6249,1050,416,78028,3471,240721,4718,488748,6817,121694,1184,226433,4338,140621,5261,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219746,1678,10944,1357,6749,1181,0,185,5157,1068,1592,665,4195,832,390,308,3184,812,621,331,208802,2051,81731,3251,201,191,25354,2119,56176,2506,127071,3282,29559,1023,59407,2373,38105,2364,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,200589,967,9901,1790,5096,1047,0,198,2832,855,2264,708,4805,1414,305,275,3363,1167,1137,707,190688,1928,47197,2702,516,423,18775,1978,27906,1621,143491,3274,18808,1244,86671,2699,38012,1854,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4516605,7757,213196,8030,125409,5442,801,377,92436,5242,32172,3025,87787,5673,6668,1672,69509,4936,11610,1971,4303409,12091,1734480,17214,5162,1199,503028,10731,1226290,14251,2568929,17826,567757,6074,1216419,12302,784753,12466,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2545136,7487,136418,7094,82517,5506,2309,854,58682,4423,21526,2645,53901,4076,6655,1681,40687,3926,6559,1221,2408718,10454,1018168,12109,4853,1336,315821,9233,697494,10476,1390550,12447,331175,7329,643666,10662,415709,9986,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
