GEO_ID,C17001G_001E,C17001G_001M,C17001G_002E,C17001G_002M,C17001G_003E,C17001G_003M,C17001G_004E,C17001G_004M,C17001G_005E,C17001G_005M,C17001G_006E,C17001G_006M,C17001G_007E,C17001G_007M,C17001G_008E,C17001G_008M,C17001G_009E,C17001G_009M,C17001G_010E,C17001G_010M,C17001G_011E,C17001G_011M,C17001G_012E,C17001G_012M,C17001G_013E,C17001G_013M,C17001G_014E,C17001G_014M,C17001G_015E,C17001G_015M,C17001G_016E,C17001G_016M,C17001G_017E,C17001G_017M,C17001G_018E,C17001G_018M,C17001G_019E,C17001G_019M,NAME,C17001G_001EA,C17001G_001MA,C17001G_002EA,C17001G_002MA,C17001G_003EA,C17001G_003MA,C17001G_004MA,C17001G_004EA,C17001G_005MA,C17001G_005EA,C17001G_006EA,C17001G_006MA,C17001G_007EA,C17001G_007MA,C17001G_008EA,C17001G_008MA,C17001G_009MA,C17001G_009EA,C17001G_010MA,C17001G_010EA,C17001G_011MA,C17001G_011EA,C17001G_012EA,C17001G_012MA,C17001G_013EA,C17001G_013MA,C17001G_014EA,C17001G_014MA,C17001G_015MA,C17001G_015EA,C17001G_016MA,C17001G_016EA,C17001G_017EA,C17001G_017MA,C17001G_018EA,C17001G_018MA,C17001G_019EA,C17001G_019MA,state
0400000US01,83182,6381,23244,3953,10817,2096,7075,1644,3597,1115,145,137,12427,2377,7616,1865,4506,1052,305,204,59938,5267,29098,2960,12949,2185,13460,1854,2689,734,30840,3742,14068,2362,13833,2164,2939,711,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,60291,4158,8073,2226,3811,1215,2176,912,1621,640,14,25,4262,1272,2364,862,1898,691,0,145,52218,4126,26423,2334,13084,1781,12348,1494,991,364,25795,2825,12175,1829,13001,1820,619,194,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,217836,11083,40753,4859,19905,2961,11550,2210,8009,1599,346,245,20848,2622,9803,1790,9876,1999,1169,450,177083,9804,87650,6141,42285,3994,41088,4144,4277,707,89433,5539,44165,3681,41180,3384,4088,819,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,63223,5642,17343,3526,7656,1832,4316,1321,3260,1070,80,121,9687,2304,4803,1452,4505,1451,379,253,45880,3775,21630,2650,8239,1433,11157,1860,2234,767,24250,2493,10597,1880,11511,1478,2142,647,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1730552,28089,269149,15670,125952,7963,62279,5614,59274,3935,4399,875,143197,9373,58277,6144,77790,5148,7130,1156,1461403,27854,724330,16100,319874,11292,372704,9149,31752,2463,737073,17743,318876,11219,373199,10155,44998,2900,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,177995,9473,27284,3253,12107,2000,5965,1374,5932,1310,210,160,15177,2102,6531,1348,8002,1385,644,357,150711,8573,74413,5014,32667,2971,38272,2838,3474,915,76298,5137,32737,3182,40411,3281,3150,582,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,97553,7563,17347,3726,6892,1431,4208,996,2451,887,233,201,10455,3014,6015,2021,4088,1269,352,239,80206,6739,40713,4191,19600,2777,19139,2482,1974,814,39493,3597,19652,2566,18292,2041,1549,600,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22833,3210,4504,1291,2175,883,1362,707,701,489,112,141,2329,805,1431,648,860,418,38,50,18329,2753,9334,1644,5847,1474,2994,1060,493,378,8995,1804,5101,1308,3645,991,249,176,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15298,2525,1432,679,952,601,168,199,784,554,0,198,480,297,0,198,456,291,24,40,13866,2449,6067,1307,2619,817,3325,811,123,132,7799,1604,2969,979,4439,1025,391,216,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,461822,19985,89117,8200,43911,5295,25581,4211,16740,2449,1590,604,45206,4883,22061,3607,21286,2552,1859,621,372705,17360,182683,9927,83820,6392,88179,6059,10684,1458,190022,10852,85038,7545,93779,6407,11205,1502,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
