GEO_ID,B23024_001E,B23024_001M,B23024_002E,B23024_002M,B23024_003E,B23024_003M,B23024_004E,B23024_004M,B23024_005E,B23024_005M,B23024_006E,B23024_006M,B23024_007E,B23024_007M,B23024_008E,B23024_008M,B23024_009E,B23024_009M,B23024_010E,B23024_010M,B23024_011E,B23024_011M,B23024_012E,B23024_012M,B23024_013E,B23024_013M,B23024_014E,B23024_014M,B23024_015E,B23024_015M,B23024_016E,B23024_016M,B23024_017E,B23024_017M,B23024_018E,B23024_018M,B23024_019E,B23024_019M,B23024_020E,B23024_020M,B23024_021E,B23024_021M,B23024_022E,B23024_022M,B23024_023E,B23024_023M,B23024_024E,B23024_024M,B23024_025E,B23024_025M,B23024_026E,B23024_026M,B23024_027E,B23024_027M,B23024_028E,B23024_028M,B23024_029E,B23024_029M,B23024_030E,B23024_030M,B23024_031E,B23024_031M,NAME,B23024_001MA,B23024_001EA,B23024_002MA,B23024_002EA,B23024_003EA,B23024_003MA,B23024_004MA,B23024_004EA,B23024_005MA,B23024_005EA,B23024_006MA,B23024_006EA,B23024_007EA,B23024_007MA,B23024_008EA,B23024_008MA,B23024_009MA,B23024_009EA,B23024_010MA,B23024_010EA,B23024_011MA,B23024_011EA,B23024_012MA,B23024_012EA,B23024_013EA,B23024_013MA,B23024_014EA,B23024_014MA,B23024_015MA,B23024_015EA,B23024_016MA,B23024_016EA,B23024_017MA,B23024_017EA,B23024_018EA,B23024_018MA,B23024_019EA,B23024_019MA,B23024_020MA,B23024_020EA,B23024_021MA,B23024_021EA,B23024_022MA,B23024_022EA,B23024_023EA,B23024_023MA,B23024_024EA,B23024_024MA,B23024_025EA,B23024_025MA,B23024_026MA,B23024_026EA,B23024_027EA,B23024_027MA,B23024_028EA,B23024_028MA,B23024_029EA,B23024_029MA,B23024_030EA,B23024_030MA,B23024_031MA,B23024_031EA,state
0400000US01,2798677,5496,496147,14733,128865,5936,25309,3028,0,189,25309,3028,14122,2305,11187,1770,103556,4852,367282,12815,209310,8306,7,14,209303,8307,153689,6640,55614,4026,157972,7238,2302530,15951,285877,8854,111782,6473,614,461,111168,6428,98890,6122,12278,1971,174095,6383,2016653,17266,1684301,15692,10452,1826,1673849,16192,1590006,15712,83843,5211,332352,9673,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,446775,2340,45473,3621,8336,1381,1887,596,0,145,1887,596,588,242,1299,552,6449,1186,37137,3275,21774,2441,260,261,21514,2484,15237,2245,6277,1149,15363,2212,401302,4559,36492,2652,21055,1911,894,529,20161,1836,17585,1822,2576,746,15437,1770,364810,4996,314297,5580,10487,1553,303810,5611,288989,5680,14821,1758,50513,3231,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3763083,4271,647494,16422,113363,6507,24744,2077,52,93,24692,2080,14575,1602,10117,1534,88619,5833,534131,15302,305059,11392,328,255,304731,11388,235649,10253,69082,4484,229072,9974,3115589,16716,287680,8382,133430,5537,677,380,132753,5576,117358,5238,15395,1884,154250,6922,2827909,17648,2372222,18424,11236,1645,2360986,18714,2248070,20112,112916,5608,455687,9882,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1673616,4443,293068,9794,76366,4186,14869,1843,0,190,14869,1843,9083,1568,5786,1078,61497,3769,216702,8591,126529,6790,62,68,126467,6779,100022,6473,26445,2472,90173,5354,1380548,10028,179933,6307,73752,3811,0,190,73752,3811,66324,3516,7428,1439,106181,5287,1200615,10923,1016717,11505,2946,745,1013771,11429,975258,11393,38513,3200,183898,6351,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23211658,6755,3459537,37762,528442,12807,128814,6000,166,201,128648,5954,78880,4349,49768,3773,399628,10821,2931095,36008,1668044,26028,1649,523,1666395,26065,1255797,22876,410598,11844,1263051,21430,19752121,39239,1426865,19082,659073,12265,2585,1018,656488,12165,579174,11472,77314,4096,767792,15462,18325256,42115,15390112,38426,69915,5232,15320197,38112,14448416,38186,871781,16157,2935144,29357,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3233292,4005,369522,12108,69541,5085,19400,2718,0,192,19400,2718,13319,2300,6081,1389,50141,4019,299981,10278,181900,8145,203,200,181697,8161,150064,7403,31633,2903,118081,6065,2863770,12514,223661,8004,123006,5396,988,450,122018,5374,109466,5089,12552,2229,100655,5454,2640109,13460,2296455,14873,18431,2337,2278024,15169,2200240,15263,77784,5072,343654,7577,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2110160,3005,208286,9073,44450,3502,10972,1797,0,197,10972,1797,6061,1383,4911,1262,33478,2820,163836,7920,98046,4984,26,45,98020,4980,68298,4005,29722,3085,65790,5233,1901874,9139,139592,6188,75983,5069,29,50,75954,5075,68239,4727,7715,1302,63609,3645,1762282,11396,1556162,12110,5104,1216,1551058,12054,1466155,12019,84903,4247,206120,6757,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,539884,1592,63895,4631,12743,1686,2825,830,0,185,2825,830,1579,670,1246,480,9918,1592,51152,4038,28743,2924,77,94,28666,2911,21724,2311,6942,1601,22409,2338,475989,5043,41665,3966,19929,2417,241,305,19688,2396,17967,2302,1721,549,21736,2745,434324,5640,375689,6228,2108,566,373581,6142,357032,6155,16549,2207,58635,3589,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,428922,1608,67420,4896,17637,2777,4620,1342,42,71,4578,1339,1872,638,2706,1071,13017,2151,49783,3980,27472,3386,0,198,27472,3386,18248,2538,9224,1715,22311,2833,361502,5065,24810,2508,13472,1801,0,198,13472,1801,11262,1539,2210,632,11338,1797,336692,4939,305411,5149,1805,503,303606,5174,287205,5199,16401,2322,31281,2742,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11335789,9803,1770254,35641,327254,12851,69407,4900,0,214,69407,4900,36508,3174,32899,3716,257847,11758,1443000,29765,843883,22071,357,327,843526,22018,629444,17887,214082,10183,599117,15804,9565535,34821,839328,16975,362518,11059,1161,524,361357,10985,317694,10001,43663,3865,476810,11412,8726207,35275,7394027,35699,33856,3291,7360171,35878,6992782,35572,367389,12650,1332180,20083,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
