GEO_ID,B05003C_001E,B05003C_001M,B05003C_002E,B05003C_002M,B05003C_003E,B05003C_003M,B05003C_004E,B05003C_004M,B05003C_005E,B05003C_005M,B05003C_006E,B05003C_006M,B05003C_007E,B05003C_007M,B05003C_008E,B05003C_008M,B05003C_009E,B05003C_009M,B05003C_010E,B05003C_010M,B05003C_011E,B05003C_011M,B05003C_012E,B05003C_012M,B05003C_013E,B05003C_013M,B05003C_014E,B05003C_014M,B05003C_015E,B05003C_015M,B05003C_016E,B05003C_016M,B05003C_017E,B05003C_017M,B05003C_018E,B05003C_018M,B05003C_019E,B05003C_019M,B05003C_020E,B05003C_020M,B05003C_021E,B05003C_021M,B05003C_022E,B05003C_022M,B05003C_023E,B05003C_023M,NAME,B05003C_001EA,B05003C_001MA,B05003C_002MA,B05003C_002EA,B05003C_003EA,B05003C_003MA,B05003C_004EA,B05003C_004MA,B05003C_005MA,B05003C_005EA,B05003C_006EA,B05003C_006MA,B05003C_007MA,B05003C_007EA,B05003C_008EA,B05003C_008MA,B05003C_009EA,B05003C_009MA,B05003C_010MA,B05003C_010EA,B05003C_011EA,B05003C_011MA,B05003C_012EA,B05003C_012MA,B05003C_013MA,B05003C_013EA,B05003C_014EA,B05003C_014MA,B05003C_015MA,B05003C_015EA,B05003C_016EA,B05003C_016MA,B05003C_017EA,B05003C_017MA,B05003C_018MA,B05003C_018EA,B05003C_019EA,B05003C_019MA,B05003C_020MA,B05003C_020EA,B05003C_021MA,B05003C_021EA,B05003C_022EA,B05003C_022MA,B05003C_023EA,B05003C_023MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,294757,5954,144095,3848,47660,2122,47397,2140,263,251,81,129,182,208,96435,2859,94173,2766,2262,853,784,623,1478,566,150662,3903,43681,2292,43488,2284,193,215,0,200,193,215,106981,2834,104727,2759,2254,756,762,402,1492,596,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,286631,13165,143915,7835,33360,3156,32589,3137,771,728,118,112,653,721,110555,6302,86227,5619,24328,3563,7489,1395,16839,3191,142716,7210,33928,3187,32746,3150,1182,772,207,207,975,720,108788,5529,89253,5231,19535,2802,6517,1610,13018,2108,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,55784,5557,26979,3174,8914,1798,8876,1791,38,65,38,65,0,192,18065,2203,16909,2013,1156,875,273,291,883,641,28805,3151,7425,1691,7332,1672,93,147,93,147,0,192,21380,2017,20855,1982,525,288,342,246,183,156,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,53014,5155,27497,2833,5648,1203,5329,1145,319,290,140,183,179,228,21849,2348,17177,1924,4672,1694,1619,727,3053,1291,25517,3125,6247,1324,5848,1341,399,398,256,350,143,189,19270,2399,15885,2009,3385,1387,1842,701,1543,992,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
