GEO_ID,B05003D_001E,B05003D_001M,B05003D_002E,B05003D_002M,B05003D_003E,B05003D_003M,B05003D_004E,B05003D_004M,B05003D_005E,B05003D_005M,B05003D_006E,B05003D_006M,B05003D_007E,B05003D_007M,B05003D_008E,B05003D_008M,B05003D_009E,B05003D_009M,B05003D_010E,B05003D_010M,B05003D_011E,B05003D_011M,B05003D_012E,B05003D_012M,B05003D_013E,B05003D_013M,B05003D_014E,B05003D_014M,B05003D_015E,B05003D_015M,B05003D_016E,B05003D_016M,B05003D_017E,B05003D_017M,B05003D_018E,B05003D_018M,B05003D_019E,B05003D_019M,B05003D_020E,B05003D_020M,B05003D_021E,B05003D_021M,B05003D_022E,B05003D_022M,B05003D_023E,B05003D_023M,NAME,B05003D_001MA,B05003D_001EA,B05003D_002EA,B05003D_002MA,B05003D_003EA,B05003D_003MA,B05003D_004EA,B05003D_004MA,B05003D_005MA,B05003D_005EA,B05003D_006MA,B05003D_006EA,B05003D_007EA,B05003D_007MA,B05003D_008EA,B05003D_008MA,B05003D_009EA,B05003D_009MA,B05003D_010MA,B05003D_010EA,B05003D_011MA,B05003D_011EA,B05003D_012MA,B05003D_012EA,B05003D_013EA,B05003D_013MA,B05003D_014EA,B05003D_014MA,B05003D_015EA,B05003D_015MA,B05003D_016MA,B05003D_016EA,B05003D_017MA,B05003D_017EA,B05003D_018EA,B05003D_018MA,B05003D_019EA,B05003D_019MA,B05003D_020EA,B05003D_020MA,B05003D_021MA,B05003D_021EA,B05003D_022MA,B05003D_022EA,B05003D_023MA,B05003D_023EA,state
0400000US01,58456,3055,27165,2160,6395,1178,4268,1130,2127,560,526,293,1601,565,20770,1805,4665,1289,16105,1800,6650,1181,9455,1668,31291,1952,6261,1097,4296,950,1965,802,841,503,1124,639,25030,1420,3373,1129,21657,1365,10425,1541,11232,1531,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43915,2139,21122,1339,5513,957,4355,819,1158,746,302,161,856,756,15609,953,3869,843,11740,985,7760,934,3980,935,22793,1279,4864,881,4262,853,602,359,223,157,379,307,17929,789,4025,862,13904,865,8846,1017,5058,968,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,212116,4644,97513,3129,23167,1855,17652,2065,5515,1378,996,529,4519,1340,74346,2297,15567,2080,58779,2381,30207,2029,28572,2434,114603,2854,24164,1855,17781,2057,6383,1297,2392,794,3991,1094,90439,1961,15807,1886,74632,2669,42007,2537,32625,2955,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36555,2279,17770,1260,5208,861,3915,753,1293,596,225,213,1068,568,12562,943,2239,558,10323,989,5919,1030,4404,852,18785,1612,3221,761,2293,627,928,484,646,379,282,221,15564,1295,1982,649,13582,1289,7597,1117,5985,1076,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5398090,18287,2555182,9672,521949,6478,443713,7198,78236,4293,22843,2715,55393,4293,2033233,5956,552740,9508,1480493,9895,976443,12327,504050,11664,2842908,10871,494974,6788,420141,8158,74833,5426,23508,2329,51325,4440,2347934,7174,544079,9898,1803855,10827,1211125,11492,592730,12302,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,157958,4063,71631,2607,17097,1742,12957,1542,4140,1181,1771,757,2369,949,54534,1518,13179,1667,41355,1648,21348,1747,20007,1874,86327,2560,18296,1517,11932,1521,6364,1096,4041,1086,2323,822,68031,1902,16096,1753,51935,2056,29947,2161,21988,2161,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,151402,3740,70968,2262,15946,1472,11760,1486,4186,954,1471,527,2715,811,55022,1569,8156,1319,46866,1679,21479,1854,25387,1975,80434,2406,16715,1346,10933,1276,5782,1083,1582,585,4200,904,63719,1894,11481,1656,52238,2094,26224,1842,26014,2124,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36172,888,17255,826,3716,545,2934,648,782,492,422,403,360,322,13539,684,1968,574,11571,845,4657,931,6914,1110,18917,658,4410,444,2488,768,1922,789,500,422,1422,803,14507,560,1508,523,12999,716,6053,831,6946,1005,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24910,1142,10181,871,1128,566,879,493,249,281,152,250,97,154,9053,566,4313,753,4740,867,1626,651,3114,776,14729,703,1189,472,758,437,431,331,334,310,97,155,13540,518,5040,1044,8500,999,4199,836,4301,860,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,524583,7659,240407,4569,49544,3090,40514,3177,9030,1473,3193,997,5837,1194,190863,2716,35544,3284,155319,3987,97279,3985,58040,3935,284176,5575,50826,3398,37990,3123,12836,1693,6872,1432,5964,1340,233350,3474,33875,2984,199475,4074,125187,4826,74288,4839,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
