GEO_ID,B25043_001E,B25043_001M,B25043_002E,B25043_002M,B25043_003E,B25043_003M,B25043_004E,B25043_004M,B25043_005E,B25043_005M,B25043_006E,B25043_006M,B25043_007E,B25043_007M,B25043_008E,B25043_008M,B25043_009E,B25043_009M,B25043_010E,B25043_010M,B25043_011E,B25043_011M,B25043_012E,B25043_012M,B25043_013E,B25043_013M,B25043_014E,B25043_014M,B25043_015E,B25043_015M,B25043_016E,B25043_016M,B25043_017E,B25043_017M,B25043_018E,B25043_018M,B25043_019E,B25043_019M,NAME,B25043_001EA,B25043_001MA,B25043_002EA,B25043_002MA,B25043_003EA,B25043_003MA,B25043_004MA,B25043_004EA,B25043_005MA,B25043_005EA,B25043_006MA,B25043_006EA,B25043_007MA,B25043_007EA,B25043_008EA,B25043_008MA,B25043_009EA,B25043_009MA,B25043_010MA,B25043_010EA,B25043_011MA,B25043_011EA,B25043_012MA,B25043_012EA,B25043_013EA,B25043_013MA,B25043_014EA,B25043_014MA,B25043_015MA,B25043_015EA,B25043_016MA,B25043_016EA,B25043_017EA,B25043_017MA,B25043_018EA,B25043_018MA,B25043_019EA,B25043_019MA,state
0400000US01,1841217,10615,1246080,12085,1224482,11774,120886,5196,714560,9083,389036,4454,21598,1797,2843,822,14086,1587,4669,962,595137,11423,568012,11419,205304,7526,286873,7886,75835,4040,27125,2827,9737,1675,14260,1976,3128,836,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,249659,2978,156006,4250,153956,4246,19227,1992,101296,3140,33433,1555,2050,515,249,152,1409,402,392,231,93653,4082,90969,4010,40296,2681,43667,2653,7006,1186,2684,838,1164,651,1355,511,165,143,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2428743,11353,1484857,11801,1457143,11614,138940,5429,803334,9375,514869,5816,27714,1985,4429,777,14728,1578,8557,1162,943886,14175,909878,14028,324622,8108,466088,11180,119168,4726,34008,2655,12124,1548,16866,1888,5018,1144,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1131288,8373,744318,10448,729622,9881,79845,4200,414236,6593,235541,4722,14696,1768,2114,553,9170,1372,3412,778,386970,9803,371251,10189,137426,6756,184953,6460,48872,3701,15719,2351,4886,1082,8856,1736,1977,610,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12758648,18835,6855688,27608,6773697,26912,533858,11119,4193207,23204,2046632,11727,81991,4128,12826,1549,53087,3434,16078,1855,5902960,28154,5719989,28885,1794327,19328,3185696,22632,739966,11243,182971,6135,61569,4060,93730,4495,27672,2595,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2039592,7530,1302533,10820,1284084,10578,142545,4980,810222,8377,331317,4373,18449,1511,4085,848,11952,1360,2412,633,737059,11315,712727,11430,298077,7655,332790,8814,81860,3701,24332,2649,10827,1672,10465,1608,3040,824,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1355817,6673,900039,8072,892688,7968,61184,3682,573806,6142,257698,4609,7351,1465,1142,484,5321,1267,888,383,455778,8159,442366,8471,131472,5421,232147,6464,78747,3814,13412,1688,3904,988,7183,1259,2325,767,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,349743,3705,245808,4425,242389,4558,22644,2026,141826,3608,77919,2079,3419,733,264,180,2675,680,480,282,103935,3908,100020,4059,34779,2433,51784,3228,13457,1596,3915,1088,1082,645,2312,783,521,408,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,277378,3304,112492,3641,111051,3590,13669,1377,65101,3096,32281,1797,1441,542,442,390,856,397,143,142,164886,4965,159762,4797,67569,3101,74716,3381,17477,1783,5124,1108,2011,657,2551,833,562,424,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7328046,25793,4693821,26616,4602523,26041,306598,8633,2494847,23169,1801078,12572,91298,4594,10146,1695,57170,3619,23982,2157,2634225,22450,2511718,21992,783420,12753,1348228,16122,380070,7702,122507,5704,38670,3133,65229,4296,18608,2340,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
