GEO_ID,B24041_001E,B24041_001M,B24041_002E,B24041_002M,B24041_003E,B24041_003M,B24041_004E,B24041_004M,B24041_005E,B24041_005M,B24041_006E,B24041_006M,B24041_007E,B24041_007M,B24041_008E,B24041_008M,B24041_009E,B24041_009M,B24041_010E,B24041_010M,B24041_011E,B24041_011M,B24041_012E,B24041_012M,B24041_013E,B24041_013M,B24041_014E,B24041_014M,B24041_015E,B24041_015M,B24041_016E,B24041_016M,B24041_017E,B24041_017M,B24041_018E,B24041_018M,B24041_019E,B24041_019M,B24041_020E,B24041_020M,B24041_021E,B24041_021M,B24041_022E,B24041_022M,B24041_023E,B24041_023M,B24041_024E,B24041_024M,B24041_025E,B24041_025M,B24041_026E,B24041_026M,B24041_027E,B24041_027M,NAME,B24041_001EA,B24041_001MA,B24041_002MA,B24041_002EA,B24041_003MA,B24041_003EA,B24041_004EA,B24041_004MA,B24041_005EA,B24041_005MA,B24041_006EA,B24041_006MA,B24041_007MA,B24041_007EA,B24041_008MA,B24041_008EA,B24041_009EA,B24041_009MA,B24041_010MA,B24041_010EA,B24041_011EA,B24041_011MA,B24041_012EA,B24041_012MA,B24041_013MA,B24041_013EA,B24041_014EA,B24041_014MA,B24041_015MA,B24041_015EA,B24041_016EA,B24041_016MA,B24041_017EA,B24041_017MA,B24041_018MA,B24041_018EA,B24041_019MA,B24041_019EA,B24041_020EA,B24041_020MA,B24041_021MA,B24041_021EA,B24041_022EA,B24041_022MA,B24041_023EA,B24041_023MA,B24041_024MA,B24041_024EA,B24041_025EA,B24041_025MA,B24041_026MA,B24041_026EA,B24041_027EA,B24041_027MA,state
0400000US01,38620,634,41991,5665,33322,4034,70191,11129,34578,2059,40455,764,40926,1210,28478,1446,50260,1590,45620,2939,60399,4499,40816,1780,41494,998,42498,2073,36264,3887,46430,2159,61810,2186,29150,108128,28711,1910,40344,594,43494,1567,36794,858,21492,752,26548,2452,20827,906,31422,825,47087,1614,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,53345,2461,81467,11210,52345,12971,100856,14890,67054,4770,42594,8691,48345,5839,36166,2585,59009,4210,55327,3874,75654,6951,61255,3980,56385,5917,56171,8880,56623,9848,61020,3455,62721,3933,103413,52906,45120,12862,52426,4091,61296,1965,47727,3926,27203,2165,41434,12412,26269,1714,37427,6912,60972,1656,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40901,263,44641,4723,30426,1720,62996,5549,39233,1496,53870,3380,45173,3670,32158,479,46838,2451,42307,1774,62459,5303,50709,1503,48422,1647,49340,1577,44402,4107,41385,944,61503,1507,75448,17732,28223,1644,40818,544,40896,654,40737,831,25433,1035,35231,2396,22738,1652,30457,1253,50780,883,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,35835,441,34062,3535,31624,1131,45901,12706,33298,2502,36187,884,40697,3008,31982,955,50571,1139,49582,2485,52339,6972,50524,3365,40322,1843,41804,2334,33578,4134,38219,3414,51206,3451,61389,24682,26357,1169,36158,896,40720,956,32252,1362,20472,1237,27855,4460,19403,1447,29419,2377,37533,1678,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,47338,185,27525,1091,25756,666,71489,2456,45083,1398,50271,440,46287,881,35387,363,50542,404,45653,722,81189,1402,76000,1474,58451,2230,63188,2468,48589,1594,58263,1723,80846,556,61770,12842,31035,441,50771,305,56173,618,47008,545,27873,859,40918,938,24950,447,32161,418,67150,885,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,46787,382,54237,4921,31859,536,73814,4480,41907,845,52162,1844,54943,3225,35584,707,52936,1824,51054,1737,61506,1520,65647,2416,53612,2685,57144,2533,49221,3405,60671,1026,75369,1562,69379,19113,35521,1746,45593,595,46102,873,45077,1835,29646,2200,37294,3958,26000,987,34742,1814,56852,1786,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56466,724,40989,14209,35625,16441,83854,163986,51586,913,62192,1938,53273,5428,40930,885,56977,1924,52375,2888,87643,7316,70395,4251,81382,2258,89374,4280,55060,5907,66499,2036,80532,4173,131641,39760,39289,3645,54817,1887,62146,1107,49298,2608,34251,2989,41927,2560,31060,1169,40313,2111,69821,2635,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,46652,1017,42534,12435,40072,15677,90174,51989,45298,5191,52260,2962,42460,5544,31232,1874,56949,4321,54443,5017,70625,15415,51669,18116,56461,3084,57753,3342,50963,3039,54264,5509,71159,4668,166591,212148,32203,6415,46676,1464,50515,1533,42693,4249,27196,2767,29822,7455,26094,2382,35597,2528,49499,4275,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65595,2525,76715,110070,-666666666,-222222222,-666666666,-222222222,40880,2790,62213,19289,86698,27619,31150,2218,49505,4801,46732,9828,70925,7450,75640,9280,71632,12874,100864,9633,50269,6420,77056,3589,83357,6764,60833,90195,36039,2159,52214,3296,58745,4539,47437,5224,39771,3440,48337,4470,36109,4854,65111,3959,90795,4031,District of Columbia,null,null,null,null,**,-,-,**,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,37434,249,23997,2576,22411,1716,60616,6295,33597,1416,42235,1081,42238,1126,30804,340,43276,2154,41437,714,53416,4049,50695,1111,46580,898,50568,628,38652,1839,41250,440,54834,1728,56716,9529,29169,1117,39606,568,41086,328,37165,435,26239,412,33202,2662,24473,621,28771,1545,48212,1383,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
