GEO_ID,B13008_001E,B13008_001M,B13008_002E,B13008_002M,B13008_003E,B13008_003M,B13008_004E,B13008_004M,B13008_005E,B13008_005M,B13008_006E,B13008_006M,B13008_007E,B13008_007M,B13008_008E,B13008_008M,B13008_009E,B13008_009M,B13008_010E,B13008_010M,B13008_011E,B13008_011M,B13008_012E,B13008_012M,B13008_013E,B13008_013M,B13008_014E,B13008_014M,B13008_015E,B13008_015M,NAME,B13008_001MA,B13008_001EA,B13008_002MA,B13008_002EA,B13008_003EA,B13008_003MA,B13008_004MA,B13008_004EA,B13008_005MA,B13008_005EA,B13008_006MA,B13008_006EA,B13008_007EA,B13008_007MA,B13008_008EA,B13008_008MA,B13008_009EA,B13008_009MA,B13008_010MA,B13008_010EA,B13008_011MA,B13008_011EA,B13008_012EA,B13008_012MA,B13008_013EA,B13008_013MA,B13008_014EA,B13008_014MA,B13008_015MA,B13008_015EA,state
0400000US01,1156187,3545,58890,3917,34294,2949,30455,2807,3839,1028,24596,2602,24040,2590,556,465,1097297,5019,476064,8437,449532,8142,26532,2635,621233,9000,603820,8707,17413,2344,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175566,2091,11703,1683,8861,1436,7519,1256,1342,717,2842,738,2685,720,157,142,163863,2186,73430,2880,63751,2677,9679,1258,90433,3278,85755,3210,4678,1170,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1557582,3804,82774,5252,48818,3713,36692,3066,12126,1662,33956,3859,29933,3549,4023,1231,1474808,6739,619095,10355,456167,9203,162928,5628,855713,11367,756207,11342,99506,5498,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,693987,4287,40479,3024,24304,2384,21317,2298,2987,914,16175,1878,15561,1952,614,381,653508,5495,304283,6295,275113,6731,29170,3032,349225,7365,332699,7353,16526,2738,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9650839,9573,472565,12298,317441,9911,190870,7953,126571,5200,155124,6328,115336,5603,39788,4137,9178274,15539,3856805,23204,2088210,19488,1768595,16336,5321469,23016,4198363,24248,1123106,20580,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1293015,3873,70525,5389,47600,3415,38880,3227,8720,1468,22925,3095,19439,2453,3486,1528,1222490,6526,567411,9201,458918,8501,108493,4443,655079,9155,597212,9415,57867,4241,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,850651,2832,42104,3708,27833,2632,20202,2568,7631,1324,14271,2155,12610,2096,1661,735,808547,4557,319799,6249,243603,5826,76196,3748,488748,6817,434535,7085,54213,3392,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219746,1678,10944,1357,6749,1181,5202,980,1547,697,4195,832,3928,764,267,274,208802,2051,81731,3251,68167,3214,13564,1388,127071,3282,118118,3210,8953,1757,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,200589,967,9901,1790,5096,1047,3674,850,1422,724,4805,1414,4168,1250,637,542,190688,1928,47197,2702,34917,2514,12280,1499,143491,3274,126892,3624,16599,1995,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4516605,7757,213196,8030,125409,5442,84363,4883,41046,3229,87787,5673,68968,4788,18819,2978,4303409,12091,1734480,17214,1177135,15229,557345,12499,2568929,17826,2109013,15931,459916,12605,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2545136,7487,136418,7094,82517,5506,66696,4879,15821,2535,53901,4076,48112,3859,5789,1377,2408718,10454,1018168,12109,825308,11376,192860,6408,1390550,12447,1267366,12083,123184,7661,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,321300,1865,20432,2193,13967,1768,10093,1594,3874,1099,6465,1436,5479,1325,986,479,300868,2754,135172,3864,92545,3774,42627,3038,165696,4162,141995,4305,23701,2387,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,375500,3096,21912,1927,16545,1709,15022,1739,1523,659,5367,1172,5317,1168,50,65,353588,3771,175959,5636,155854,5427,20105,2507,177629,6185,167547,5962,10082,2030,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3128287,5256,152835,5277,100527,4466,74951,3693,25576,2882,52308,3395,46375,3086,5933,1388,2975452,7438,1236095,12985,910664,12313,325431,7286,1739357,14129,1563781,14235,175576,7492,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1562984,5569,85078,4894,51070,3488,45152,3219,5918,1426,34008,3241,32409,3151,1599,736,1477906,7430,644637,8755,586689,8228,57948,3603,833269,10252,794026,10264,39243,3841,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,701873,3201,42728,2959,28029,2532,24444,2226,3585,1154,14699,1802,13621,1739,1078,617,659145,4134,312064,5656,282577,5089,29487,1967,347081,5896,330831,5624,16250,2040,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,664008,3589,37641,2748,25553,2132,21274,1941,4279,958,12088,1816,11561,1769,527,331,626367,4406,297451,6049,259943,5840,37508,3009,328916,7420,304075,7146,24841,2687,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
