GEO_ID,B25032G_001E,B25032G_001M,B25032G_002E,B25032G_002M,B25032G_003E,B25032G_003M,B25032G_004E,B25032G_004M,B25032G_005E,B25032G_005M,B25032G_006E,B25032G_006M,B25032G_007E,B25032G_007M,B25032G_008E,B25032G_008M,B25032G_009E,B25032G_009M,B25032G_010E,B25032G_010M,B25032G_011E,B25032G_011M,NAME,B25032G_001EA,B25032G_001MA,B25032G_002MA,B25032G_002EA,B25032G_003MA,B25032G_003EA,B25032G_004MA,B25032G_004EA,B25032G_005MA,B25032G_005EA,B25032G_006EA,B25032G_006MA,B25032G_007EA,B25032G_007MA,B25032G_008EA,B25032G_008MA,B25032G_009EA,B25032G_009MA,B25032G_010MA,B25032G_010EA,B25032G_011EA,B25032G_011MA,state
0400000US01,19730,2114,12672,1685,389,261,296,236,397,275,712,532,863,516,913,502,382,361,2997,689,109,157,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11527,1271,4332,866,1473,573,882,451,1305,498,939,564,790,430,934,518,270,175,602,485,0,145,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,46633,3886,29308,2802,2262,669,558,347,1841,679,2619,981,2415,797,1006,546,2092,569,4523,1026,9,17,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16768,1945,11463,1329,427,302,447,333,280,275,477,387,1200,861,245,256,413,419,1816,731,0,190,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,392951,7397,200238,5686,30829,2546,11017,1709,27845,2729,32394,2920,23881,2997,24661,2772,30023,2535,11191,1600,872,613,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47041,3487,23390,2374,3555,895,700,416,2533,970,3554,824,4315,1183,3862,1044,3115,977,2017,691,0,192,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,22639,2169,9294,1290,1347,724,2582,787,3420,1110,1982,776,1403,667,1223,636,1335,517,53,94,0,197,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5635,1077,548,281,946,382,211,170,513,353,362,255,925,484,662,422,1468,517,0,198,0,198,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,105762,6589,52346,3397,8585,1591,3620,894,6321,1388,8058,1747,8952,1888,6281,1572,5968,1108,5422,1113,209,299,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,44389,3407,27873,2624,1472,538,1763,744,1853,727,3525,1045,2200,716,891,585,1935,805,2877,899,0,211,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,70700,3663,42111,2774,4985,1000,1422,580,3215,896,4119,1277,4506,1288,2648,620,7615,1335,79,90,0,181,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8891,1233,5932,1158,620,414,289,289,706,438,25,39,334,287,379,334,121,125,485,251,0,190,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,61086,3672,28622,2438,4018,912,4707,858,5072,864,6092,1260,4082,1023,2221,746,4984,1171,1192,525,96,125,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,30811,2805,18028,2125,1413,588,1545,665,2054,750,2650,922,1297,527,1083,463,534,263,2207,760,0,187,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,12141,1606,6789,1287,817,551,231,218,403,267,809,541,1350,668,1155,599,479,402,108,144,0,155,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,21404,2058,12647,1704,1412,624,1021,581,1176,467,1274,833,1529,635,633,347,703,371,1009,449,0,168,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19860,2186,12103,1592,328,182,397,339,1169,475,1996,728,1647,862,505,354,268,337,1447,574,0,185,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,17192,2100,9791,1465,571,285,837,393,811,438,794,465,845,544,568,364,357,242,2213,865,405,300,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8077,1084,3896,834,339,293,755,408,972,624,550,269,448,275,337,378,42,71,687,388,51,87,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,40681,2976,18866,2131,8788,1394,777,435,1508,633,2568,782,4266,1081,470,314,2605,735,833,406,0,193,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,46639,3268,12297,1778,3191,897,6306,1367,9554,1768,4954,1213,2793,820,3146,967,3544,864,854,694,0,198,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,57210,3591,36616,2523,2430,619,1440,437,2342,798,3717,845,3842,1001,1994,591,1851,570,2896,747,82,113,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,28339,2342,13696,1653,2885,809,1114,412,1061,532,1363,605,1561,529,1946,753,3652,1011,1021,473,40,44,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,8008,1684,5294,1320,223,211,255,217,32,39,443,341,319,364,555,507,87,113,800,406,0,206,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
