GEO_ID,B13002H_001E,B13002H_001M,B13002H_002E,B13002H_002M,B13002H_003E,B13002H_003M,B13002H_004E,B13002H_004M,B13002H_005E,B13002H_005M,B13002H_006E,B13002H_006M,B13002H_007E,B13002H_007M,NAME,B13002H_001EA,B13002H_001MA,B13002H_002EA,B13002H_002MA,B13002H_003EA,B13002H_003MA,B13002H_004MA,B13002H_004EA,B13002H_005MA,B13002H_005EA,B13002H_006EA,B13002H_006MA,B13002H_007EA,B13002H_007MA,state
0400000US01,721594,2349,34796,3150,24817,2532,9979,1825,686798,3857,351085,5823,335713,6337,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,104285,938,6049,1137,5150,1089,899,308,98236,1331,47979,2527,50257,2646,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,773040,2197,36661,3300,25910,2471,10751,2327,736379,4316,328835,7247,407544,8377,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,483262,2122,26514,2502,18262,2124,8252,1408,456748,3311,231971,5523,224777,5786,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3202420,5636,135423,6374,105634,5744,29789,2915,3066997,8308,1322846,12342,1744151,12826,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,854821,2639,41575,3454,32112,2818,9463,1628,813246,4534,386482,6817,426764,6698,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,535817,2320,23088,2791,17019,2260,6069,1549,512729,3665,219343,4643,293386,5059,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,129502,1183,5940,1042,4322,806,1618,596,123562,1626,50831,2600,72731,2560,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,80385,293,3997,1224,2826,782,1171,860,76388,1253,21027,1468,55361,1945,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2171091,5266,91905,5261,61862,3932,30043,3137,2079186,6903,891417,12533,1187769,12150,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1261667,4462,65962,4880,49610,4007,16352,2414,1195705,7055,598020,8678,597685,9414,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,65635,937,4732,1047,3808,859,924,545,60903,1397,32016,2006,28887,1966,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,302401,1805,17488,1863,13289,1744,4199,980,284913,2450,142884,4817,142029,5397,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1817549,2902,81812,4170,63980,3777,17832,2007,1735737,5102,788989,9644,946748,9991,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1217496,3417,63018,3952,41393,3096,21625,2441,1154478,5700,534325,7646,620153,9137,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,598299,1929,34691,2478,23826,2270,10865,1460,563608,2964,270828,4999,292780,4756,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,493609,1816,25860,2452,19060,2041,6800,1392,467749,2996,231029,5323,236720,5715,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,872358,2813,49057,3061,32341,2263,16716,2121,823301,4119,410033,5716,413268,6160,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,631242,2343,28914,2736,20898,2317,8016,1504,602328,3483,285085,5701,317243,5637,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,270029,1455,12099,1646,7018,1104,5081,1330,257930,2052,109857,4411,148073,4247,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,703550,2062,33168,2328,24710,2297,8458,1617,670382,3257,316699,6741,353683,6685,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1158034,3853,44283,3334,34822,2968,9461,1580,1113751,4634,453822,7662,659929,7778,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1662907,3507,83077,4499,57876,3380,25201,2421,1579830,5696,710405,9995,869425,9440,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,995576,2116,56780,3550,44082,3146,12698,1698,938796,4101,443114,5820,495682,6249,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,379814,2553,19185,2305,13926,2069,5259,1181,360629,3506,180820,5686,179809,5038,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1098763,3100,53357,2922,36517,2822,16840,2164,1045406,4423,499718,7402,545688,7888,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,188131,1082,9785,1424,7666,1343,2119,723,178346,1888,82289,2854,96057,2947,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,337608,1362,20029,2094,15015,1785,5014,1013,317579,2449,152687,3581,164892,4179,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,307197,1600,14294,1678,10456,1425,3838,987,292903,1950,130543,3917,162360,4125,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,272382,1474,13199,1530,8980,1407,4219,890,259183,2162,114487,3812,144696,4001,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1085390,2964,45682,3335,36931,2960,8751,1433,1039708,3982,478677,6308,561031,6758,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,156102,1543,8610,1464,6536,1346,2074,794,147492,2089,67105,3058,80387,3775,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2528959,4688,114771,4384,89648,4351,25123,2577,2414188,6855,1024405,9499,1389783,8787,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1446970,3509,66336,4399,49638,3934,16698,2235,1380634,5558,699312,9006,681322,9226,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,143790,979,9730,1699,7474,1698,2256,719,134060,2009,66067,2905,67993,2762,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2088332,3601,99713,4771,64776,3895,34937,3151,1988619,5681,901827,9828,1086792,10291,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,577760,1543,31786,2370,21450,1917,10336,1332,545974,2902,280366,4781,265608,4516,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,674516,1942,29832,2793,20952,2329,8880,1729,644684,3533,282407,6371,362277,6522,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2176328,3616,100603,4779,72348,3661,28255,2424,2075725,5643,948905,9935,1126820,9685,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,177164,1123,6502,1212,3702,792,2800,861,170662,1667,64778,3072,105884,3301,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,690150,2107,29005,3023,20365,2275,8640,1637,661145,3622,317080,6637,344065,6438,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,151957,1001,8475,1102,6506,1120,1969,666,143482,1541,69930,2192,73552,2215,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1127496,3410,53091,3492,35401,2652,17690,2241,1074405,4640,536263,8548,538142,7762,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,2645101,5380,133885,4903,100774,4431,33111,3423,2511216,7412,1236153,15078,1275063,14142,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,567434,1250,39706,2988,35323,2517,4383,1173,527728,3286,280856,5866,246872,5664,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,130642,658,6210,1061,4278,804,1932,765,124432,1317,53568,2084,70864,2339,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1209263,4110,62307,3922,49623,3148,12684,1891,1146956,5735,558085,7382,588871,8368,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1114429,2920,53713,3846,38954,2839,14759,2452,1060716,5187,499497,7542,561219,7541,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,377523,1909,17498,2091,10671,1570,6827,1300,360025,2852,161999,4874,198026,5137,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1048370,2224,51347,2851,36964,2502,14383,1577,997023,3662,459797,6106,537226,6756,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,108986,1329,6419,1198,4778,1063,1641,645,102567,1823,49681,2848,52886,2875,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,5090,1343,175,205,84,135,91,151,4915,1325,2132,810,2783,960,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
