GEO_ID,B17002_001E,B17002_001M,B17002_002E,B17002_002M,B17002_003E,B17002_003M,B17002_004E,B17002_004M,B17002_005E,B17002_005M,B17002_006E,B17002_006M,B17002_007E,B17002_007M,B17002_008E,B17002_008M,B17002_009E,B17002_009M,B17002_010E,B17002_010M,B17002_011E,B17002_011M,B17002_012E,B17002_012M,B17002_013E,B17002_013M,NAME,B17002_001EA,B17002_001MA,B17002_002MA,B17002_002EA,B17002_003EA,B17002_003MA,B17002_004MA,B17002_004EA,B17002_005MA,B17002_005EA,B17002_006MA,B17002_006EA,B17002_007MA,B17002_007EA,B17002_008MA,B17002_008EA,B17002_009MA,B17002_009EA,B17002_010EA,B17002_010MA,B17002_011MA,B17002_011EA,B17002_012EA,B17002_012MA,B17002_013MA,B17002_013EA,state
0400000US01,4727549,2783,390019,18009,247974,12399,272182,15053,272735,19255,251620,12794,246916,15225,87454,7778,139889,9061,832215,24187,620898,22039,453541,15944,912106,19719,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,717723,893,34387,4030,22484,4962,23756,3737,28026,4392,27046,3522,28192,3708,7900,2012,15029,2241,106795,7674,96684,7908,81473,6239,245951,7919,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6573369,3679,561138,19231,305605,16239,332318,18147,365465,18537,313650,17892,340530,18070,137653,10466,192072,12484,1153690,29231,863898,27372,611459,20103,1395891,24974,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2882856,1835,217844,11688,148116,10071,177922,10347,178366,11517,175272,10670,171770,10761,61409,6958,101085,9772,532512,17743,387314,15584,248210,13124,483036,15227,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38060228,7073,2677525,46284,1541553,35811,2040020,42407,1939577,42966,1950257,48893,1883863,38741,681635,27882,1019287,38135,5905467,72415,4429961,62737,3438313,49134,10552770,71308,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5237149,2559,287952,11728,153322,10637,189512,13501,223878,14837,211994,14776,233886,13886,86082,8318,131161,9245,855712,24516,718227,20673,581758,17511,1563665,25580,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3485629,1870,171654,10666,90353,8634,112765,9244,109327,9782,108747,8592,133453,10755,50746,7234,72223,6920,432060,16959,426106,18102,394306,13907,1383889,20481,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,909611,1367,54216,5471,27608,5007,31684,4249,30352,5043,33696,5092,37235,5145,12903,3371,22122,4453,144916,8524,135497,8519,104294,7667,275088,11551,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,624327,573,56790,6173,28234,5141,25642,4607,19848,3494,27724,5363,16342,2654,7462,3109,14609,3474,66555,5731,65454,6780,52660,5011,243007,7799,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19470210,6164,1396477,36785,826222,31489,988916,36282,1053268,33645,1086360,33191,1083850,27096,368047,20143,581080,22378,3563639,50821,2594819,53459,1813174,39988,4114358,48545,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9823859,5286,810355,25848,470937,21967,516677,23121,494361,19949,509258,22307,506859,22781,183294,13065,284823,20214,1714759,37335,1285020,33291,904562,24328,2142954,32581,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
