GEO_ID,B12002F_001E,B12002F_001M,B12002F_002E,B12002F_002M,B12002F_003E,B12002F_003M,B12002F_004E,B12002F_004M,B12002F_005E,B12002F_005M,B12002F_006E,B12002F_006M,B12002F_007E,B12002F_007M,B12002F_008E,B12002F_008M,B12002F_009E,B12002F_009M,B12002F_010E,B12002F_010M,B12002F_011E,B12002F_011M,B12002F_012E,B12002F_012M,B12002F_013E,B12002F_013M,NAME,B12002F_001EA,B12002F_001MA,B12002F_002EA,B12002F_002MA,B12002F_003MA,B12002F_003EA,B12002F_004MA,B12002F_004EA,B12002F_005MA,B12002F_005EA,B12002F_006EA,B12002F_006MA,B12002F_007EA,B12002F_007MA,B12002F_008MA,B12002F_008EA,B12002F_009MA,B12002F_009EA,B12002F_010MA,B12002F_010EA,B12002F_011EA,B12002F_011MA,B12002F_012EA,B12002F_012MA,B12002F_013EA,B12002F_013MA,state
0400000US01,43439,3869,23946,2730,11144,2257,10563,1722,482,360,33,58,1724,866,19493,2074,6706,1746,10276,1538,680,520,554,400,1277,724,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8210,1761,4602,1172,1569,788,2647,749,0,145,20,32,366,260,3608,904,1313,537,1370,601,247,325,147,154,531,390,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,321344,16071,160623,9537,77908,6748,65477,4344,4537,1423,1246,592,11455,1747,160721,8435,64059,5226,64453,4479,6631,1629,6459,1512,19119,2204,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34058,3713,18780,2625,7612,1538,8707,1369,270,241,6,14,2185,939,15278,1849,5886,1486,7893,1571,286,271,340,337,873,527,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3848464,40990,1961545,23588,946862,16643,835276,13276,47649,4403,25531,2655,106227,5928,1886919,22808,797088,15395,783195,11343,81595,6017,88538,3930,136503,5798,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,160972,9674,83309,5088,32827,3550,38657,2998,2043,660,873,429,8909,1530,77663,5675,27427,3069,36488,3357,2407,845,4386,1127,6955,1726,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,151546,9515,78592,5793,42078,4475,28641,2472,1734,885,532,363,5607,1383,72954,4915,33045,3171,23264,2257,3529,1127,4040,1035,9076,1837,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15497,2319,8271,1446,4346,937,3019,761,185,291,43,71,678,450,7226,1398,3554,1049,2830,940,45,77,160,146,637,316,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22235,3487,12493,2264,8722,1948,3406,1129,187,249,0,198,178,212,9742,1686,5482,1244,3585,1059,128,150,71,82,476,393,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,383013,19221,193348,10845,88268,6796,79078,6074,5873,2100,2434,870,17695,2772,189665,11528,67744,6602,79757,5475,7243,1754,10061,2202,24860,2853,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
