GEO_ID,B19201_001E,B19201_001M,B19201_002E,B19201_002M,B19201_003E,B19201_003M,B19201_004E,B19201_004M,B19201_005E,B19201_005M,B19201_006E,B19201_006M,B19201_007E,B19201_007M,B19201_008E,B19201_008M,B19201_009E,B19201_009M,B19201_010E,B19201_010M,B19201_011E,B19201_011M,B19201_012E,B19201_012M,B19201_013E,B19201_013M,B19201_014E,B19201_014M,B19201_015E,B19201_015M,B19201_016E,B19201_016M,B19201_017E,B19201_017M,NAME,B19201_001MA,B19201_001EA,B19201_002EA,B19201_002MA,B19201_003EA,B19201_003MA,B19201_004MA,B19201_004EA,B19201_005MA,B19201_005EA,B19201_006MA,B19201_006EA,B19201_007MA,B19201_007EA,B19201_008EA,B19201_008MA,B19201_009EA,B19201_009MA,B19201_010MA,B19201_010EA,B19201_011MA,B19201_011EA,B19201_012MA,B19201_012EA,B19201_013EA,B19201_013MA,B19201_014EA,B19201_014MA,B19201_015MA,B19201_015EA,B19201_016MA,B19201_016EA,B19201_017EA,B19201_017MA,state
0400000US01,608702,10930,110253,5189,78499,4317,68292,4174,54482,3873,44613,3136,39905,3298,30597,2958,26761,2594,23995,2456,37245,3361,38365,3138,29391,3190,12123,1667,5747,1289,4683,1083,3751,888,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,84644,3784,6011,1102,6211,1120,4815,966,5552,1217,4293,885,4006,901,4652,1172,4398,990,3741,910,6772,1258,10215,1559,8574,1124,7220,1180,3247,776,2551,642,2386,890,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,849262,12195,115104,5773,82248,3855,73299,3978,68264,4063,56517,3802,58694,3994,47934,3279,50496,3868,37769,3195,59614,3755,66200,4090,63506,4574,29425,2343,15305,1938,12070,1525,12817,1577,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,379076,9260,61946,3619,58507,4298,39347,3376,34912,3277,29623,2765,25179,2419,21390,2335,20318,2514,12452,1934,23498,2283,20117,2648,15882,2148,6705,1405,2995,882,3084,1050,3121,839,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3996589,24576,447961,10900,398488,9221,266012,8053,256888,7836,206800,6921,210805,7405,173931,5831,174040,6527,153498,6301,284828,8045,347897,10903,392859,8633,249735,7495,137123,5326,144908,5878,150816,4960,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,724309,7586,84927,4893,53917,3369,48254,2974,49466,3119,44531,3015,46995,3282,42865,3523,40109,3304,33101,2581,57823,3438,70368,4448,66309,3598,35902,2722,20956,2674,16505,1981,12281,1738,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,468554,8539,56304,3759,32903,2699,39800,3000,33366,2893,26619,2386,24322,2680,21525,2558,24325,2594,22434,2478,34667,2754,44791,2966,42668,3068,24867,2403,13936,1906,12163,1735,13864,1889,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,116743,4375,14845,1739,8261,1291,8640,1291,7686,1073,7476,1458,7647,1245,7840,1509,7140,1424,5022,1108,10055,1572,10713,1552,8368,1283,5020,1108,2550,621,3190,1114,2290,755,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,159514,3865,22872,2613,8215,1540,6246,1522,5857,1501,5028,1055,5879,1253,4610,923,7032,1358,3720,831,8948,1473,12578,1730,19705,2113,14890,1784,8762,1548,11723,1733,13449,1714,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2634635,21591,374376,10792,252808,7687,245715,8042,225279,7315,192990,7323,178474,6587,145146,6518,139164,6638,115390,5488,189359,7279,190516,7070,174880,6552,96679,5411,35802,3159,38341,3511,39716,2596,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
