C24050_077M,C24050_078E,C24050_078M,C24050_079E,C24050_079M,C24050_080E,C24050_080M,C24050_081E,C24050_081M,C24050_082E,C24050_082M,C24050_083E,C24050_083M,C24050_084E,C24050_084M,GEO_ID,C24050_001E,C24050_001M,C24050_002E,C24050_002M,C24050_003E,C24050_003M,C24050_004E,C24050_004M,C24050_005E,C24050_005M,C24050_006E,C24050_006M,C24050_007E,C24050_007M,C24050_008E,C24050_008M,C24050_009E,C24050_009M,C24050_010E,C24050_010M,C24050_011E,C24050_011M,C24050_012E,C24050_012M,C24050_013E,C24050_013M,C24050_014E,C24050_014M,C24050_015E,C24050_015M,C24050_016E,C24050_016M,C24050_017E,C24050_017M,C24050_018E,C24050_018M,C24050_019E,C24050_019M,C24050_020E,C24050_020M,C24050_021E,C24050_021M,C24050_022E,C24050_022M,C24050_023E,C24050_023M,C24050_024E,C24050_024M,C24050_025E,C24050_025M,C24050_026E,C24050_026M,C24050_027E,C24050_027M,C24050_028E,C24050_028M,C24050_029E,C24050_029M,C24050_030E,C24050_030M,C24050_031E,C24050_031M,C24050_032E,C24050_032M,C24050_033E,C24050_033M,C24050_034E,C24050_034M,C24050_035E,C24050_035M,C24050_036E,C24050_036M,C24050_037E,C24050_037M,C24050_038E,C24050_038M,C24050_039E,C24050_039M,C24050_040E,C24050_040M,C24050_041E,C24050_041M,C24050_042E,C24050_042M,C24050_043E,C24050_043M,C24050_044E,C24050_044M,C24050_045E,C24050_045M,C24050_046E,C24050_046M,C24050_047E,C24050_047M,C24050_048E,C24050_048M,C24050_049E,C24050_049M,C24050_050E,C24050_050M,C24050_051E,C24050_051M,C24050_052E,C24050_052M,C24050_053E,C24050_053M,C24050_054E,C24050_054M,C24050_055E,C24050_055M,C24050_056E,C24050_056M,C24050_057E,C24050_057M,C24050_058E,C24050_058M,C24050_059E,C24050_059M,C24050_060E,C24050_060M,C24050_061E,C24050_061M,C24050_062E,C24050_062M,C24050_063E,C24050_063M,C24050_064E,C24050_064M,C24050_065E,C24050_065M,C24050_066E,C24050_066M,C24050_067E,C24050_067M,C24050_068E,C24050_068M,C24050_069E,C24050_069M,C24050_070E,C24050_070M,C24050_071E,C24050_071M,C24050_072E,C24050_072M,C24050_073E,C24050_073M,C24050_074E,C24050_074M,C24050_075E,C24050_075M,C24050_076E,C24050_076M,C24050_077E,C24050_077MA,C24050_078MA,C24050_078EA,C24050_079EA,C24050_079MA,C24050_080MA,C24050_080EA,C24050_081MA,C24050_081EA,C24050_082MA,C24050_082EA,C24050_083EA,C24050_083MA,C24050_084EA,C24050_084MA,NAME,C24050_001MA,C24050_001EA,C24050_002EA,C24050_002MA,C24050_003MA,C24050_003EA,C24050_004MA,C24050_004EA,C24050_005MA,C24050_005EA,C24050_006MA,C24050_006EA,C24050_007EA,C24050_007MA,C24050_008EA,C24050_008MA,C24050_009MA,C24050_009EA,C24050_010MA,C24050_010EA,C24050_011MA,C24050_011EA,C24050_012MA,C24050_012EA,C24050_013EA,C24050_013MA,C24050_014MA,C24050_014EA,C24050_015MA,C24050_015EA,C24050_016MA,C24050_016EA,C24050_017MA,C24050_017EA,C24050_018EA,C24050_018MA,C24050_019EA,C24050_019MA,C24050_020MA,C24050_020EA,C24050_021EA,C24050_021MA,C24050_022MA,C24050_022EA,C24050_023MA,C24050_023EA,C24050_024EA,C24050_024MA,C24050_025MA,C24050_025EA,C24050_026MA,C24050_026EA,C24050_027MA,C24050_027EA,C24050_028MA,C24050_028EA,C24050_029EA,C24050_029MA,C24050_030EA,C24050_030MA,C24050_031MA,C24050_031EA,C24050_032MA,C24050_032EA,C24050_033EA,C24050_033MA,C24050_034EA,C24050_034MA,C24050_035MA,C24050_035EA,C24050_036EA,C24050_036MA,C24050_037MA,C24050_037EA,C24050_038MA,C24050_038EA,C24050_039EA,C24050_039MA,C24050_040EA,C24050_040MA,C24050_041EA,C24050_041MA,C24050_042MA,C24050_042EA,C24050_043MA,C24050_043EA,C24050_044EA,C24050_044MA,C24050_045EA,C24050_045MA,C24050_046MA,C24050_046EA,C24050_047MA,C24050_047EA,C24050_048MA,C24050_048EA,C24050_049MA,C24050_049EA,C24050_050EA,C24050_050MA,C24050_051MA,C24050_051EA,C24050_052EA,C24050_052MA,C24050_053MA,C24050_053EA,C24050_054MA,C24050_054EA,C24050_055EA,C24050_055MA,C24050_056MA,C24050_056EA,C24050_057EA,C24050_057MA,C24050_058MA,C24050_058EA,C24050_059MA,C24050_059EA,C24050_060MA,C24050_060EA,C24050_061MA,C24050_061EA,C24050_062EA,C24050_062MA,C24050_063EA,C24050_063MA,C24050_064MA,C24050_064EA,C24050_065MA,C24050_065EA,C24050_066MA,C24050_066EA,C24050_067MA,C24050_067EA,C24050_068EA,C24050_068MA,C24050_069MA,C24050_069EA,C24050_070MA,C24050_070EA,C24050_071MA,C24050_071EA,C24050_072MA,C24050_072EA,C24050_073EA,C24050_073MA,C24050_074EA,C24050_074MA,C24050_075MA,C24050_075EA,C24050_076EA,C24050_076MA,C24050_077EA,state
3681,1106,512,1522,539,15587,2227,12167,1851,5162,1215,11494,1843,4726,1140,0400000US01,2030482,13376,32857,3077,129365,6145,284975,8427,52985,3363,250568,9275,97390,5016,33560,3381,116374,6064,187110,6644,448085,10156,170341,5194,107220,4395,119652,6500,667732,10985,9176,1557,20472,2803,53741,3914,7689,1507,24118,2802,15097,2084,14697,1875,48113,3703,91289,4185,279256,8084,29011,2948,24532,2242,50541,3351,346739,8009,675,365,986,688,8155,1411,1229,626,9917,1764,2447,784,795,528,5230,1176,41537,3051,94793,5325,108192,4855,37760,3339,35023,3465,488811,10297,1603,595,8211,1431,28990,2405,25288,2450,178012,8063,19387,2238,13386,2466,57112,4266,33449,3413,57638,3767,26651,2461,15766,2411,23318,2190,197399,7322,14993,2046,91224,5287,23065,2547,3925,968,9903,1567,11800,1799,3576,1088,4397,1192,5248,1209,4231,1090,1325,540,17668,1997,6044,1161,329801,9561,6410,2034,8472,1788,171024,7776,14854,2122,28618,2788,48659,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1765,331,402,509,499,2793,1232,1279,555,1263,576,1568,1080,2562,1025,0400000US02,352531,5376,19628,1980,28394,2851,11402,1739,6188,1233,35716,3257,29495,2700,8279,1685,13521,1577,29287,2951,79257,3378,32309,3169,16170,2265,42885,3039,126068,4976,5758,1112,7650,1418,1836,618,1043,609,2789,729,4894,1011,3676,1074,5231,982,14855,2072,50951,3472,5891,1061,3951,1140,17543,2021,65721,4595,623,302,279,241,873,504,66,107,2535,954,1130,401,258,187,247,182,4685,1188,17518,2145,21567,2863,7082,1365,8858,1808,74123,4311,1676,545,2278,759,1269,445,2985,856,23458,2626,5280,904,2434,815,6641,1233,5201,928,8401,1378,3145,1006,1540,554,9815,1488,45538,2946,8942,1245,16452,2235,1341,608,438,257,1762,848,4690,1068,1580,763,893,462,1753,679,1108,659,443,366,2029,623,4107,1414,41081,3327,2629,773,1735,627,6083,1214,1656,846,5172,1264,13501,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
4802,756,373,4090,1015,17702,2506,14206,2105,9589,1969,14304,2619,4591,1526,0400000US04,2866629,19029,48461,4316,194865,7782,197581,7267,69288,3951,347486,9895,146114,6102,47137,3222,234020,8432,342653,9662,629834,12237,320647,10712,139494,6538,149049,5605,1006389,15876,9815,1620,32421,3009,79319,4367,11819,1437,36372,2954,22973,2248,21227,2277,104398,5626,154852,6759,402661,9709,53617,4272,23689,2608,53226,3027,574748,14707,2553,762,1204,625,3630,969,1145,723,16202,2052,3438,1099,1606,625,11658,1849,84775,5900,127176,6266,210422,8463,56661,4301,54278,3633,740285,13978,2598,718,11727,1675,28693,2941,36825,2813,241019,8597,39150,3289,18351,2407,110549,5592,76122,5409,80052,5043,42453,3350,21421,2299,31325,2885,265571,8482,26828,3419,138650,6471,13032,2124,4222,1067,14013,2144,11749,1863,5197,1083,3325,910,9202,1617,5739,1186,4566,1378,23419,2939,5629,968,279636,8991,6667,1405,10863,1732,72907,4232,15277,2003,39880,3337,68804,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
3123,1542,693,1065,584,7446,1391,7609,1532,4083,1333,6068,1387,1723,647,0400000US05,1269092,12369,42147,3205,80276,5314,163894,6634,27858,2423,170478,6444,63722,4370,23981,3003,62678,4248,98236,5461,299770,9069,107884,7418,64663,4849,63505,4733,411029,9723,13879,1823,11013,1768,26822,2712,4667,1068,24488,2302,10344,1744,11387,1972,22846,2295,42282,3632,184955,6962,16980,2636,18028,2055,23338,2424,227279,8821,684,418,741,514,6468,1435,692,391,6725,1688,793,454,825,587,2643,867,24695,2579,69068,4442,70364,5617,21560,2580,22021,2724,297605,7842,1619,567,4166,1113,16380,2433,12534,1682,114473,5820,12675,1669,7759,1549,33799,3096,20543,2036,36497,3410,15513,2438,7979,1448,13668,1766,135459,5855,21224,2380,58511,4181,13761,1903,3161,921,6939,1188,7432,1453,2468,812,2325,1155,3270,1063,1641,667,944,572,11028,1898,2755,1102,197720,7055,4741,1112,5845,1497,100463,4585,6804,1456,17853,2494,32478,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
11986,16514,2102,20704,2340,132820,5874,51887,4011,60785,4370,108471,5884,20361,2432,0400000US06,17638152,36488,420979,12716,1064294,20259,1718093,23255,542536,12117,1927958,25792,830311,16582,528556,12037,1083944,19198,2271628,22215,3681807,31113,1860773,27656,953146,16441,754127,14581,6627679,38297,54008,3385,191558,7573,630663,14170,116553,5481,226752,6686,123367,5445,342295,9773,502309,12124,1254359,16817,2335838,24333,361336,11714,184168,7593,304473,9115,3295619,31563,14896,2417,6418,1300,27619,3245,9199,1752,79098,5173,17460,2055,15577,2039,36335,3432,462623,11752,828771,16169,1138594,21387,408221,9430,250808,9193,4135547,28394,17313,2286,64881,3761,253323,9505,269022,8857,1340639,23103,205370,8248,118165,5920,502247,12948,367420,9276,439694,9530,284548,8457,121464,6298,151461,7276,1602968,19511,301977,11599,761142,16871,80888,4950,22798,2333,69289,4466,55141,3947,36005,2970,22349,2415,54406,3617,25617,3044,15510,1783,130822,6714,27024,2666,1976339,21728,32785,3401,40295,3730,725600,13539,124964,6469,212180,7795,428973,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3563,2773,1151,2492,809,15121,2219,9290,1434,8191,1397,15054,2128,3134,1155,0400000US08,2699282,13014,73712,4373,213073,7923,178560,7049,69609,3771,291961,10337,121660,4793,85739,4394,184674,8205,361496,9280,551550,11803,299196,9746,142651,6413,125401,5829,1086883,14606,27757,2824,37951,3431,74056,4369,17662,2125,34331,2927,20785,2081,48752,2915,83076,4889,217753,6710,370667,9054,62929,4175,34525,3456,56639,3393,477846,11362,2324,782,1448,661,2458,760,936,424,13019,1972,2545,785,2357,1000,6654,1998,57446,4495,104276,5432,191621,7933,53729,4014,39033,3350,625052,10578,5599,1170,12549,2043,22348,1820,37004,2836,201286,7557,31054,2536,24794,2787,87727,4985,64690,3763,63505,3551,33136,2928,19493,2544,21867,2322,265767,8605,28493,2442,153288,6561,8614,1637,2666,874,12188,1653,10535,1710,7063,1095,4725,1229,6486,1406,3812,892,3319,1013,19850,2568,4728,1217,243734,7537,9539,1936,7837,1448,71084,5035,11341,1728,31137,2970,56741,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
3238,1024,384,1637,660,8456,1548,6449,1566,3875,985,6502,1555,1525,695,0400000US09,1798758,11166,7646,1646,103417,5648,189973,7609,48314,4108,191654,7721,64236,4115,43167,3027,171306,5911,201530,6754,471363,7988,159884,7345,77664,4323,68604,3956,764237,11793,1774,633,17871,2202,74659,3804,10791,1639,23615,3016,10896,1617,25862,2556,94912,4359,118506,5279,311755,7451,29794,3052,16825,1996,26977,2762,314538,9422,649,402,495,355,3342,1435,1363,586,9096,1480,1187,580,1992,796,4205,1059,37223,3516,99174,5145,99422,6474,31087,3247,25303,2326,411634,9242,820,414,4629,983,26292,2680,20785,2460,132640,6172,14111,1612,11752,1518,67935,3801,33631,2632,50523,2998,24017,2622,11698,1547,12801,1754,134063,6155,3948,1203,77786,4778,7720,1175,2456,871,7693,1662,5804,1280,2537,769,2617,756,3714,1037,3462,1062,2776,858,11552,1962,1998,623,174286,7896,455,358,2636,805,77960,5749,12919,2525,18610,2683,32238,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1724,173,198,577,340,1722,525,2576,873,1472,635,2008,864,2036,772,0400000US10,441144,5793,3745,980,25477,2671,40531,3182,8172,1504,57173,3887,21831,1998,5936,1223,43294,3408,43706,3156,105913,5064,41163,3345,17727,2152,26476,2594,171267,5245,1229,457,5093,1201,14828,2020,690,419,6291,1332,4102,1533,2673,776,24539,2457,22541,2073,69002,4465,5390,1277,3964,933,10925,1571,79562,4637,373,316,456,357,602,400,0,185,3776,1185,287,188,204,182,1851,827,10255,1699,20988,2273,27956,2838,6311,1306,6503,1120,104546,4620,510,340,1702,491,3754,816,4175,1054,37726,3362,3887,887,2245,741,15875,2097,7583,1405,12809,1786,5829,1473,2351,685,6100,1294,35191,3291,1263,552,17560,2528,3847,1176,755,425,2070,820,1939,723,641,322,452,309,1605,723,538,382,516,315,3093,933,912,484,50578,4035,370,201,666,397,17500,2625,2552,795,7310,1187,11616,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1080,70,117,454,382,1047,597,846,434,730,467,1344,557,420,337,0400000US11,345592,5578,210,177,9624,1995,3775,1014,1607,532,17048,2043,10365,1655,13566,1543,23225,2607,80921,4542,66325,3825,35971,3034,29973,2639,52982,3018,207506,4843,86,100,1729,550,1613,573,445,300,2293,795,1742,650,10445,1467,12979,1531,61496,3738,45199,3245,10117,1617,19982,1815,39380,2372,53709,3933,0,198,157,206,208,234,38,64,925,402,825,378,0,198,2225,820,8475,1500,11269,1781,20103,2722,4814,1302,4670,1100,61143,4164,70,116,706,598,430,262,1124,426,11676,1877,2621,885,2611,835,7276,1766,9633,1491,8636,1726,4732,1238,3663,1022,7965,1266,9456,1679,54,88,6303,1524,70,81,0,198,282,357,365,345,440,256,291,272,270,231,375,285,289,193,170,144,547,357,13778,1770,0,198,729,412,1454,646,0,198,1872,663,4812,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
7730,5021,1124,11265,2139,47218,4061,36378,3959,42581,3973,53773,5476,8940,1428,0400000US12,8738970,32696,92565,5889,596857,14633,441119,13567,250739,6916,1165596,18724,438288,12295,179421,9195,648090,15077,1151372,17334,1843388,23099,1070929,21144,480439,11975,380167,10330,2987267,27146,19744,2715,105158,6233,141009,6446,54054,3484,122502,6659,71455,5824,93035,5692,267940,9429,532039,11424,1156720,16066,192060,8505,90286,5602,141265,6681,1822072,25032,5960,2498,3966,988,8657,1766,3129,997,51042,3896,16110,2654,3527,847,34142,3464,283333,11407,392316,11603,673901,17483,210583,8782,135406,5773,2333815,23670,4639,1011,42356,3928,78375,5302,133327,5718,817074,14569,107494,5352,56443,5197,319484,11286,248802,9733,241372,9091,146636,8447,59000,4477,78813,5124,796175,16353,55550,4738,422027,12708,28823,3002,14058,2478,47628,3969,36562,4134,21395,2810,15259,2390,39980,4226,16602,2240,15751,2457,66797,5088,15743,2326,799641,18237,6672,1532,23350,2726,184255,7699,46171,4247,127350,6929,206667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
