GEO_ID,C17010G_001E,C17010G_001M,C17010G_002E,C17010G_002M,C17010G_003E,C17010G_003M,C17010G_004E,C17010G_004M,C17010G_005E,C17010G_005M,C17010G_006E,C17010G_006M,C17010G_007E,C17010G_007M,C17010G_008E,C17010G_008M,C17010G_009E,C17010G_009M,C17010G_010E,C17010G_010M,C17010G_011E,C17010G_011M,C17010G_012E,C17010G_012M,C17010G_013E,C17010G_013M,C17010G_014E,C17010G_014M,C17010G_015E,C17010G_015M,C17010G_016E,C17010G_016M,C17010G_017E,C17010G_017M,NAME,C17010G_001MA,C17010G_001EA,C17010G_002EA,C17010G_002MA,C17010G_003EA,C17010G_003MA,C17010G_004EA,C17010G_004MA,C17010G_005EA,C17010G_005MA,C17010G_006MA,C17010G_006EA,C17010G_007EA,C17010G_007MA,C17010G_008EA,C17010G_008MA,C17010G_009EA,C17010G_009MA,C17010G_010EA,C17010G_010MA,C17010G_011MA,C17010G_011EA,C17010G_012MA,C17010G_012EA,C17010G_013MA,C17010G_013EA,C17010G_014EA,C17010G_014MA,C17010G_015EA,C17010G_015MA,C17010G_016EA,C17010G_016MA,C17010G_017EA,C17010G_017MA,state
0400000US01,13322,1734,2843,874,1119,544,602,459,1724,728,309,318,64,94,1415,567,1145,522,10479,1462,8089,1248,3164,828,2390,674,610,463,252,316,1780,553,978,350,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7812,1123,965,455,160,219,160,219,805,399,374,275,365,274,431,282,407,282,6847,1034,4321,765,2581,680,2526,925,1328,567,1126,561,1198,655,1018,663,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,32252,3055,5059,1262,2373,766,1533,682,2686,865,868,578,732,562,1818,630,1577,567,27193,2644,18758,1898,9838,1339,8435,1649,3754,1017,2165,812,4681,1042,3283,876,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,11400,1582,2386,845,752,444,667,435,1634,784,526,463,495,461,1108,591,947,514,9014,1397,7089,1297,2826,734,1925,619,507,270,393,223,1418,584,899,500,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,255664,7110,33194,2631,11597,1836,8671,1650,21597,2342,3902,1109,2428,902,17695,2068,14670,1803,222470,7372,155172,5196,84841,3787,67298,4445,19337,2231,11005,1633,47961,3531,29069,2803,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,28323,2596,3193,834,1113,590,545,400,2080,637,833,547,673,519,1247,467,1205,469,25130,2609,17973,2224,10037,1789,7157,1500,2680,834,1725,635,4477,1143,3390,990,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,14888,1648,2274,656,750,303,521,243,1524,572,68,81,29,50,1456,562,1425,565,12614,1522,7329,1183,4803,1106,5285,1241,1690,938,1157,804,3595,929,2759,833,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,67467,5002,10515,1821,3630,960,2122,753,6885,1387,1012,420,494,312,5873,1276,5181,1302,56952,4235,37858,3235,17518,2077,19094,2496,4571,1235,2065,872,14523,2195,8889,1710,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,27586,2536,3926,959,1032,497,474,300,2894,898,487,349,380,284,2407,819,2081,771,23660,2449,15729,1897,8122,1448,7931,1592,1819,750,707,466,6112,1544,4179,1210,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,52379,3310,5873,1121,1333,586,741,409,4540,899,860,457,726,448,3680,829,3068,809,46506,3451,31306,2764,16818,2062,15200,2092,5368,1117,3190,895,9832,1660,5632,1089,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,5761,1211,1156,597,347,291,347,291,809,514,398,347,273,286,411,418,411,418,4605,1048,3829,946,1712,662,776,479,585,461,502,441,191,151,109,114,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,37497,3063,5970,1245,2169,758,1569,704,3801,1032,385,338,250,287,3416,1021,3059,975,31527,2800,21550,2335,11217,1748,9977,1569,2864,845,1483,622,7113,1271,4673,1203,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,19050,2161,4627,1150,1029,530,737,467,3598,929,712,403,649,385,2886,845,2719,839,14423,1948,9842,1637,5061,1123,4581,1029,640,284,381,210,3941,997,2988,853,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7536,1415,1840,665,561,461,397,401,1279,478,133,129,133,129,1146,452,875,369,5696,1192,3913,926,1596,525,1783,756,382,264,267,209,1401,667,873,518,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,13235,1619,2665,928,510,293,417,279,2155,910,405,352,262,227,1750,815,1698,812,10570,1439,7231,1168,4328,948,3339,821,1407,505,876,404,1932,696,1104,427,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,13060,1804,2189,746,802,523,224,261,1387,559,347,306,318,288,1040,518,891,500,10871,1718,7662,1495,3615,1133,3209,932,476,233,299,197,2733,891,1630,740,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,9271,1424,1406,484,372,214,265,173,1034,424,253,256,195,240,781,318,622,316,7865,1431,5394,1214,3062,888,2471,752,710,351,510,354,1761,697,849,505,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,4588,725,1087,487,268,224,231,217,819,439,24,39,24,39,795,433,770,435,3501,734,2446,625,765,403,1055,467,388,299,224,264,667,345,605,325,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,26557,2549,2781,834,778,527,433,400,2003,719,167,195,97,159,1836,673,1525,605,23776,2394,16465,2244,8728,1581,7311,1211,1245,519,670,369,6066,1169,3716,834,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,30428,2790,5445,1386,1618,734,1165,645,3827,1043,774,433,691,415,3053,1041,2924,1006,24983,2602,14941,2138,8881,1738,10042,1640,3748,1107,1930,828,6294,1283,4021,1014,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,36720,2955,9915,1699,2801,689,2270,595,7114,1459,1207,517,840,462,5907,1337,5221,1259,26805,2318,17039,1833,9179,1516,9766,1326,3349,929,1564,502,6417,1131,4045,846,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,18218,1960,3689,928,1035,420,511,348,2654,703,113,155,15,31,2541,689,2490,684,14529,1649,9076,1343,5010,1118,5453,1155,1175,460,929,442,4278,981,3527,923,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,4325,1177,948,518,200,218,200,218,748,481,106,136,106,136,642,467,578,474,3377,933,2506,802,1160,579,871,473,321,313,95,150,550,346,381,318,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,22917,2296,4808,1118,1345,610,749,458,3463,946,1063,593,918,589,2400,787,1953,766,18109,2159,12525,1890,6181,1395,5584,1162,1440,554,723,451,4144,1058,3020,983,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,2917,750,274,185,142,133,11,22,132,130,0,161,0,161,132,130,132,130,2643,732,2248,732,943,403,395,277,0,161,0,161,395,277,68,68,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,5771,1242,952,554,362,215,142,153,590,454,49,61,49,61,541,444,395,388,4819,1138,2883,745,2028,603,1936,740,625,476,454,394,1311,562,618,381,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,17235,1778,1808,515,739,407,475,344,1069,474,36,60,36,60,1033,480,1033,480,15427,1689,9742,1305,4424,1019,5685,1064,1914,624,815,373,3771,1013,1919,765,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,4291,977,370,263,181,155,115,126,189,204,7,15,7,15,182,205,167,205,3921,908,2551,621,1225,492,1370,666,579,433,295,357,791,460,593,440,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,33470,2715,3904,934,1371,554,891,413,2533,767,250,198,153,158,2283,742,1993,727,29566,2507,18979,2089,11438,1662,10587,1526,2932,795,1541,541,7655,1340,4530,1082,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,10211,1347,2032,752,640,351,463,327,1392,662,374,336,354,347,1018,629,909,609,8179,1176,5739,1062,3016,809,2440,731,405,378,331,369,2035,680,1192,486,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,86734,4238,18025,2183,5759,1338,3856,1038,12266,1714,1523,535,1190,509,10743,1647,8927,1562,68709,3597,43204,2805,23292,2306,25505,2776,7661,1571,3444,1058,17844,2184,10794,1732,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,31640,2927,6302,1269,1672,510,917,367,4630,1143,862,481,581,390,3768,1025,3657,1003,25338,2606,18136,2416,9376,1740,7202,1280,1949,691,697,406,5253,1155,3349,964,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
