GEO_ID,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,NAME,B03002_001EA,B03002_001MA,B03002_002MA,B03002_002EA,B03002_003EA,B03002_003MA,B03002_004EA,B03002_004MA,B03002_005EA,B03002_005MA,B03002_006MA,B03002_006EA,B03002_007MA,B03002_007EA,B03002_008EA,B03002_008MA,B03002_009EA,B03002_009MA,B03002_010EA,B03002_010MA,B03002_011MA,B03002_011EA,B03002_012MA,B03002_012EA,B03002_013EA,B03002_013MA,B03002_014EA,B03002_014MA,B03002_015EA,B03002_015MA,B03002_016EA,B03002_016MA,B03002_017MA,B03002_017EA,B03002_018MA,B03002_018EA,B03002_019EA,B03002_019MA,B03002_020EA,B03002_020MA,B03002_021EA,B03002_021MA,state
0400000US39,11594163,-555555555,11195457,1832,9277608,2747,1402190,9075,16856,1806,223984,4862,3026,1311,14657,2849,257136,9822,6878,2007,250258,9906,398706,1832,244656,7703,17024,3049,5905,1831,1454,835,197,186,88731,7202,40739,4460,22006,3303,18733,2911,Ohio,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3878051,-555555555,3499172,714,2597146,626,281252,4354,276829,5463,75854,2783,4436,911,1856,696,261799,7860,1776,709,260023,7850,378879,714,230335,6352,6002,1451,12903,1957,800,558,559,367,92131,5170,36149,3925,13918,2808,22231,3203,Oklahoma,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3970239,-555555555,3473448,-555555555,3052407,2154,68775,3409,35628,2882,157528,4163,13483,1711,5872,2221,139755,5812,1997,870,137758,5758,496791,-555555555,305843,13283,2267,725,11133,3251,2363,1170,630,620,135630,12608,38925,5709,16527,3685,22398,4746,Oregon,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12787209,-555555555,11949722,1034,9937668,4362,1359575,8543,16827,1901,396372,4858,2989,1288,23044,4848,213247,9047,7423,1558,205824,8791,837487,1034,471179,12750,57290,6069,10540,2912,2913,1454,1208,780,218447,13240,75910,8663,26141,3563,49769,7310,Pennsylvania,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1055173,-555555555,907077,-555555555,781398,1569,58095,2455,4386,702,34934,1922,385,421,6084,2013,21795,3223,4329,1815,17466,2681,148096,-555555555,76838,5219,12505,2858,1193,769,742,691,0,203,51278,4758,5540,2094,3187,1637,2353,1303,Rhode Island,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4832482,-555555555,4575078,860,3082187,1352,1311369,6651,13607,1756,68331,2537,2916,1696,5476,1854,91192,6823,915,557,90277,6715,257404,860,171958,8536,9004,2276,548,400,645,411,43,99,64041,8304,11165,2662,6089,1971,5076,1866,South Carolina,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,853175,-555555555,824456,1214,709585,340,14260,1891,67725,2110,11001,1195,384,414,495,354,21006,2752,335,267,20671,2719,28719,1214,15183,2275,570,547,4086,1699,16,24,58,111,6279,1866,2527,1003,747,532,1780,946,South Dakota,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6549352,-555555555,6227013,1777,4881929,2029,1098287,6992,14900,2189,101866,3782,3036,1208,6263,2397,120732,7213,2323,1041,118409,7309,322339,1777,202475,7640,7031,2336,2239,1160,642,454,373,411,92846,7475,16733,3964,10146,2632,6587,2627,Tennessee,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26956958,-555555555,16548720,1826,11708178,5418,3150560,12663,62460,4003,1151731,9003,17270,2086,34121,5987,424400,13052,20217,3769,404183,13072,10408238,1826,8557682,39663,84338,7891,59248,7900,10220,2075,2785,1048,1454652,35942,239313,14479,115564,8146,123749,10519,Texas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2942902,-555555555,2545802,447,2330356,2210,31816,2045,30223,2339,64918,2748,24808,2191,5396,2191,58285,4698,806,442,57479,4571,397100,447,237662,9696,1704,1039,2651,1207,1142,547,617,648,133114,9882,20210,4226,13043,3183,7167,1833,Utah,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
