GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,B15002A_018E,B15002A_018M,B15002A_019E,B15002A_019M,NAME,B15002A_001EA,B15002A_001MA,B15002A_002MA,B15002A_002EA,B15002A_003EA,B15002A_003MA,B15002A_004EA,B15002A_004MA,B15002A_005EA,B15002A_005MA,B15002A_006EA,B15002A_006MA,B15002A_007MA,B15002A_007EA,B15002A_008MA,B15002A_008EA,B15002A_009MA,B15002A_009EA,B15002A_010EA,B15002A_010MA,B15002A_011EA,B15002A_011MA,B15002A_012EA,B15002A_012MA,B15002A_013MA,B15002A_013EA,B15002A_014EA,B15002A_014MA,B15002A_015EA,B15002A_015MA,B15002A_016EA,B15002A_016MA,B15002A_017EA,B15002A_017MA,B15002A_018MA,B15002A_018EA,B15002A_019MA,B15002A_019EA,state
0400000US01,2331437,4252,1121450,2783,51045,3868,104815,4964,276744,6505,74434,4629,239588,6232,78692,4656,186268,5610,109864,5397,1209987,2632,54699,3307,100574,5049,308850,7069,67143,3962,267767,7114,103102,5350,191126,7126,116726,4468,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,332292,1769,176831,1244,2269,602,5757,1005,37758,2737,9332,1205,53954,3294,15658,1970,33796,2240,18307,1933,155461,1068,2067,652,4311,1084,29934,2487,4347,760,43051,3033,14217,1624,36701,2356,20833,2251,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3620400,12206,1770494,7152,104522,5396,121482,5419,341308,9483,85418,4533,454070,9357,139353,5742,326688,7876,197653,6143,1849906,6312,96121,5410,117471,6104,386981,9907,59917,3610,494455,11108,174042,7150,331001,9407,189918,5717,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1599406,3524,774060,2301,44148,3565,67593,4396,227395,6974,51562,3505,168379,5989,42942,3089,112065,5080,59976,3555,825346,2241,37461,2779,67573,3946,230021,6363,51142,3782,193785,6511,61066,4261,119784,5357,64514,3630,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16285604,32250,8022527,20617,668240,13958,622257,14448,1473087,20927,230463,7777,1766726,19234,584484,12969,1614111,18585,1063159,14070,8263077,17771,698307,11606,549000,11518,1563228,17603,155806,5682,1936717,18869,733898,12124,1651620,16855,974501,11879,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3103425,7757,1537393,5057,60362,4255,77440,4769,263021,8607,71832,4520,338068,8243,120137,5337,381548,8941,224985,5993,1566032,4573,45887,3404,68716,4282,288185,7017,47641,3892,346596,7336,134615,5523,397921,7274,236471,6058,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1976309,6941,942924,4363,29601,2634,47114,3245,233736,7491,32493,2894,156693,6042,63005,4072,219386,5670,160896,5260,1033385,3922,32334,2852,47226,3805,243449,7130,26173,2496,174657,4749,92223,4021,229068,6730,188255,5868,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,467717,2145,223173,1425,7046,1236,18005,2253,62960,3551,8698,1435,40910,2722,16213,1920,41531,2775,27810,2163,244544,1344,6251,1361,14060,1669,74301,2772,5920,1061,45834,2863,21579,1931,47000,2779,29599,2155,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,200785,2697,101529,1664,1688,905,667,408,2767,816,556,436,5877,1399,1685,577,37951,2084,50338,2200,99256,1409,2004,750,796,436,2772,1019,683,426,4168,1067,2039,710,35224,1929,51570,2381,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11147009,18601,5380572,11259,256568,10683,390175,13705,1304837,18425,269005,9384,1087459,15678,460530,11039,1017081,16101,594917,12383,5766437,10766,246819,8647,357763,8234,1500466,17647,209675,8156,1233704,17059,622385,12854,1028392,18058,567233,11671,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
