GEO_ID,C18101_001E,C18101_001M,C18101_002E,C18101_002M,C18101_003E,C18101_003M,C18101_004E,C18101_004M,C18101_005E,C18101_005M,C18101_006E,C18101_006M,C18101_007E,C18101_007M,C18101_008E,C18101_008M,C18101_009E,C18101_009M,C18101_010E,C18101_010M,C18101_011E,C18101_011M,C18101_012E,C18101_012M,C18101_013E,C18101_013M,C18101_014E,C18101_014M,C18101_015E,C18101_015M,C18101_016E,C18101_016M,C18101_017E,C18101_017M,C18101_018E,C18101_018M,C18101_019E,C18101_019M,C18101_020E,C18101_020M,C18101_021E,C18101_021M,NAME,C18101_001EA,C18101_001MA,C18101_002MA,C18101_002EA,C18101_003MA,C18101_003EA,C18101_004EA,C18101_004MA,C18101_005EA,C18101_005MA,C18101_006EA,C18101_006MA,C18101_007MA,C18101_007EA,C18101_008MA,C18101_008EA,C18101_009MA,C18101_009EA,C18101_010EA,C18101_010MA,C18101_011EA,C18101_011MA,C18101_012EA,C18101_012MA,C18101_013MA,C18101_013EA,C18101_014MA,C18101_014EA,C18101_015EA,C18101_015MA,C18101_016EA,C18101_016MA,C18101_017EA,C18101_017MA,C18101_018MA,C18101_018EA,C18101_019MA,C18101_019EA,C18101_020MA,C18101_020EA,C18101_021EA,C18101_021MA,state
0400000US01,4767383,1932,2289780,5872,564919,4746,30054,2686,534865,5262,1407781,3396,206759,6711,1201022,7489,317080,1997,131060,3678,186020,3616,2477603,5606,541928,4642,20399,2473,521529,5222,1527586,3213,215790,5993,1311796,6589,408089,2062,172386,4406,235703,4781,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,711541,1618,363589,2580,94656,1704,4753,1058,89903,1941,235033,2140,22962,1961,212071,2691,33900,1002,14623,1100,19277,1252,347952,2104,91589,1669,2012,641,89577,1841,221245,1198,21712,1998,199533,2097,35118,972,13738,1377,21380,1249,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6623074,1740,3251297,3166,826358,2285,43630,3887,782728,3846,1937999,2770,200915,6893,1737084,7665,486940,1367,173960,5163,312980,5378,3371777,2888,794218,2258,21652,2424,772566,3370,2006493,2365,210194,7282,1796299,7246,571066,1364,196306,5466,374760,5343,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2914376,756,1423412,4652,360391,3763,25276,2648,335115,4311,861325,3214,125340,5101,735985,5972,201696,1438,88772,3469,112924,3368,1490964,4568,343420,3861,12496,1756,330924,4006,900910,3016,139305,4808,761605,5080,246634,1843,102211,3434,144423,3339,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38297457,5321,18865494,8096,4657991,3964,179812,7878,4478179,8581,12038061,7340,1014196,16674,11023865,17287,2169442,2989,738262,10386,1431180,9962,19431963,5973,4477142,4008,113314,5052,4363828,6112,12226448,3884,996587,16738,11229861,17151,2728373,3145,1008460,11666,1719913,12177,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5266022,2396,2622411,4609,640300,2702,25684,3073,614616,3797,1678778,3434,159857,6835,1518921,7922,303333,1624,100597,3347,202736,3441,2643611,4048,605132,2527,16017,2568,589115,3827,1677532,2424,140329,5991,1537203,6728,360947,1439,119568,4328,241379,3914,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541282,1220,1719425,2334,395003,1458,18557,2390,376446,2760,1091478,1984,90454,4464,1001024,4978,232944,1423,69022,3215,163922,3397,1821857,2336,379018,1430,9497,1462,369521,1870,1142258,1885,100731,4461,1041527,4747,300581,1319,100991,3269,199590,3363,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920930,554,443623,1227,104031,825,5042,1230,98989,1534,272159,1135,26418,2787,245741,2955,67433,733,20811,1590,46622,1559,477307,1167,99383,901,3511,932,95872,1337,295631,700,29215,3075,266416,3117,82293,658,24766,1553,57527,1611,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,647966,509,303791,1024,58140,442,3169,738,54971,919,216572,977,21409,2334,195163,2392,29079,646,8952,1221,20127,1295,344175,1099,56694,456,2014,983,54680,1063,244580,597,23095,2336,221485,2455,42901,869,17368,1277,25533,1092,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19583357,3419,9490859,7749,2066004,5977,107810,6760,1958194,8435,5747594,5911,601517,11426,5146077,13567,1677261,3397,554422,10585,1122839,9660,10092498,7609,1980146,6054,62530,4474,1917616,8099,6066114,4654,591116,14730,5474998,15987,2046238,3447,702177,10203,1344061,10719,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
