GEO_ID,C27014_001E,C27014_001M,C27014_002E,C27014_002M,C27014_003E,C27014_003M,C27014_004E,C27014_004M,C27014_005E,C27014_005M,C27014_006E,C27014_006M,C27014_007E,C27014_007M,C27014_008E,C27014_008M,C27014_009E,C27014_009M,C27014_010E,C27014_010M,C27014_011E,C27014_011M,C27014_012E,C27014_012M,C27014_013E,C27014_013M,C27014_014E,C27014_014M,C27014_015E,C27014_015M,C27014_016E,C27014_016M,C27014_017E,C27014_017M,C27014_018E,C27014_018M,C27014_019E,C27014_019M,C27014_020E,C27014_020M,C27014_021E,C27014_021M,C27014_022E,C27014_022M,NAME,C27014_001EA,C27014_001MA,C27014_002MA,C27014_002EA,C27014_003MA,C27014_003EA,C27014_004MA,C27014_004EA,C27014_005EA,C27014_005MA,C27014_006EA,C27014_006MA,C27014_007EA,C27014_007MA,C27014_008MA,C27014_008EA,C27014_009MA,C27014_009EA,C27014_010MA,C27014_010EA,C27014_011EA,C27014_011MA,C27014_012EA,C27014_012MA,C27014_013EA,C27014_013MA,C27014_014MA,C27014_014EA,C27014_015MA,C27014_015EA,C27014_016EA,C27014_016MA,C27014_017EA,C27014_017MA,C27014_018EA,C27014_018MA,C27014_019MA,C27014_019EA,C27014_020MA,C27014_020EA,C27014_021MA,C27014_021EA,C27014_022EA,C27014_022MA,state
0400000US01,3660536,3104,1464246,14840,1410334,14286,59185,3824,1351149,13820,53912,3227,45492,2850,8420,1454,773294,13512,699863,13090,85924,5518,613939,12988,73431,3464,71225,3516,2206,740,1422996,12532,825170,11911,338208,6832,486962,10903,597826,5227,591313,5396,6513,1086,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,525296,1652,236468,5350,227596,5116,17607,2390,209989,5866,8872,1432,6778,1180,2094,650,160370,4818,148015,4826,20937,2191,127078,4408,12355,1338,11116,1283,1239,592,128458,4243,80667,3834,27084,2492,53583,2962,47791,1912,45690,1893,2101,792,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5002498,2411,1987208,18009,1920711,18644,144633,6669,1776078,19525,66497,4019,55406,3727,11091,1654,1160959,14098,1042371,14140,223096,9199,819275,13405,118588,4859,114687,4743,3901,902,1854331,16048,981410,15802,421894,12012,559516,12203,872921,6101,849803,6744,23118,2483,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2210565,2640,910330,12000,873602,11515,56726,4108,816876,12196,36728,2778,31928,2757,4800,1233,468802,10381,419429,9351,83992,4433,335437,8945,49373,3503,48446,3535,927,436,831433,11526,469204,10245,224984,7597,244220,7893,362229,4100,358920,4091,3309,1076,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29162324,5744,11801502,44706,11374145,42188,839094,15877,10535051,44507,427357,8325,324821,6204,102536,5809,7456911,41515,6889776,39542,1405348,20669,5484428,33920,567135,9862,525607,8963,41528,3005,9903911,36800,6000588,32591,2363457,27043,3637131,29752,3903323,13118,3771921,14239,131402,6388,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4020590,3165,1870196,15323,1807370,14921,118943,5143,1688427,14824,62826,3373,49931,3104,12895,1796,1069347,15310,968757,14627,185587,7810,783170,13525,100590,3985,95084,4055,5506,1221,1081047,9669,580183,9003,219402,7999,360781,8628,500864,5168,487640,5025,13224,1873,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2767261,1349,1205282,12350,1148771,11795,78015,4945,1070756,12696,56511,3142,44492,2847,12019,1639,749264,11191,670686,11094,144781,6789,525905,10363,78578,3240,74518,3070,4060,902,812715,9912,414279,9907,178071,6288,236208,8040,398436,4344,388600,4810,9836,1545,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,717516,830,312369,5954,300312,5794,22593,2419,277719,5933,12057,1517,9180,1342,2877,847,171250,5890,151150,5585,31461,3224,119689,4719,20100,1631,19786,1595,314,230,233897,5586,116328,5126,55278,4149,61050,3821,117569,1847,116208,1894,1361,729,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,533132,509,259919,6141,250141,5909,26571,3221,223570,6158,9778,1238,7404,1181,2374,684,125801,4935,117086,4930,32273,3454,84813,3800,8715,1143,7795,1094,920,531,147412,5094,93925,4787,54720,4315,39205,3583,53487,1940,49234,1896,4253,1011,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15537207,4034,6118910,34344,5864521,33739,314069,10513,5550452,34684,254389,7959,211988,7168,42401,3693,3378004,31083,2975844,28284,397889,11449,2577955,27311,402160,11213,384444,10688,17716,1961,6040293,33129,2973343,30887,1055518,20921,1917825,23241,3066950,13103,2983946,12679,83004,5212,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
