GEO_ID,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,NAME,B17020_001EA,B17020_001MA,B17020_002EA,B17020_002MA,B17020_003EA,B17020_003MA,B17020_004EA,B17020_004MA,B17020_005MA,B17020_005EA,B17020_006EA,B17020_006MA,B17020_007EA,B17020_007MA,B17020_008MA,B17020_008EA,B17020_009MA,B17020_009EA,B17020_010EA,B17020_010MA,B17020_011MA,B17020_011EA,B17020_012EA,B17020_012MA,B17020_013EA,B17020_013MA,B17020_014EA,B17020_014MA,B17020_015EA,B17020_015MA,B17020_016MA,B17020_016EA,B17020_017EA,B17020_017MA,state
0400000US01,4727549,2783,910175,25515,106942,6210,104106,5977,91688,5620,485943,15194,85577,4962,26610,2650,9309,1138,3817374,25803,237499,6870,260926,7487,291376,7305,2127755,17082,640831,7121,194122,4282,64865,3706,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,717723,893,80627,6821,11343,2016,9927,1711,7581,1374,45436,3671,5504,1154,395,245,441,211,637096,6751,50696,1972,51401,2535,51550,3144,379880,4604,81415,2817,16928,1469,5226,1090,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6573369,3679,1199061,26607,145798,7482,139039,6936,122858,5616,638536,16094,110834,5443,29476,2917,12520,1539,5374308,26069,367628,7735,399485,9122,416970,8531,2904480,17945,887768,8161,294723,5090,103254,4715,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2882856,1835,543882,15436,67146,4306,60558,4072,56126,4140,291513,9466,45186,3288,15975,1834,7378,1221,2338974,15627,157270,4947,169415,6124,185196,6125,1271467,10767,394985,4733,120295,3100,40346,2428,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38060228,7073,6259098,64461,690825,15496,709169,17622,647265,15402,3439624,37806,525896,11873,166643,6763,79676,5053,31801130,63863,2263601,17531,2321287,17504,2382402,19216,18624416,38721,4370090,17593,1289146,12123,550188,10814,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5237149,2559,630786,21138,65967,4816,64968,5615,59110,4630,365430,12187,54477,3629,14202,1929,6632,1068,4606363,20810,334763,6454,352776,6517,353155,7826,2659399,14164,669302,7589,170516,3860,66452,3814,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3485629,1870,374772,16369,37592,3729,37838,3713,38282,3709,203017,8697,37464,2817,13230,1586,7349,1482,3110857,16327,187169,4899,219822,5714,243717,4822,1765874,9638,481336,6970,145300,3853,67639,3172,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,909611,1367,113508,7940,13551,2275,13037,2207,8903,1726,62254,4523,10471,1791,3465,1064,1827,787,796103,7616,53662,2657,53410,3152,57811,2848,441859,4840,135670,2820,40466,2011,13225,1600,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,624327,573,110666,7793,11232,2095,9326,1872,8846,2251,64734,4846,11339,1475,3788,900,1401,523,513661,7611,36038,2268,25643,2431,22038,2209,342126,5096,62022,1769,17907,1339,7887,1085,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19470210,6164,3211615,59681,331885,12928,322840,13184,293740,12312,1705557,34849,367941,10989,125162,5059,64490,4688,16258595,61305,941470,17011,1004953,18216,1091423,15974,8824354,38002,2928007,15101,1036394,11457,431994,11422,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
